begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.3407079646017699,0.4906832298136646,0.40310077519379844,S38V.tsv
50,100,0.6194690265486725,0.563953488372093,0.5954773869346733,S38V.tsv
100,150,0.5942622950819673,0.7225130890052356,0.6505747126436782,S38V.tsv
150,200,0.6895306859205776,0.75,0.7173489278752436,S38V.tsv
200,250,0.7852760736196319,0.7297297297297297,0.7557471264367817,S38V.tsv
250,300,0.7146892655367232,0.7064220183486238,0.7115384615384616,S38V.tsv
300,350,0.8108974358974359,0.7552447552447552,0.7934065934065934,S38V.tsv
350,400,0.7474747474747475,0.8235294117647058,0.7760252365930599,S38V.tsv
400,450,0.8220858895705522,0.7045454545454546,0.7494145199063232,S38V.tsv
450,500,0.8478260869565217,0.7305194805194806,0.774390243902439,S38V.tsv
500,550,0.8267716535433071,0.8651162790697674,0.8443496801705757,S38V.tsv
550,600,0.8313253012048193,0.8507462686567164,0.84,S38V.tsv
600,650,0.8048048048048048,0.8514851485148515,0.822429906542056,S38V.tsv
650,700,0.8571428571428571,0.8625592417061612,0.85995085995086,S38V.tsv
700,750,0.7980295566502463,0.8924731182795699,0.8431876606683805,S38V.tsv
750,800,0.7745098039215687,0.8888888888888888,0.8266666666666667,S38V.tsv
800,850,0.8458333333333333,0.8702290076335878,0.8585657370517928,S38V.tsv
850,900,0.8846153846153846,0.84688995215311,0.8644501278772379,S38V.tsv
900,950,0.9027027027027027,0.8784313725490196,0.8886363636363637,S38V.tsv
950,1000,0.8545454545454545,0.8076923076923077,0.8284182305630027,S38V.tsv
1000,1050,0.8397435897435898,0.8646153846153846,0.8565488565488566,S38V.tsv
1050,1100,0.8722044728434505,0.9073569482288828,0.8911764705882353,S38V.tsv
1100,1150,0.8840579710144928,0.9038031319910514,0.8975535168195719,S38V.tsv
1150,1200,0.9065420560747663,0.8867469879518072,0.8908045977011494,S38V.tsv
1200,1250,0.8935185185185185,0.8806682577565632,0.8850393700787401,S38V.tsv
1250,1300,0.8881578947368421,0.852589641434263,0.8608562691131498,S38V.tsv
1300,1350,0.8479087452471483,0.847953216374269,0.847926267281106,S38V.tsv
1350,1400,0.9090909090909091,0.8392857142857143,0.8660550458715597,S38V.tsv
1400,1450,0.9009009009009009,0.8027522935779816,0.8522727272727273,S38V.tsv
1450,1500,0.8925925925925926,0.7978142076502732,0.8543046357615894,S38V.tsv
1500,1550,0.8418367346938775,0.8700564971751412,0.8552278820375335,S38V.tsv
1550,1600,0.8590909090909091,0.8736842105263158,0.8658536585365854,S38V.tsv
1600,1650,0.8078817733990148,0.925531914893617,0.8644501278772379,S38V.tsv
1650,1700,0.8765432098765432,0.8348623853211009,0.8526315789473684,S38V.tsv
1700,1750,0.9337748344370861,0.9243243243243243,0.9301848049281314,S38V.tsv
1750,1800,0.8674698795180723,0.9299065420560748,0.9026315789473685,S38V.tsv
1800,1850,0.9162995594713657,0.9354838709677419,0.9256756756756757,S38V.tsv
1850,1900,0.883248730964467,0.9246031746031746,0.9064587973273942,S38V.tsv
1900,1950,0.8473684210526315,0.9174757281553398,0.8838383838383839,S38V.tsv
1950,2000,0.8888888888888888,0.8926829268292683,0.8911764705882353,S38V.tsv
2000,2050,0.9086294416243654,0.935064935064935,0.9228971962616822,S38V.tsv
2050,2100,0.8820224719101124,0.916256157635468,0.9002624671916011,S38V.tsv
2100,2150,0.912621359223301,0.9342105263157895,0.9217877094972067,S38V.tsv
2150,2200,0.9177489177489178,0.9,0.9102244389027432,S38V.tsv
2200,2250,0.9211822660098522,0.9302325581395349,0.9258373205741627,S38V.tsv
2250,2300,0.9551569506726457,0.8775510204081632,0.918854415274463,S38V.tsv
2300,2350,0.9254658385093167,0.8492462311557789,0.8833333333333333,S38V.tsv
2350,2400,0.9166666666666666,0.9384615384615385,0.9301587301587302,S38V.tsv
2400,2450,0.8561643835616438,0.9072847682119205,0.8821548821548821,S38V.tsv
2450,2500,0.9207920792079208,0.9035087719298246,0.9116279069767442,S38V.tsv
2500,2550,0.9537037037037037,0.8827586206896552,0.925207756232687,S38V.tsv
2550,2600,0.91015625,0.8935361216730038,0.9017341040462428,S38V.tsv
2600,2650,0.8743961352657005,0.8862745098039215,0.8809523809523809,S38V.tsv
2650,2700,0.9037433155080213,0.911504424778761,0.9079903147699758,S38V.tsv
2700,2713,0.9166666666666666,0.9574468085106383,0.9397590361445783,S38V.tsv
