speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0004,71,15,12,0.2112676056338028,S0146,249,76,67,0.30522088353413657,S0018,75,23,21,0.30666666666666664,395,114,0.28860759493670884,100,0,50,S4L9.tsv
S0004,225,109,99,0.48444444444444446,S0146,40,24,22,0.6,S0018,105,46,37,0.4380952380952381,370,179,0.4837837837837838,158,50,100,S4L9.tsv
S0004,408,232,190,0.5686274509803921,S0146,3,2,2,0.6666666666666666,S0018,130,84,72,0.6461538461538462,541,318,0.5878003696857671,264,100,150,S4L9.tsv
S0004,222,139,116,0.6261261261261262,S0146,230,161,135,0.7,S0018,109,74,60,0.6788990825688074,561,374,0.6666666666666666,311,150,200,S4L9.tsv
S0004,86,69,50,0.8023255813953488,S0146,172,124,98,0.7209302325581395,S0018,198,140,116,0.7070707070707071,456,333,0.7302631578947368,264,200,250,S4L9.tsv
S0004,144,122,84,0.8472222222222222,S0146,177,135,100,0.7627118644067796,S0018,307,205,160,0.6677524429967426,628,462,0.7356687898089171,344,250,300,S4L9.tsv
S0004,138,107,85,0.7753623188405797,S0146,737,578,452,0.7842605156037992,S0018,283,217,166,0.7667844522968198,1158,902,0.7789291882556131,703,300,350,S4L9.tsv
S0004,242,183,131,0.756198347107438,S0146,148,112,83,0.7567567567567568,S0018,133,93,76,0.6992481203007519,523,388,0.7418738049713193,290,350,400,S4L9.tsv
S0004,190,147,107,0.7736842105263158,S0146,41,35,23,0.8536585365853658,S0018,288,221,178,0.7673611111111112,519,403,0.7764932562620424,308,400,450,S4L9.tsv
S0004,38,24,20,0.631578947368421,S0146,563,444,337,0.7886323268206039,S0018,192,165,123,0.859375,793,633,0.798234552332913,480,450,500,S4L9.tsv
S0004,165,139,98,0.8424242424242424,S0146,106,83,60,0.7830188679245284,S0018,188,145,108,0.7712765957446809,459,367,0.7995642701525054,266,500,550,S4L9.tsv
S0004,89,71,47,0.797752808988764,S0146,160,139,99,0.86875,S0018,317,272,195,0.8580441640378549,566,482,0.8515901060070671,341,550,600,S4L9.tsv
S0004,0,0,0,0.0,S0146,554,497,353,0.8971119133574007,S0018,176,152,116,0.8636363636363636,730,649,0.8890410958904109,469,600,650,S4L9.tsv
S0004,0,0,0,0.0,S0146,1203,1068,733,0.8877805486284289,S0018,177,142,106,0.8022598870056498,1380,1210,0.8768115942028986,839,650,700,S4L9.tsv
S0004,0,0,0,0.0,S0146,821,712,496,0.8672350791717418,S0018,143,121,90,0.8461538461538461,964,833,0.8641078838174274,586,700,750,S4L9.tsv
S0004,0,0,0,0.0,S0146,499,419,299,0.8396793587174348,S0018,239,212,148,0.8870292887029289,738,631,0.8550135501355014,447,750,800,S4L9.tsv
S0004,0,0,0,0.0,S0146,250,208,151,0.832,S0018,359,307,206,0.8551532033426184,609,515,0.8456486042692939,357,800,847,S4L9.tsv
