speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0429,86,28,25,0.32558139534883723,S0428,104,34,27,0.3269230769230769,S0430,77,28,23,0.36363636363636365,267,90,0.33707865168539325,75,0,50,SASQ.tsv
S0429,217,133,113,0.6129032258064516,S0428,65,34,32,0.5230769230769231,S0430,113,59,49,0.5221238938053098,395,226,0.5721518987341773,194,50,100,SASQ.tsv
S0429,145,117,93,0.8068965517241379,S0428,109,68,60,0.6238532110091743,S0430,120,83,74,0.6916666666666667,374,268,0.7165775401069518,227,100,150,SASQ.tsv
S0429,131,108,82,0.8244274809160306,S0428,183,129,113,0.7049180327868853,S0430,125,76,63,0.608,439,313,0.7129840546697038,258,150,200,SASQ.tsv
S0429,304,234,177,0.7697368421052632,S0428,119,91,65,0.7647058823529411,S0430,160,123,98,0.76875,583,448,0.7684391080617495,340,200,250,SASQ.tsv
S0429,485,397,320,0.8185567010309278,S0428,196,138,110,0.7040816326530612,S0430,90,55,48,0.6111111111111112,771,590,0.7652399481193255,478,250,300,SASQ.tsv
S0429,196,155,116,0.7908163265306123,S0428,99,82,72,0.8282828282828283,S0430,232,186,138,0.8017241379310345,527,423,0.8026565464895635,326,300,350,SASQ.tsv
S0429,60,47,36,0.7833333333333333,S0428,87,64,52,0.735632183908046,S0430,210,167,126,0.7952380952380952,357,278,0.7787114845938375,214,350,400,SASQ.tsv
S0429,257,219,164,0.8521400778210116,S0428,97,83,56,0.8556701030927835,S0430,277,217,164,0.7833935018050542,631,519,0.8225039619651348,384,400,450,SASQ.tsv
S0429,291,258,194,0.8865979381443299,S0428,114,98,74,0.8596491228070176,S0430,186,138,107,0.7419354838709677,591,494,0.8358714043993232,375,450,500,SASQ.tsv
S0429,130,106,77,0.8153846153846154,S0428,97,80,59,0.8247422680412371,S0430,140,114,87,0.8142857142857143,367,300,0.8174386920980926,223,500,550,SASQ.tsv
S0429,176,155,107,0.8806818181818182,S0428,88,67,53,0.7613636363636364,S0430,74,61,42,0.8243243243243243,338,283,0.8372781065088757,202,550,600,SASQ.tsv
S0429,94,79,62,0.8404255319148937,S0428,219,195,145,0.8904109589041096,S0430,106,90,64,0.8490566037735849,419,364,0.8687350835322196,271,600,650,SASQ.tsv
S0429,17,16,13,0.9411764705882353,S0428,183,158,111,0.8633879781420765,S0430,115,90,73,0.782608695652174,315,264,0.8380952380952381,197,650,700,SASQ.tsv
S0429,51,48,35,0.9411764705882353,S0428,268,233,173,0.8694029850746269,S0430,93,66,50,0.7096774193548387,412,347,0.8422330097087378,258,700,750,SASQ.tsv
S0429,16,14,13,0.875,S0428,195,173,119,0.8871794871794871,S0430,137,102,77,0.7445255474452555,348,289,0.8304597701149425,209,750,800,SASQ.tsv
S0429,216,192,146,0.8888888888888888,S0428,130,115,75,0.8846153846153846,S0430,90,73,53,0.8111111111111111,436,380,0.8715596330275229,274,800,850,SASQ.tsv
S0429,10,9,7,0.9,S0428,0,0,0,0.0,S0430,0,0,0,0.0,10,9,0.9,7,850,851,SASQ.tsv
