speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0013,20,11,8,0.55,S0152,820,27,24,0.032926829268292684,S0012,32,11,10,0.34375,872,49,0.05619266055045872,42,0,50,S6A5.tsv
S0013,4,2,2,0.5,S0152,847,51,43,0.0602125147579693,S0012,46,21,18,0.45652173913043476,897,74,0.08249721293199554,63,50,100,S6A5.tsv
S0013,2,1,1,0.5,S0152,518,35,28,0.06756756756756757,S0012,93,54,42,0.5806451612903226,613,90,0.1468189233278956,71,100,150,S6A5.tsv
S0013,3,1,1,0.3333333333333333,S0152,771,85,61,0.11024643320363164,S0012,60,46,31,0.7666666666666667,834,132,0.15827338129496402,93,150,200,S6A5.tsv
S0013,8,3,2,0.375,S0152,853,104,74,0.12192262602579132,S0012,54,27,20,0.5,915,134,0.146448087431694,96,200,250,S6A5.tsv
S0013,20,7,4,0.35,S0152,378,59,41,0.15608465608465608,S0012,72,47,31,0.6527777777777778,470,113,0.2404255319148936,76,250,300,S6A5.tsv
S0013,8,2,1,0.25,S0152,826,168,119,0.2033898305084746,S0012,60,33,21,0.55,894,203,0.22706935123042504,141,300,350,S6A5.tsv
S0013,20,7,5,0.35,S0152,341,65,51,0.1906158357771261,S0012,91,68,43,0.7472527472527473,452,140,0.30973451327433627,99,350,400,S6A5.tsv
S0013,11,5,5,0.45454545454545453,S0152,280,72,50,0.2571428571428571,S0012,53,39,29,0.7358490566037735,344,116,0.3372093023255814,84,400,450,S6A5.tsv
S0013,9,0,0,0.0,S0152,393,79,55,0.2010178117048346,S0012,35,19,15,0.5428571428571428,437,98,0.2242562929061785,70,450,500,S6A5.tsv
S0013,5,3,3,0.6,S0152,814,196,137,0.24078624078624078,S0012,48,34,21,0.7083333333333334,867,233,0.2687427912341407,161,500,550,S6A5.tsv
S0013,17,10,8,0.5882352941176471,S0152,434,103,70,0.23732718894009217,S0012,82,55,39,0.6707317073170732,533,168,0.3151969981238274,117,550,600,S6A5.tsv
S0013,72,45,26,0.625,S0152,390,139,89,0.3564102564102564,S0012,189,135,80,0.7142857142857143,651,319,0.49001536098310294,195,600,650,S6A5.tsv
S0013,11,6,3,0.5454545454545454,S0152,426,151,99,0.3544600938967136,S0012,58,50,36,0.8620689655172413,495,207,0.41818181818181815,138,650,700,S6A5.tsv
S0013,86,63,36,0.7325581395348837,S0152,354,133,87,0.3757062146892655,S0012,26,21,16,0.8076923076923077,466,217,0.4656652360515021,139,700,750,S6A5.tsv
S0013,47,39,20,0.8297872340425532,S0152,382,202,135,0.5287958115183246,S0012,77,57,34,0.7402597402597403,506,298,0.5889328063241107,189,750,800,S6A5.tsv
S0013,20,15,10,0.75,S0152,290,134,92,0.46206896551724136,S0012,74,58,35,0.7837837837837838,384,207,0.5390625,137,800,850,S6A5.tsv
S0013,0,0,0,0.0,S0152,304,137,89,0.4506578947368421,S0012,126,93,56,0.7380952380952381,430,230,0.5348837209302325,145,850,900,S6A5.tsv
S0013,9,5,5,0.5555555555555556,S0152,341,170,114,0.49853372434017595,S0012,208,160,101,0.7692307692307693,558,335,0.600358422939068,220,900,950,S6A5.tsv
S0013,13,9,8,0.6923076923076923,S0152,238,101,65,0.42436974789915966,S0012,124,95,63,0.7661290322580645,375,205,0.5466666666666666,136,950,1000,S6A5.tsv
S0013,2,2,2,1.0,S0152,351,180,120,0.5128205128205128,S0012,611,446,255,0.7299509001636661,964,628,0.6514522821576764,377,1000,1050,S6A5.tsv
S0013,1,1,1,1.0,S0152,242,114,79,0.47107438016528924,S0012,194,145,83,0.7474226804123711,437,260,0.5949656750572082,163,1050,1100,S6A5.tsv
S0013,3,1,1,0.3333333333333333,S0152,23,16,13,0.6956521739130435,S0012,13,10,8,0.7692307692307693,39,27,0.6923076923076923,22,1100,1110,S6A5.tsv
