speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0018,191,31,23,0.16230366492146597,S0014,381,44,32,0.11548556430446194,S0004,0,0,0,0.0,572,75,0.13111888111888112,55,0,50,SKCY.tsv
S0018,140,32,24,0.22857142857142856,S0014,250,54,48,0.216,S0004,0,0,0,0.0,390,86,0.2205128205128205,72,50,100,SKCY.tsv
S0018,405,130,84,0.32098765432098764,S0014,109,35,26,0.3211009174311927,S0004,0,0,0,0.0,514,165,0.321011673151751,110,100,150,SKCY.tsv
S0018,404,120,81,0.297029702970297,S0014,77,41,31,0.5324675324675324,S0004,0,0,0,0.0,481,161,0.33471933471933474,112,150,200,SKCY.tsv
S0018,451,164,107,0.36363636363636365,S0014,105,64,39,0.6095238095238096,S0004,0,0,0,0.0,556,228,0.41007194244604317,146,200,250,SKCY.tsv
S0018,180,68,51,0.37777777777777777,S0014,333,180,123,0.5405405405405406,S0004,0,0,0,0.0,513,248,0.4834307992202729,174,250,300,SKCY.tsv
S0018,191,93,60,0.4869109947643979,S0014,260,145,106,0.5576923076923077,S0004,0,0,0,0.0,451,238,0.5277161862527716,166,300,350,SKCY.tsv
S0018,180,79,53,0.4388888888888889,S0014,213,118,77,0.5539906103286385,S0004,0,0,0,0.0,393,197,0.5012722646310432,130,350,400,SKCY.tsv
S0018,131,55,34,0.4198473282442748,S0014,406,246,156,0.6059113300492611,S0004,19,7,5,0.3684210526315789,556,308,0.5539568345323741,195,400,450,SKCY.tsv
S0018,133,71,49,0.5338345864661654,S0014,343,188,117,0.5481049562682215,S0004,18,15,10,0.8333333333333334,494,274,0.5546558704453441,176,450,500,SKCY.tsv
S0018,212,117,70,0.5518867924528302,S0014,261,158,98,0.6053639846743295,S0004,0,0,0,0.0,473,275,0.5813953488372093,168,500,550,SKCY.tsv
S0018,325,162,88,0.49846153846153846,S0014,119,66,41,0.5546218487394958,S0004,11,7,5,0.6363636363636364,455,235,0.5164835164835165,134,550,600,SKCY.tsv
S0018,134,78,48,0.582089552238806,S0014,389,268,159,0.6889460154241646,S0004,59,35,20,0.5932203389830508,582,381,0.654639175257732,227,600,650,SKCY.tsv
S0018,256,136,78,0.53125,S0014,79,45,28,0.569620253164557,S0004,51,32,22,0.6274509803921569,386,213,0.5518134715025906,128,650,700,SKCY.tsv
S0018,111,62,37,0.5585585585585585,S0014,180,99,60,0.55,S0004,145,107,61,0.7379310344827587,436,268,0.6146788990825688,158,700,750,SKCY.tsv
S0018,133,72,43,0.5413533834586466,S0014,148,96,53,0.6486486486486487,S0004,63,55,34,0.873015873015873,344,223,0.6482558139534884,130,750,800,SKCY.tsv
S0018,172,98,61,0.5697674418604651,S0014,127,88,54,0.6929133858267716,S0004,32,25,16,0.78125,331,211,0.6374622356495468,131,800,850,SKCY.tsv
S0018,82,43,26,0.524390243902439,S0014,185,115,76,0.6216216216216216,S0004,42,28,20,0.6666666666666666,309,186,0.6019417475728155,122,850,900,SKCY.tsv
S0018,149,89,56,0.5973154362416108,S0014,221,146,88,0.6606334841628959,S0004,89,57,35,0.6404494382022472,459,292,0.6361655773420479,179,900,950,SKCY.tsv
S0018,252,155,97,0.6150793650793651,S0014,47,32,23,0.6808510638297872,S0004,201,126,74,0.6268656716417911,500,313,0.626,194,950,1000,SKCY.tsv
S0018,115,70,43,0.6086956521739131,S0014,201,134,89,0.6666666666666666,S0004,223,154,97,0.6905829596412556,539,358,0.6641929499072357,229,1000,1050,SKCY.tsv
S0018,156,95,61,0.6089743589743589,S0014,48,37,23,0.7708333333333334,S0004,288,200,117,0.6944444444444444,492,332,0.6747967479674797,201,1050,1100,SKCY.tsv
S0018,135,76,51,0.562962962962963,S0014,254,164,113,0.6456692913385826,S0004,58,40,24,0.6896551724137931,447,280,0.6263982102908278,188,1100,1150,SKCY.tsv
S0018,128,80,46,0.625,S0014,289,199,132,0.6885813148788927,S0004,3,0,0,0.0,420,279,0.6642857142857143,178,1150,1195,SKCY.tsv
