speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0262,142,12,10,0.08450704225352113,S0298,97,15,13,0.15463917525773196,S0261,45,9,7,0.2,284,36,0.1267605633802817,30,0,50,SKMV.tsv
S0262,296,88,62,0.2972972972972973,S0298,145,62,36,0.42758620689655175,S0261,81,37,23,0.4567901234567901,522,187,0.35823754789272033,121,50,100,SKMV.tsv
S0262,220,64,38,0.2909090909090909,S0298,335,122,78,0.3641791044776119,S0261,29,23,11,0.7931034482758621,584,209,0.3578767123287671,127,100,150,SKMV.tsv
S0262,129,70,40,0.5426356589147286,S0298,460,205,128,0.44565217391304346,S0261,124,50,29,0.4032258064516129,713,325,0.45582047685834504,197,150,200,SKMV.tsv
S0262,195,76,47,0.38974358974358975,S0298,128,75,45,0.5859375,S0261,109,72,45,0.6605504587155964,432,223,0.5162037037037037,137,200,250,SKMV.tsv
S0262,611,315,195,0.5155482815057283,S0298,32,20,16,0.625,S0261,248,117,73,0.4717741935483871,891,452,0.5072951739618407,284,250,300,SKMV.tsv
S0262,306,170,117,0.5555555555555556,S0298,244,143,84,0.5860655737704918,S0261,73,42,24,0.5753424657534246,623,355,0.5698234349919743,225,300,350,SKMV.tsv
S0262,147,74,43,0.5034013605442177,S0298,190,116,71,0.6105263157894737,S0261,118,64,45,0.5423728813559322,455,254,0.5582417582417583,159,350,400,SKMV.tsv
S0262,173,105,63,0.6069364161849711,S0298,182,114,67,0.6263736263736264,S0261,97,46,28,0.4742268041237113,452,265,0.5862831858407079,158,400,450,SKMV.tsv
S0262,83,49,27,0.5903614457831325,S0298,181,108,62,0.5966850828729282,S0261,63,45,24,0.7142857142857143,327,202,0.617737003058104,113,450,493,SKMV.tsv
