speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0521,364,19,14,0.0521978021978022,S0520,126,20,12,0.15873015873015872,S0519,111,36,24,0.32432432432432434,601,75,0.12479201331114809,50,0,50,SZP6.tsv
S0521,60,12,9,0.2,S0520,248,74,54,0.29838709677419356,S0519,148,39,27,0.2635135135135135,456,125,0.2741228070175439,90,50,100,SZP6.tsv
S0521,16,6,5,0.375,S0520,529,160,107,0.30245746691871456,S0519,46,8,6,0.17391304347826086,591,174,0.29441624365482233,118,100,150,SZP6.tsv
S0521,38,14,10,0.3684210526315789,S0520,763,286,174,0.3748361730013106,S0519,71,15,12,0.2112676056338028,872,315,0.36123853211009177,196,150,200,SZP6.tsv
S0521,12,6,6,0.5,S0520,327,116,79,0.3547400611620795,S0519,115,65,39,0.5652173913043478,454,187,0.4118942731277533,124,200,250,SZP6.tsv
S0521,119,57,34,0.4789915966386555,S0520,550,259,173,0.4709090909090909,S0519,35,16,9,0.45714285714285713,704,332,0.4715909090909091,216,250,300,SZP6.tsv
S0521,39,25,20,0.6410256410256411,S0520,279,135,84,0.4838709677419355,S0519,278,154,92,0.5539568345323741,596,314,0.5268456375838926,196,300,350,SZP6.tsv
S0521,35,24,16,0.6857142857142857,S0520,360,166,105,0.46111111111111114,S0519,273,157,97,0.575091575091575,668,347,0.5194610778443114,218,350,400,SZP6.tsv
S0521,47,25,16,0.5319148936170213,S0520,449,213,140,0.47438752783964366,S0519,202,133,84,0.6584158415841584,698,371,0.5315186246418339,240,400,450,SZP6.tsv
S0521,14,11,7,0.7857142857142857,S0520,391,206,120,0.5268542199488491,S0519,414,245,150,0.5917874396135265,819,462,0.5641025641025641,277,450,500,SZP6.tsv
S0521,79,51,27,0.6455696202531646,S0520,486,286,170,0.588477366255144,S0519,291,184,109,0.6323024054982818,856,521,0.6086448598130841,306,500,550,SZP6.tsv
S0521,88,57,32,0.6477272727272727,S0520,346,190,113,0.5491329479768786,S0519,16,3,1,0.1875,450,250,0.5555555555555556,146,550,600,SZP6.tsv
S0521,38,25,13,0.6578947368421053,S0520,274,151,91,0.551094890510949,S0519,0,0,0,0.0,312,176,0.5641025641025641,104,600,627,SZP6.tsv
