speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0230,75,31,26,0.41333333333333333,S0229,55,11,11,0.2,S0198,288,116,108,0.4027777777777778,418,158,0.37799043062200954,145,0,50,S4KW.tsv
S0230,98,60,48,0.6122448979591837,S0229,20,11,11,0.55,S0198,498,75,75,0.15060240963855423,616,146,0.237012987012987,134,50,100,S4KW.tsv
S0230,176,82,75,0.4659090909090909,S0229,36,14,13,0.3888888888888889,S0198,124,29,25,0.23387096774193547,336,125,0.37202380952380953,113,100,150,S4KW.tsv
S0230,123,52,50,0.42276422764227645,S0229,73,41,33,0.5616438356164384,S0198,156,47,42,0.30128205128205127,352,140,0.3977272727272727,125,150,200,S4KW.tsv
S0230,77,28,25,0.36363636363636365,S0229,92,43,38,0.4673913043478261,S0198,199,77,63,0.3869346733668342,368,148,0.40217391304347827,126,200,250,S4KW.tsv
S0230,140,53,40,0.37857142857142856,S0229,68,28,24,0.4117647058823529,S0198,308,141,122,0.4577922077922078,516,222,0.43023255813953487,186,250,300,S4KW.tsv
S0230,166,86,82,0.5180722891566265,S0229,31,0,0,0.0,S0198,253,63,61,0.2490118577075099,450,149,0.33111111111111113,143,300,350,S4KW.tsv
S0230,146,70,59,0.4794520547945205,S0229,23,11,10,0.4782608695652174,S0198,477,192,177,0.4025157232704403,646,273,0.42260061919504643,246,350,400,S4KW.tsv
S0230,116,69,60,0.5948275862068966,S0229,42,23,16,0.5476190476190477,S0198,540,154,143,0.2851851851851852,698,246,0.3524355300859599,219,400,450,S4KW.tsv
S0230,119,64,57,0.5378151260504201,S0229,26,12,8,0.46153846153846156,S0198,631,194,172,0.3074484944532488,776,270,0.3479381443298969,237,450,500,S4KW.tsv
S0230,70,28,26,0.4,S0229,80,55,47,0.6875,S0198,365,73,69,0.2,515,156,0.3029126213592233,142,500,550,S4KW.tsv
S0230,63,27,22,0.42857142857142855,S0229,129,53,43,0.4108527131782946,S0198,165,64,54,0.3878787878787879,357,144,0.40336134453781514,119,550,600,S4KW.tsv
S0230,110,59,50,0.5363636363636364,S0229,34,5,5,0.14705882352941177,S0198,238,68,55,0.2857142857142857,382,132,0.34554973821989526,110,600,650,S4KW.tsv
S0230,260,40,39,0.15384615384615385,S0229,18,3,3,0.16666666666666666,S0198,112,62,53,0.5535714285714286,390,105,0.2692307692307692,95,650,700,S4KW.tsv
S0230,174,91,80,0.5229885057471264,S0229,8,5,4,0.625,S0198,277,105,94,0.37906137184115524,459,201,0.43790849673202614,178,700,750,S4KW.tsv
S0230,135,71,58,0.5259259259259259,S0229,4,2,2,0.5,S0198,327,101,87,0.308868501529052,466,174,0.37339055793991416,147,750,800,S4KW.tsv
S0230,12,6,6,0.5,S0229,9,1,1,0.1111111111111111,S0198,200,17,17,0.085,221,24,0.1085972850678733,24,800,819,S4KW.tsv
