speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0278,454,58,58,0.1277533039647577,S0013,95,52,46,0.5473684210526316,S0012,68,49,39,0.7205882352941176,617,159,0.2576985413290113,143,0,50,SKYQ.tsv
S0278,452,160,152,0.35398230088495575,S0013,66,19,16,0.2878787878787879,S0012,76,38,29,0.5,594,217,0.3653198653198653,197,50,100,SKYQ.tsv
S0278,293,100,90,0.3412969283276451,S0013,122,34,33,0.2786885245901639,S0012,36,15,8,0.4166666666666667,451,149,0.3303769401330377,131,100,150,SKYQ.tsv
S0278,65,24,23,0.36923076923076925,S0013,176,60,55,0.3409090909090909,S0012,81,37,28,0.4567901234567901,322,121,0.37577639751552794,106,150,200,SKYQ.tsv
S0278,305,133,116,0.4360655737704918,S0013,175,35,30,0.2,S0012,16,10,8,0.625,496,178,0.3588709677419355,154,200,250,SKYQ.tsv
S0278,246,108,99,0.43902439024390244,S0013,39,12,12,0.3076923076923077,S0012,116,52,44,0.4482758620689655,401,172,0.428927680798005,155,250,300,SKYQ.tsv
S0278,364,109,100,0.29945054945054944,S0013,84,53,42,0.6309523809523809,S0012,43,19,14,0.4418604651162791,491,181,0.36863543788187375,156,300,350,SKYQ.tsv
S0278,211,61,55,0.2890995260663507,S0013,97,54,47,0.5567010309278351,S0012,111,52,48,0.46846846846846846,419,167,0.39856801909307876,150,350,400,SKYQ.tsv
S0278,172,86,79,0.5,S0013,82,31,27,0.3780487804878049,S0012,128,39,38,0.3046875,382,156,0.4083769633507853,144,400,450,SKYQ.tsv
S0278,132,43,40,0.32575757575757575,S0013,191,78,74,0.4083769633507853,S0012,62,25,22,0.4032258064516129,385,146,0.37922077922077924,136,450,500,SKYQ.tsv
S0278,23,16,14,0.6956521739130435,S0013,336,95,74,0.28273809523809523,S0012,162,76,58,0.4691358024691358,521,187,0.35892514395393477,146,500,550,SKYQ.tsv
S0278,117,44,41,0.37606837606837606,S0013,110,30,24,0.2727272727272727,S0012,32,10,8,0.3125,259,84,0.32432432432432434,73,550,600,SKYQ.tsv
S0278,104,47,43,0.4519230769230769,S0013,106,30,29,0.2830188679245283,S0012,55,24,19,0.43636363636363634,265,101,0.38113207547169814,91,600,650,SKYQ.tsv
S0278,191,83,76,0.43455497382198954,S0013,99,29,26,0.29292929292929293,S0012,53,26,21,0.49056603773584906,343,138,0.40233236151603496,123,650,700,SKYQ.tsv
S0278,447,142,134,0.31767337807606266,S0013,55,34,29,0.6181818181818182,S0012,40,28,23,0.7,542,204,0.3763837638376384,186,700,750,SKYQ.tsv
S0278,47,16,13,0.3404255319148936,S0013,123,64,53,0.5203252032520326,S0012,245,87,76,0.3551020408163265,415,167,0.40240963855421685,142,750,800,SKYQ.tsv
S0278,134,74,65,0.5522388059701493,S0013,164,58,50,0.35365853658536583,S0012,124,35,30,0.28225806451612906,422,167,0.3957345971563981,145,800,850,SKYQ.tsv
S0278,135,50,49,0.37037037037037035,S0013,81,36,33,0.4444444444444444,S0012,122,60,46,0.4918032786885246,338,146,0.4319526627218935,128,850,900,SKYQ.tsv
S0278,537,60,52,0.11173184357541899,S0013,26,19,16,0.7307692307692307,S0012,66,40,34,0.6060606060606061,629,119,0.1891891891891892,102,900,950,SKYQ.tsv
S0278,445,78,74,0.1752808988764045,S0013,23,10,8,0.43478260869565216,S0012,26,14,12,0.5384615384615384,494,102,0.20647773279352227,94,950,1000,SKYQ.tsv
S0278,305,98,96,0.32131147540983607,S0013,40,25,20,0.625,S0012,82,41,39,0.5,427,164,0.3840749414519906,155,1000,1050,SKYQ.tsv
S0278,28,2,2,0.07142857142857142,S0013,2,0,0,0.0,S0012,22,7,6,0.3181818181818182,52,9,0.17307692307692307,8,1050,1063,SKYQ.tsv
