speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0198,215,38,33,0.17674418604651163,S0230,149,82,75,0.5503355704697986,S0229,25,15,12,0.6,389,135,0.34704370179948585,120,0,50,SUWQ.tsv
S0198,127,65,61,0.5118110236220472,S0230,243,91,80,0.37448559670781895,S0229,64,31,29,0.484375,434,187,0.4308755760368664,170,50,100,SUWQ.tsv
S0198,175,73,65,0.41714285714285715,S0230,141,39,34,0.2765957446808511,S0229,52,27,22,0.5192307692307693,368,139,0.37771739130434784,121,100,150,SUWQ.tsv
S0198,209,95,86,0.45454545454545453,S0230,97,30,24,0.30927835051546393,S0229,66,29,26,0.4393939393939394,372,154,0.41397849462365593,136,150,200,SUWQ.tsv
S0198,191,56,49,0.2931937172774869,S0230,149,73,64,0.4899328859060403,S0229,105,54,45,0.5142857142857142,445,183,0.41123595505617977,158,200,250,SUWQ.tsv
S0198,220,68,66,0.3090909090909091,S0230,59,29,27,0.4915254237288136,S0229,72,30,27,0.4166666666666667,351,127,0.36182336182336183,120,250,300,SUWQ.tsv
S0198,185,60,51,0.32432432432432434,S0230,63,26,22,0.4126984126984127,S0229,52,22,19,0.4230769230769231,300,108,0.36,92,300,350,SUWQ.tsv
S0198,134,52,47,0.3880597014925373,S0230,131,67,59,0.5114503816793893,S0229,87,48,40,0.5517241379310345,352,167,0.4744318181818182,146,350,400,SUWQ.tsv
S0198,135,83,75,0.6148148148148148,S0230,162,82,60,0.5061728395061729,S0229,201,71,59,0.35323383084577115,498,236,0.4738955823293173,194,400,450,SUWQ.tsv
S0198,169,46,44,0.27218934911242604,S0230,100,53,44,0.53,S0229,101,35,30,0.3465346534653465,370,134,0.3621621621621622,118,450,500,SUWQ.tsv
S0198,97,32,27,0.32989690721649484,S0230,133,66,59,0.49624060150375937,S0229,86,40,38,0.46511627906976744,316,138,0.43670886075949367,124,500,550,SUWQ.tsv
S0198,111,58,57,0.5225225225225225,S0230,89,40,32,0.449438202247191,S0229,79,30,29,0.379746835443038,279,128,0.45878136200716846,118,550,600,SUWQ.tsv
S0198,204,89,79,0.4362745098039216,S0230,74,22,19,0.2972972972972973,S0229,137,43,35,0.31386861313868614,415,154,0.3710843373493976,133,600,650,SUWQ.tsv
S0198,90,15,13,0.16666666666666666,S0230,12,6,6,0.5,S0229,31,16,10,0.5161290322580645,133,37,0.2781954887218045,29,650,667,SUWQ.tsv
