speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0008,251,73,71,0.2908366533864542,S0012,64,27,21,0.421875,S0013,23,14,11,0.6086956521739131,338,114,0.33727810650887574,103,0,50,SZNG.tsv
S0008,127,42,38,0.33070866141732286,S0012,98,43,40,0.4387755102040816,S0013,70,30,23,0.42857142857142855,295,115,0.3898305084745763,101,50,100,SZNG.tsv
S0008,54,20,17,0.37037037037037035,S0012,161,79,72,0.4906832298136646,S0013,92,41,36,0.44565217391304346,307,140,0.4560260586319218,125,100,150,SZNG.tsv
S0008,81,24,21,0.2962962962962963,S0012,120,54,34,0.45,S0013,59,10,10,0.1694915254237288,260,88,0.3384615384615385,65,150,200,SZNG.tsv
S0008,255,102,96,0.4,S0012,64,22,18,0.34375,S0013,90,51,43,0.5666666666666667,409,175,0.4278728606356968,157,200,250,SZNG.tsv
S0008,183,68,59,0.37158469945355194,S0012,87,51,44,0.5862068965517241,S0013,91,24,21,0.26373626373626374,361,143,0.3961218836565097,124,250,300,SZNG.tsv
S0008,239,54,50,0.22594142259414227,S0012,69,13,10,0.18840579710144928,S0013,17,8,8,0.47058823529411764,325,75,0.23076923076923078,68,300,350,SZNG.tsv
S0008,330,126,112,0.38181818181818183,S0012,129,62,49,0.4806201550387597,S0013,15,6,5,0.4,474,194,0.4092827004219409,166,350,400,SZNG.tsv
S0008,329,135,127,0.41033434650455924,S0012,157,67,57,0.4267515923566879,S0013,0,0,0,0.0,486,202,0.4156378600823045,184,400,450,SZNG.tsv
S0008,257,54,48,0.21011673151750973,S0012,110,54,36,0.4909090909090909,S0013,7,2,2,0.2857142857142857,374,110,0.29411764705882354,86,450,500,SZNG.tsv
S0008,551,135,122,0.24500907441016334,S0012,60,34,31,0.5666666666666667,S0013,2,2,2,1.0,613,171,0.27895595432300163,155,500,550,SZNG.tsv
S0008,334,133,120,0.39820359281437123,S0012,137,57,48,0.41605839416058393,S0013,30,12,8,0.4,501,202,0.4031936127744511,176,550,600,SZNG.tsv
S0008,206,77,69,0.3737864077669903,S0012,298,137,119,0.4597315436241611,S0013,0,0,0,0.0,504,214,0.4246031746031746,188,600,650,SZNG.tsv
S0008,261,77,71,0.2950191570881226,S0012,241,132,113,0.5477178423236515,S0013,7,2,2,0.2857142857142857,509,211,0.41453831041257366,186,650,700,SZNG.tsv
S0008,101,70,60,0.693069306930693,S0012,185,63,55,0.34054054054054056,S0013,99,39,33,0.3939393939393939,385,172,0.44675324675324674,148,700,750,SZNG.tsv
S0008,228,72,65,0.3157894736842105,S0012,137,73,61,0.5328467153284672,S0013,45,17,14,0.37777777777777777,410,162,0.3951219512195122,140,750,800,SZNG.tsv
S0008,319,99,87,0.3103448275862069,S0012,90,42,38,0.4666666666666667,S0013,20,7,7,0.35,429,148,0.34498834498834496,132,800,850,SZNG.tsv
S0008,334,114,104,0.3413173652694611,S0012,188,80,73,0.425531914893617,S0013,2,2,2,1.0,524,196,0.37404580152671757,179,850,900,SZNG.tsv
S0008,393,126,110,0.32061068702290074,S0012,133,67,52,0.5037593984962406,S0013,1,0,0,0.0,527,193,0.36622390891840606,162,900,950,SZNG.tsv
S0008,362,74,61,0.20441988950276244,S0012,152,81,76,0.5328947368421053,S0013,5,4,4,0.8,519,159,0.3063583815028902,141,950,1000,SZNG.tsv
S0008,127,60,51,0.47244094488188976,S0012,198,66,55,0.3333333333333333,S0013,55,34,29,0.6181818181818182,380,160,0.42105263157894735,135,1000,1050,SZNG.tsv
S0008,189,78,67,0.4126984126984127,S0012,198,81,68,0.4090909090909091,S0013,106,60,52,0.5660377358490566,493,219,0.44421906693711966,187,1050,1100,SZNG.tsv
S0008,191,48,46,0.2513089005235602,S0012,140,68,61,0.4857142857142857,S0013,13,8,8,0.6153846153846154,344,124,0.36046511627906974,115,1100,1150,SZNG.tsv
S0008,99,18,16,0.18181818181818182,S0012,237,87,82,0.3670886075949367,S0013,72,50,39,0.6944444444444444,408,155,0.3799019607843137,137,1150,1200,SZNG.tsv
S0008,151,76,67,0.5033112582781457,S0012,183,87,70,0.47540983606557374,S0013,93,25,23,0.26881720430107525,427,188,0.44028103044496486,160,1200,1250,SZNG.tsv
S0008,273,39,32,0.14285714285714285,S0012,99,64,56,0.6464646464646465,S0013,24,16,15,0.6666666666666666,396,119,0.3005050505050505,103,1250,1300,SZNG.tsv
