speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0120,100,11,8,0.11,S0058,123,19,15,0.15447154471544716,S0179,93,14,12,0.15053763440860216,316,44,0.13924050632911392,35,0,50,S37K.tsv
S0120,110,11,8,0.1,S0058,91,8,7,0.08791208791208792,S0179,41,12,8,0.2926829268292683,242,31,0.128099173553719,23,50,100,S37K.tsv
S0120,101,8,8,0.07920792079207921,S0058,136,21,19,0.15441176470588236,S0179,53,11,9,0.20754716981132076,290,40,0.13793103448275862,36,100,150,S37K.tsv
S0120,107,17,14,0.1588785046728972,S0058,223,26,22,0.11659192825112108,S0179,71,9,7,0.1267605633802817,401,52,0.12967581047381546,43,150,200,S37K.tsv
S0120,105,19,15,0.18095238095238095,S0058,123,9,7,0.07317073170731707,S0179,84,16,9,0.19047619047619047,312,44,0.14102564102564102,31,200,250,S37K.tsv
S0120,73,17,14,0.2328767123287671,S0058,147,14,12,0.09523809523809523,S0179,116,30,20,0.25862068965517243,336,61,0.18154761904761904,46,250,300,S37K.tsv
S0120,84,5,5,0.05952380952380952,S0058,101,8,6,0.07920792079207921,S0179,79,12,9,0.1518987341772152,264,25,0.0946969696969697,20,300,350,S37K.tsv
S0120,107,10,9,0.09345794392523364,S0058,101,25,17,0.24752475247524752,S0179,75,11,10,0.14666666666666667,283,46,0.1625441696113074,36,350,400,S37K.tsv
S0120,50,12,9,0.24,S0058,262,43,28,0.16412213740458015,S0179,53,10,9,0.18867924528301888,365,65,0.1780821917808219,46,400,450,S37K.tsv
S0120,69,13,8,0.18840579710144928,S0058,331,45,35,0.13595166163141995,S0179,56,7,5,0.125,456,65,0.1425438596491228,48,450,500,S37K.tsv
S0120,100,20,15,0.2,S0058,210,7,6,0.03333333333333333,S0179,64,15,10,0.234375,374,42,0.11229946524064172,31,500,550,S37K.tsv
S0120,129,30,22,0.23255813953488372,S0058,304,28,20,0.09210526315789473,S0179,65,23,16,0.35384615384615387,498,81,0.16265060240963855,58,550,600,S37K.tsv
S0120,34,8,7,0.23529411764705882,S0058,141,27,18,0.19148936170212766,S0179,127,14,10,0.11023622047244094,302,49,0.16225165562913907,35,600,650,S37K.tsv
S0120,112,20,14,0.17857142857142858,S0058,164,19,14,0.11585365853658537,S0179,139,15,13,0.1079136690647482,415,54,0.13012048192771083,41,650,700,S37K.tsv
S0120,91,9,7,0.0989010989010989,S0058,56,16,10,0.2857142857142857,S0179,260,32,26,0.12307692307692308,407,57,0.14004914004914004,43,700,750,S37K.tsv
S0120,94,17,13,0.18085106382978725,S0058,107,17,13,0.1588785046728972,S0179,99,12,9,0.12121212121212122,300,46,0.15333333333333332,35,750,800,S37K.tsv
S0120,184,16,12,0.08695652173913043,S0058,83,15,11,0.18072289156626506,S0179,65,14,9,0.2153846153846154,332,45,0.1355421686746988,32,800,850,S37K.tsv
S0120,68,11,7,0.16176470588235295,S0058,131,22,18,0.16793893129770993,S0179,287,45,37,0.156794425087108,486,78,0.16049382716049382,62,850,900,S37K.tsv
S0120,48,9,8,0.1875,S0058,205,40,31,0.1951219512195122,S0179,174,20,14,0.11494252873563218,427,69,0.16159250585480095,53,900,950,S37K.tsv
S0120,106,27,20,0.25471698113207547,S0058,164,15,11,0.09146341463414634,S0179,39,8,4,0.20512820512820512,309,50,0.16181229773462782,35,950,1000,S37K.tsv
S0120,26,2,2,0.07692307692307693,S0058,298,57,40,0.1912751677852349,S0179,202,37,19,0.18316831683168316,526,96,0.18250950570342206,61,1000,1050,S37K.tsv
S0120,27,5,4,0.18518518518518517,S0058,184,18,13,0.09782608695652174,S0179,188,26,20,0.13829787234042554,399,49,0.12280701754385964,37,1050,1100,S37K.tsv
S0120,152,9,7,0.05921052631578947,S0058,128,23,16,0.1796875,S0179,60,11,6,0.18333333333333332,340,43,0.1264705882352941,29,1100,1150,S37K.tsv
S0120,124,15,9,0.12096774193548387,S0058,123,17,12,0.13821138211382114,S0179,143,14,11,0.0979020979020979,390,46,0.11794871794871795,32,1150,1200,S37K.tsv
S0120,194,32,21,0.16494845360824742,S0058,183,27,18,0.14754098360655737,S0179,144,29,23,0.2013888888888889,521,88,0.1689059500959693,62,1200,1250,S37K.tsv
S0120,88,17,10,0.19318181818181818,S0058,240,47,28,0.19583333333333333,S0179,92,9,8,0.09782608695652174,420,73,0.1738095238095238,46,1250,1300,S37K.tsv
S0120,91,15,12,0.16483516483516483,S0058,211,24,20,0.11374407582938388,S0179,126,26,18,0.20634920634920634,428,65,0.15186915887850466,50,1300,1350,S37K.tsv
S0120,94,14,11,0.14893617021276595,S0058,150,20,12,0.13333333333333333,S0179,36,8,6,0.2222222222222222,280,42,0.15,29,1350,1400,S37K.tsv
S0120,95,15,8,0.15789473684210525,S0058,165,42,29,0.2545454545454545,S0179,240,39,20,0.1625,500,96,0.192,57,1400,1450,S37K.tsv
S0120,60,9,7,0.15,S0058,127,22,15,0.1732283464566929,S0179,350,60,49,0.17142857142857143,537,91,0.16945996275605213,71,1450,1500,S37K.tsv
S0120,52,9,7,0.17307692307692307,S0058,118,28,18,0.23728813559322035,S0179,268,22,14,0.08208955223880597,438,59,0.13470319634703196,39,1500,1550,S37K.tsv
S0120,49,13,10,0.2653061224489796,S0058,178,39,28,0.21910112359550563,S0179,323,45,32,0.1393188854489164,550,97,0.17636363636363636,70,1550,1600,S37K.tsv
S0120,279,30,24,0.10752688172043011,S0058,33,2,2,0.06060606060606061,S0179,85,20,14,0.23529411764705882,397,52,0.1309823677581864,40,1600,1647,S37K.tsv
