speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0083,124,23,20,0.18548387096774194,S0084,191,29,22,0.1518324607329843,S0086,0,0,0,0.0,315,52,0.16507936507936508,42,0,50,SE88.tsv
S0083,116,38,25,0.3275862068965517,S0084,323,37,26,0.11455108359133127,S0086,0,0,0,0.0,439,75,0.17084282460136674,51,50,100,SE88.tsv
S0083,82,19,12,0.23170731707317074,S0084,400,37,24,0.0925,S0086,0,0,0,0.0,482,56,0.11618257261410789,36,100,150,SE88.tsv
S0083,121,32,26,0.2644628099173554,S0084,278,24,19,0.08633093525179857,S0086,0,0,0,0.0,399,56,0.14035087719298245,45,150,200,SE88.tsv
S0083,269,42,30,0.15613382899628253,S0084,136,25,16,0.18382352941176472,S0086,0,0,0,0.0,405,67,0.1654320987654321,46,200,250,SE88.tsv
S0083,144,24,20,0.16666666666666666,S0084,210,19,17,0.09047619047619047,S0086,0,0,0,0.0,354,43,0.12146892655367232,37,250,300,SE88.tsv
S0083,136,16,8,0.11764705882352941,S0084,167,18,13,0.10778443113772455,S0086,32,8,7,0.25,335,42,0.1253731343283582,28,300,350,SE88.tsv
S0083,87,13,11,0.14942528735632185,S0084,244,10,9,0.040983606557377046,S0086,14,1,1,0.07142857142857142,345,24,0.06956521739130435,21,350,400,SE88.tsv
S0083,113,24,18,0.21238938053097345,S0084,107,6,6,0.056074766355140186,S0086,257,34,27,0.13229571984435798,477,64,0.13417190775681342,51,400,450,SE88.tsv
S0083,87,10,8,0.11494252873563218,S0084,75,11,8,0.14666666666666667,S0086,75,8,6,0.10666666666666667,237,29,0.12236286919831224,22,450,500,SE88.tsv
S0083,208,62,38,0.2980769230769231,S0084,372,46,33,0.12365591397849462,S0086,35,6,4,0.17142857142857143,615,114,0.18536585365853658,75,500,550,SE88.tsv
S0083,119,19,16,0.15966386554621848,S0084,201,38,31,0.1890547263681592,S0086,0,0,0,0.0,320,57,0.178125,47,550,600,SE88.tsv
S0083,112,12,9,0.10714285714285714,S0084,148,17,12,0.11486486486486487,S0086,25,5,5,0.2,285,34,0.11929824561403508,26,600,650,SE88.tsv
S0083,106,31,26,0.29245283018867924,S0084,211,30,27,0.14218009478672985,S0086,63,8,5,0.12698412698412698,380,69,0.18157894736842106,58,650,700,SE88.tsv
S0083,118,8,7,0.06779661016949153,S0084,146,25,14,0.17123287671232876,S0086,38,14,9,0.3684210526315789,302,47,0.15562913907284767,30,700,750,SE88.tsv
S0083,112,28,16,0.25,S0084,66,14,9,0.21212121212121213,S0086,128,32,21,0.25,306,74,0.24183006535947713,46,750,800,SE88.tsv
S0083,186,37,27,0.1989247311827957,S0084,221,49,36,0.22171945701357465,S0086,0,0,0,0.0,407,86,0.2113022113022113,63,800,850,SE88.tsv
S0083,127,14,11,0.11023622047244094,S0084,375,38,31,0.10133333333333333,S0086,0,0,0,0.0,502,52,0.10358565737051793,42,850,900,SE88.tsv
S0083,72,8,7,0.1111111111111111,S0084,523,12,11,0.022944550669216062,S0086,0,0,0,0.0,595,20,0.03361344537815126,18,900,950,SE88.tsv
S0083,174,58,38,0.3333333333333333,S0084,415,56,36,0.13493975903614458,S0086,0,0,0,0.0,589,114,0.1935483870967742,74,950,1000,SE88.tsv
S0083,124,33,24,0.2661290322580645,S0084,272,16,11,0.058823529411764705,S0086,0,0,0,0.0,396,49,0.12373737373737374,35,1000,1042,SE88.tsv
