speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0058,75,14,10,0.18666666666666668,S0184,123,22,18,0.17886178861788618,S0179,101,18,15,0.1782178217821782,299,54,0.1806020066889632,43,0,50,SK8N.tsv
S0058,34,7,6,0.20588235294117646,S0184,66,23,15,0.3484848484848485,S0179,176,31,24,0.17613636363636365,276,61,0.2210144927536232,45,50,100,SK8N.tsv
S0058,32,8,6,0.25,S0184,113,21,16,0.18584070796460178,S0179,68,1,1,0.014705882352941176,213,30,0.14084507042253522,23,100,150,SK8N.tsv
S0058,148,36,30,0.24324324324324326,S0184,28,9,5,0.32142857142857145,S0179,62,7,6,0.11290322580645161,238,52,0.2184873949579832,41,150,200,SK8N.tsv
S0058,88,11,10,0.125,S0184,81,18,17,0.2222222222222222,S0179,71,21,11,0.29577464788732394,240,50,0.20833333333333334,38,200,250,SK8N.tsv
S0058,142,26,19,0.18309859154929578,S0184,90,6,6,0.06666666666666667,S0179,40,9,8,0.225,272,41,0.15073529411764705,33,250,300,SK8N.tsv
S0058,61,6,5,0.09836065573770492,S0184,6,4,2,0.6666666666666666,S0179,191,13,12,0.06806282722513089,258,23,0.08914728682170543,19,300,350,SK8N.tsv
S0058,40,16,14,0.4,S0184,38,8,8,0.21052631578947367,S0179,187,24,24,0.12834224598930483,265,48,0.1811320754716981,46,350,400,SK8N.tsv
S0058,50,11,10,0.22,S0184,130,14,13,0.1076923076923077,S0179,38,8,8,0.21052631578947367,218,33,0.15137614678899083,31,400,450,SK8N.tsv
S0058,177,27,25,0.15254237288135594,S0184,41,16,11,0.3902439024390244,S0179,61,17,12,0.2786885245901639,279,60,0.21505376344086022,48,450,500,SK8N.tsv
S0058,62,11,8,0.1774193548387097,S0184,151,14,14,0.09271523178807947,S0179,46,12,10,0.2608695652173913,259,37,0.14285714285714285,32,500,550,SK8N.tsv
S0058,174,12,12,0.06896551724137931,S0184,47,8,8,0.1702127659574468,S0179,53,9,8,0.16981132075471697,274,29,0.10583941605839416,28,550,600,SK8N.tsv
S0058,42,15,12,0.35714285714285715,S0184,12,4,4,0.3333333333333333,S0179,214,39,33,0.1822429906542056,268,58,0.21641791044776118,49,600,650,SK8N.tsv
S0058,89,16,14,0.1797752808988764,S0184,97,22,14,0.2268041237113402,S0179,98,12,10,0.12244897959183673,284,50,0.176056338028169,38,650,700,SK8N.tsv
S0058,142,31,26,0.21830985915492956,S0184,105,13,9,0.12380952380952381,S0179,25,3,3,0.12,272,47,0.17279411764705882,38,700,750,SK8N.tsv
S0058,158,34,23,0.21518987341772153,S0184,49,12,9,0.24489795918367346,S0179,57,5,5,0.08771929824561403,264,51,0.19318181818181818,37,750,800,SK8N.tsv
S0058,120,23,19,0.19166666666666668,S0184,135,9,8,0.06666666666666667,S0179,36,2,2,0.05555555555555555,291,34,0.11683848797250859,29,800,850,SK8N.tsv
S0058,82,8,6,0.0975609756097561,S0184,52,13,10,0.25,S0179,124,32,24,0.25806451612903225,258,53,0.2054263565891473,40,850,900,SK8N.tsv
S0058,41,9,6,0.21951219512195122,S0184,43,3,3,0.06976744186046512,S0179,165,17,16,0.10303030303030303,249,29,0.11646586345381527,25,900,950,SK8N.tsv
S0058,63,12,10,0.19047619047619047,S0184,133,40,33,0.3007518796992481,S0179,89,4,2,0.0449438202247191,285,56,0.19649122807017544,45,950,1000,SK8N.tsv
S0058,185,36,31,0.1945945945945946,S0184,45,4,4,0.08888888888888889,S0179,51,3,3,0.058823529411764705,281,43,0.15302491103202848,38,1000,1050,SK8N.tsv
S0058,78,9,8,0.11538461538461539,S0184,149,37,34,0.2483221476510067,S0179,50,10,8,0.2,277,56,0.20216606498194944,50,1050,1100,SK8N.tsv
S0058,102,16,14,0.1568627450980392,S0184,53,11,9,0.20754716981132076,S0179,59,6,6,0.1016949152542373,214,33,0.1542056074766355,29,1100,1150,SK8N.tsv
S0058,158,21,19,0.13291139240506328,S0184,44,16,10,0.36363636363636365,S0179,52,1,1,0.019230769230769232,254,38,0.14960629921259844,30,1150,1200,SK8N.tsv
S0058,184,42,27,0.22826086956521738,S0184,70,15,12,0.21428571428571427,S0179,66,12,9,0.18181818181818182,320,69,0.215625,48,1200,1250,SK8N.tsv
S0058,90,7,7,0.07777777777777778,S0184,11,1,1,0.09090909090909091,S0179,168,17,14,0.10119047619047619,269,25,0.09293680297397769,22,1250,1300,SK8N.tsv
S0058,23,11,6,0.4782608695652174,S0184,99,29,18,0.29292929292929293,S0179,135,4,4,0.02962962962962963,257,44,0.17120622568093385,28,1300,1350,SK8N.tsv
S0058,94,19,18,0.20212765957446807,S0184,63,12,11,0.19047619047619047,S0179,41,5,4,0.12195121951219512,198,36,0.18181818181818182,33,1350,1400,SK8N.tsv
S0058,95,4,4,0.042105263157894736,S0184,104,13,12,0.125,S0179,42,9,6,0.21428571428571427,241,26,0.1078838174273859,22,1400,1450,SK8N.tsv
S0058,146,22,19,0.1506849315068493,S0184,61,2,2,0.03278688524590164,S0179,21,3,3,0.14285714285714285,228,27,0.11842105263157894,24,1450,1500,SK8N.tsv
S0058,92,10,9,0.10869565217391304,S0184,28,4,2,0.14285714285714285,S0179,143,28,23,0.1958041958041958,263,42,0.1596958174904943,34,1500,1550,SK8N.tsv
S0058,96,15,13,0.15625,S0184,44,9,8,0.20454545454545456,S0179,94,20,17,0.2127659574468085,234,44,0.18803418803418803,38,1550,1600,SK8N.tsv
S0058,132,13,13,0.09848484848484848,S0184,151,22,19,0.1456953642384106,S0179,9,1,1,0.1111111111111111,292,36,0.1232876712328767,33,1600,1650,SK8N.tsv
S0058,18,0,0,0.0,S0184,3,0,0,0.0,S0179,2,0,0,0.0,23,0,0.0,0,1650,1656,SK8N.tsv
