speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0455,178,10,9,0.056179775280898875,S0454,92,17,11,0.18478260869565216,S0452,18,4,4,0.2222222222222222,288,31,0.1076388888888889,24,0,50,SM6Y.tsv
S0455,249,48,41,0.1927710843373494,S0454,139,16,13,0.11510791366906475,S0452,18,4,2,0.2222222222222222,406,68,0.16748768472906403,56,50,100,SM6Y.tsv
S0455,237,28,23,0.11814345991561181,S0454,121,24,19,0.19834710743801653,S0452,28,7,5,0.25,386,59,0.15284974093264247,47,100,150,SM6Y.tsv
S0455,161,16,12,0.09937888198757763,S0454,72,6,4,0.08333333333333333,S0452,24,5,4,0.20833333333333334,257,27,0.10505836575875487,20,150,200,SM6Y.tsv
S0455,144,23,19,0.1597222222222222,S0454,142,17,12,0.11971830985915492,S0452,13,0,0,0.0,299,40,0.13377926421404682,31,200,250,SM6Y.tsv
S0455,148,24,19,0.16216216216216217,S0454,181,15,12,0.08287292817679558,S0452,35,11,8,0.3142857142857143,364,50,0.13736263736263737,39,250,300,SM6Y.tsv
S0455,266,26,21,0.09774436090225563,S0454,77,21,17,0.2727272727272727,S0452,8,0,0,0.0,351,47,0.1339031339031339,38,300,350,SM6Y.tsv
S0455,132,23,16,0.17424242424242425,S0454,142,32,22,0.22535211267605634,S0452,25,1,1,0.04,299,56,0.18729096989966554,39,350,400,SM6Y.tsv
S0455,166,21,18,0.12650602409638553,S0454,151,31,28,0.2052980132450331,S0452,9,1,1,0.1111111111111111,326,53,0.16257668711656442,47,400,450,SM6Y.tsv
S0455,262,27,21,0.10305343511450382,S0454,93,25,17,0.26881720430107525,S0452,0,0,0,0.0,355,52,0.14647887323943662,38,450,500,SM6Y.tsv
S0455,302,50,38,0.16556291390728478,S0454,120,39,27,0.325,S0452,0,0,0,0.0,422,89,0.2109004739336493,65,500,550,SM6Y.tsv
S0455,180,31,25,0.17222222222222222,S0454,156,33,24,0.21153846153846154,S0452,0,0,0,0.0,336,64,0.19047619047619047,49,550,600,SM6Y.tsv
S0455,118,13,9,0.11016949152542373,S0454,191,17,14,0.08900523560209424,S0452,0,0,0,0.0,309,30,0.0970873786407767,23,600,650,SM6Y.tsv
S0455,151,22,19,0.1456953642384106,S0454,224,15,11,0.06696428571428571,S0452,0,0,0,0.0,375,37,0.09866666666666667,30,650,700,SM6Y.tsv
S0455,90,4,3,0.044444444444444446,S0454,42,5,4,0.11904761904761904,S0452,1,0,0,0.0,133,9,0.06766917293233082,7,700,730,SM6Y.tsv
