speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0686,290,67,48,0.23103448275862068,S0684,156,18,14,0.11538461538461539,S0685,66,9,7,0.13636363636363635,512,94,0.18359375,69,0,50,SP9Z.tsv
S0686,269,35,21,0.13011152416356878,S0684,180,31,20,0.17222222222222222,S0685,29,1,1,0.034482758620689655,478,67,0.1401673640167364,42,50,100,SP9Z.tsv
S0686,203,30,22,0.1477832512315271,S0684,125,12,10,0.096,S0685,175,47,27,0.26857142857142857,503,89,0.17693836978131214,59,100,150,SP9Z.tsv
S0686,233,59,40,0.2532188841201717,S0684,65,20,10,0.3076923076923077,S0685,363,42,28,0.11570247933884298,661,121,0.18305597579425115,78,150,200,SP9Z.tsv
S0686,265,33,24,0.12452830188679245,S0684,43,9,7,0.20930232558139536,S0685,315,60,36,0.19047619047619047,623,102,0.1637239165329053,67,200,250,SP9Z.tsv
S0686,153,36,24,0.23529411764705882,S0684,1,0,0,0.0,S0685,551,43,27,0.0780399274047187,705,79,0.11205673758865248,51,250,300,SP9Z.tsv
S0686,255,59,36,0.23137254901960785,S0684,167,45,30,0.2694610778443114,S0685,278,41,26,0.1474820143884892,700,145,0.20714285714285716,92,300,350,SP9Z.tsv
S0686,53,11,8,0.20754716981132076,S0684,109,0,0,0.0,S0685,378,64,35,0.1693121693121693,540,75,0.1388888888888889,43,350,400,SP9Z.tsv
S0686,131,12,10,0.0916030534351145,S0684,12,7,5,0.5833333333333334,S0685,446,29,20,0.06502242152466367,589,48,0.08149405772495756,35,400,450,SP9Z.tsv
S0686,322,101,63,0.3136645962732919,S0684,114,34,22,0.2982456140350877,S0685,398,53,32,0.13316582914572864,834,188,0.22541966426858512,117,450,500,SP9Z.tsv
S0686,114,17,11,0.14912280701754385,S0684,21,3,2,0.14285714285714285,S0685,209,17,10,0.08133971291866028,344,37,0.10755813953488372,23,500,523,SP9Z.tsv
