speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0439,400,11,7,0.0275,S0441,68,12,10,0.17647058823529413,S0440,106,36,22,0.33962264150943394,574,59,0.10278745644599303,39,0,50,SRX4.tsv
S0439,80,7,6,0.0875,S0441,79,16,12,0.20253164556962025,S0440,69,10,7,0.14492753623188406,228,33,0.14473684210526316,25,50,100,SRX4.tsv
S0439,100,23,17,0.23,S0441,76,17,12,0.2236842105263158,S0440,80,13,8,0.1625,256,53,0.20703125,37,100,150,SRX4.tsv
S0439,201,25,17,0.12437810945273632,S0441,30,3,2,0.1,S0440,137,11,6,0.08029197080291971,368,39,0.10597826086956522,25,150,200,SRX4.tsv
S0439,138,33,23,0.2391304347826087,S0441,28,5,4,0.17857142857142858,S0440,326,38,26,0.1165644171779141,492,76,0.15447154471544716,53,200,250,SRX4.tsv
S0439,84,18,13,0.21428571428571427,S0441,48,11,8,0.22916666666666666,S0440,138,16,12,0.11594202898550725,270,45,0.16666666666666666,33,250,300,SRX4.tsv
S0439,127,27,21,0.2125984251968504,S0441,50,7,6,0.14,S0440,167,26,17,0.15568862275449102,344,60,0.1744186046511628,44,300,350,SRX4.tsv
S0439,143,35,19,0.24475524475524477,S0441,60,6,3,0.1,S0440,133,25,21,0.18796992481203006,336,66,0.19642857142857142,43,350,400,SRX4.tsv
S0439,201,35,22,0.17412935323383086,S0441,47,17,12,0.3617021276595745,S0440,331,33,26,0.09969788519637462,579,85,0.14680483592400692,60,400,450,SRX4.tsv
S0439,114,39,25,0.34210526315789475,S0441,16,9,8,0.5625,S0440,458,25,16,0.05458515283842795,588,73,0.12414965986394558,49,450,500,SRX4.tsv
S0439,140,34,25,0.24285714285714285,S0441,69,18,11,0.2608695652173913,S0440,143,20,10,0.13986013986013987,352,72,0.20454545454545456,46,500,550,SRX4.tsv
S0439,294,16,14,0.05442176870748299,S0441,58,11,8,0.1896551724137931,S0440,93,16,14,0.17204301075268819,445,43,0.09662921348314607,36,550,600,SRX4.tsv
S0439,196,26,24,0.1326530612244898,S0441,15,4,4,0.26666666666666666,S0440,194,28,17,0.14432989690721648,405,58,0.14320987654320988,45,600,650,SRX4.tsv
S0439,178,28,22,0.15730337078651685,S0441,36,15,12,0.4166666666666667,S0440,172,45,30,0.2616279069767442,386,88,0.22797927461139897,64,650,700,SRX4.tsv
S0439,100,26,20,0.26,S0441,100,18,13,0.18,S0440,160,35,24,0.21875,360,79,0.21944444444444444,57,700,750,SRX4.tsv
S0439,275,17,13,0.06181818181818182,S0441,40,16,11,0.4,S0440,71,10,5,0.14084507042253522,386,43,0.11139896373056994,29,750,800,SRX4.tsv
S0439,5,1,1,0.2,S0441,3,0,0,0.0,S0440,34,0,0,0.0,42,1,0.023809523809523808,1,800,809,SRX4.tsv
