speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0012,105,14,13,0.13333333333333333,S0008,240,38,30,0.15833333333333333,S0013,8,1,1,0.125,353,53,0.1501416430594901,44,0,50,SZQ9.tsv
S0012,158,44,35,0.27848101265822783,S0008,153,17,12,0.1111111111111111,S0013,41,10,6,0.24390243902439024,352,71,0.20170454545454544,53,50,100,SZQ9.tsv
S0012,80,21,18,0.2625,S0008,133,20,13,0.15037593984962405,S0013,24,5,4,0.20833333333333334,237,46,0.1940928270042194,35,100,150,SZQ9.tsv
S0012,124,26,18,0.20967741935483872,S0008,133,19,10,0.14285714285714285,S0013,46,15,11,0.32608695652173914,303,60,0.19801980198019803,39,150,200,SZQ9.tsv
S0012,214,50,25,0.2336448598130841,S0008,132,16,11,0.12121212121212122,S0013,5,0,0,0.0,351,66,0.18803418803418803,36,200,250,SZQ9.tsv
S0012,142,35,23,0.24647887323943662,S0008,80,24,17,0.3,S0013,38,7,5,0.18421052631578946,260,66,0.25384615384615383,45,250,300,SZQ9.tsv
S0012,96,35,17,0.3645833333333333,S0008,127,14,13,0.11023622047244094,S0013,16,6,6,0.375,239,55,0.2301255230125523,36,300,350,SZQ9.tsv
S0012,112,26,19,0.23214285714285715,S0008,204,41,27,0.20098039215686275,S0013,23,12,10,0.5217391304347826,339,79,0.23303834808259588,56,350,400,SZQ9.tsv
S0012,88,25,20,0.2840909090909091,S0008,154,21,15,0.13636363636363635,S0013,46,3,3,0.06521739130434782,288,49,0.1701388888888889,38,400,450,SZQ9.tsv
S0012,176,37,25,0.21022727272727273,S0008,121,37,20,0.30578512396694213,S0013,6,2,2,0.3333333333333333,303,76,0.2508250825082508,47,450,500,SZQ9.tsv
S0012,71,20,11,0.28169014084507044,S0008,202,31,24,0.15346534653465346,S0013,69,13,10,0.18840579710144928,342,64,0.1871345029239766,45,500,550,SZQ9.tsv
S0012,81,20,14,0.24691358024691357,S0008,252,31,21,0.12301587301587301,S0013,11,4,4,0.36363636363636365,344,55,0.15988372093023256,39,550,600,SZQ9.tsv
S0012,70,26,20,0.37142857142857144,S0008,172,19,15,0.11046511627906977,S0013,11,2,2,0.18181818181818182,253,47,0.1857707509881423,37,600,650,SZQ9.tsv
S0012,8,0,0,0.0,S0008,6,1,1,0.16666666666666666,S0013,1,0,0,0.0,15,1,0.06666666666666667,1,650,655,SZQ9.tsv
