speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0689,44,7,7,0.1590909090909091,S0687,63,22,17,0.3492063492063492,S0690,243,75,67,0.30864197530864196,S0688,97,27,23,0.27835051546391754,447,131,0.2930648769574944,114,0,50,SAVN.tsv
S0689,91,68,56,0.7472527472527473,S0687,152,87,70,0.5723684210526315,S0690,2,2,1,1.0,S0688,155,59,52,0.38064516129032255,400,216,0.54,179,50,100,SAVN.tsv
S0689,286,203,160,0.7097902097902098,S0687,197,123,103,0.6243654822335025,S0690,2,0,0,0.0,S0688,122,57,49,0.4672131147540984,607,383,0.6309719934102141,312,100,150,SAVN.tsv
S0689,69,54,46,0.782608695652174,S0687,309,204,183,0.6601941747572816,S0690,46,29,25,0.6304347826086957,S0688,37,29,23,0.7837837837837838,461,316,0.6854663774403471,277,150,200,SAVN.tsv
S0689,87,60,45,0.6896551724137931,S0687,431,302,258,0.7006960556844548,S0690,69,49,37,0.7101449275362319,S0688,67,54,34,0.8059701492537313,654,465,0.7110091743119266,374,200,250,SAVN.tsv
S0689,104,89,65,0.8557692307692307,S0687,206,144,107,0.6990291262135923,S0690,45,38,27,0.8444444444444444,S0688,92,70,52,0.7608695652173914,447,341,0.7628635346756152,251,250,300,SAVN.tsv
S0689,67,56,38,0.835820895522388,S0687,91,66,52,0.7252747252747253,S0690,51,36,28,0.7058823529411765,S0688,139,98,82,0.7050359712230215,348,256,0.735632183908046,200,300,350,SAVN.tsv
S0689,176,132,99,0.75,S0687,96,76,57,0.7916666666666666,S0690,0,0,0,0.0,S0688,97,72,53,0.7422680412371134,369,280,0.7588075880758808,209,350,400,SAVN.tsv
S0689,292,211,166,0.7226027397260274,S0687,416,323,243,0.7764423076923077,S0690,0,0,0,0.0,S0688,63,44,36,0.6984126984126984,771,578,0.7496757457846952,445,400,450,SAVN.tsv
S0689,177,141,106,0.7966101694915254,S0687,248,185,142,0.7459677419354839,S0690,0,0,0,0.0,S0688,160,125,91,0.78125,585,451,0.770940170940171,339,450,500,SAVN.tsv
S0689,178,140,103,0.7865168539325843,S0687,132,103,66,0.7803030303030303,S0690,25,16,11,0.64,S0688,73,56,48,0.7671232876712328,408,315,0.7720588235294118,228,500,550,SAVN.tsv
S0689,70,58,41,0.8285714285714286,S0687,215,184,134,0.8558139534883721,S0690,1,1,1,1.0,S0688,144,122,91,0.8472222222222222,430,365,0.8488372093023255,267,550,600,SAVN.tsv
S0689,109,95,59,0.8715596330275229,S0687,80,52,39,0.65,S0690,5,5,3,1.0,S0688,90,85,64,0.9444444444444444,284,237,0.8345070422535211,165,600,650,SAVN.tsv
S0689,154,124,100,0.8051948051948052,S0687,70,58,41,0.8285714285714286,S0690,14,10,7,0.7142857142857143,S0688,73,63,49,0.863013698630137,311,255,0.819935691318328,197,650,700,SAVN.tsv
S0689,105,89,61,0.8476190476190476,S0687,110,90,66,0.8181818181818182,S0690,38,35,26,0.9210526315789473,S0688,71,61,42,0.8591549295774648,324,275,0.8487654320987654,195,700,750,SAVN.tsv
S0689,95,84,59,0.8842105263157894,S0687,158,139,103,0.879746835443038,S0690,50,40,27,0.8,S0688,21,15,12,0.7142857142857143,324,278,0.8580246913580247,201,750,800,SAVN.tsv
S0689,62,54,38,0.8709677419354839,S0687,153,132,96,0.8627450980392157,S0690,74,66,47,0.8918918918918919,S0688,54,44,31,0.8148148148148148,343,296,0.8629737609329446,212,800,850,SAVN.tsv
S0689,63,51,39,0.8095238095238095,S0687,114,92,65,0.8070175438596491,S0690,67,59,43,0.8805970149253731,S0688,161,133,90,0.8260869565217391,405,335,0.8271604938271605,237,850,900,SAVN.tsv
S0689,78,71,46,0.9102564102564102,S0687,122,101,64,0.8278688524590164,S0690,0,0,0,0.0,S0688,224,191,134,0.8526785714285714,424,363,0.8561320754716981,244,900,950,SAVN.tsv
S0689,3,2,2,0.6666666666666666,S0687,13,12,9,0.9230769230769231,S0690,19,18,11,0.9473684210526315,S0688,65,54,39,0.8307692307692308,100,86,0.86,61,950,968,SAVN.tsv
