speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0058,130,44,37,0.3384615384615385,S0026,128,40,31,0.3125,S0120,61,32,28,0.5245901639344263,S0179,0,0,0,0.0,319,116,0.36363636363636365,96,0,50,SUKT.tsv
S0058,66,36,35,0.5454545454545454,S0026,372,216,203,0.5806451612903226,S0120,3,3,3,1.0,S0179,0,0,0,0.0,441,255,0.5782312925170068,241,50,100,SUKT.tsv
S0058,47,33,28,0.7021276595744681,S0026,209,104,96,0.49760765550239233,S0120,41,27,23,0.6585365853658537,S0179,18,5,5,0.2777777777777778,315,169,0.5365079365079365,152,100,150,SUKT.tsv
S0058,79,56,48,0.7088607594936709,S0026,80,41,33,0.5125,S0120,74,40,35,0.5405405405405406,S0179,12,9,8,0.75,245,146,0.5959183673469388,124,150,200,SUKT.tsv
S0058,147,113,92,0.7687074829931972,S0026,56,37,29,0.6607142857142857,S0120,101,66,54,0.6534653465346535,S0179,38,22,20,0.5789473684210527,342,238,0.695906432748538,195,200,250,SUKT.tsv
S0058,75,49,38,0.6533333333333333,S0026,59,43,34,0.7288135593220338,S0120,101,64,53,0.6336633663366337,S0179,46,28,23,0.6086956521739131,281,184,0.6548042704626335,148,250,300,SUKT.tsv
S0058,177,135,109,0.7627118644067796,S0026,66,46,37,0.696969696969697,S0120,31,26,21,0.8387096774193549,S0179,49,36,29,0.7346938775510204,323,243,0.7523219814241486,196,300,350,SUKT.tsv
S0058,113,77,68,0.6814159292035398,S0026,70,57,44,0.8142857142857143,S0120,129,95,78,0.7364341085271318,S0179,46,33,26,0.717391304347826,358,262,0.7318435754189944,216,350,400,SUKT.tsv
S0058,12,6,6,0.5,S0026,174,133,103,0.764367816091954,S0120,205,154,129,0.751219512195122,S0179,25,24,16,0.96,416,317,0.7620192307692307,254,400,450,SUKT.tsv
S0058,22,16,12,0.7272727272727273,S0026,198,157,126,0.7929292929292929,S0120,189,127,100,0.671957671957672,S0179,18,10,9,0.5555555555555556,427,310,0.7259953161592506,247,450,500,SUKT.tsv
S0058,77,75,55,0.974025974025974,S0026,120,89,67,0.7416666666666667,S0120,109,89,73,0.8165137614678899,S0179,1,1,1,1.0,307,254,0.8273615635179153,196,500,550,SUKT.tsv
S0058,83,62,49,0.7469879518072289,S0026,76,58,47,0.7631578947368421,S0120,111,81,68,0.7297297297297297,S0179,34,29,22,0.8529411764705882,304,230,0.756578947368421,186,550,600,SUKT.tsv
S0058,86,73,59,0.8488372093023255,S0026,53,48,41,0.9056603773584906,S0120,79,56,48,0.7088607594936709,S0179,9,8,7,0.8888888888888888,227,185,0.8149779735682819,155,600,650,SUKT.tsv
S0058,76,63,49,0.8289473684210527,S0026,101,87,69,0.8613861386138614,S0120,160,124,91,0.775,S0179,0,0,0,0.0,337,274,0.8130563798219584,209,650,700,SUKT.tsv
S0058,139,109,86,0.7841726618705036,S0026,102,86,68,0.8431372549019608,S0120,50,37,30,0.74,S0179,23,18,14,0.782608695652174,314,250,0.7961783439490446,198,700,750,SUKT.tsv
S0058,88,71,58,0.8068181818181818,S0026,90,71,58,0.7888888888888889,S0120,36,26,23,0.7222222222222222,S0179,11,11,8,1.0,225,179,0.7955555555555556,147,750,800,SUKT.tsv
S0058,122,94,66,0.7704918032786885,S0026,34,25,21,0.7352941176470589,S0120,62,54,36,0.8709677419354839,S0179,60,41,35,0.6833333333333333,278,214,0.7697841726618705,158,800,850,SUKT.tsv
S0058,128,104,82,0.8125,S0026,171,136,108,0.7953216374269005,S0120,35,24,21,0.6857142857142857,S0179,0,0,0,0.0,334,264,0.7904191616766467,211,850,900,SUKT.tsv
S0058,94,84,63,0.8936170212765957,S0026,79,68,58,0.8607594936708861,S0120,63,57,45,0.9047619047619048,S0179,26,22,14,0.8461538461538461,262,231,0.8816793893129771,180,900,950,SUKT.tsv
S0058,95,63,51,0.6631578947368421,S0026,76,63,47,0.8289473684210527,S0120,47,43,35,0.9148936170212766,S0179,76,61,47,0.8026315789473685,294,230,0.782312925170068,180,950,1000,SUKT.tsv
S0058,117,97,73,0.8290598290598291,S0026,50,36,24,0.72,S0120,65,52,40,0.8,S0179,44,34,25,0.7727272727272727,276,219,0.7934782608695652,162,1000,1050,SUKT.tsv
S0058,377,340,238,0.9018567639257294,S0026,18,13,12,0.7222222222222222,S0120,112,81,59,0.7232142857142857,S0179,0,0,0,0.0,507,434,0.8560157790927022,309,1050,1100,SUKT.tsv
