speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0361,139,8,6,0.05755395683453238,S0261,48,13,12,0.2708333333333333,S0262,55,28,24,0.509090909090909,S0360,23,6,6,0.2608695652173913,265,55,0.20754716981132076,48,0,50,SYHP.tsv
S0361,181,94,89,0.5193370165745856,S0261,62,36,32,0.5806451612903226,S0262,30,19,17,0.6333333333333333,S0360,1,0,0,0.0,274,149,0.5437956204379562,138,50,100,SYHP.tsv
S0361,147,84,76,0.5714285714285714,S0261,20,16,13,0.8,S0262,53,37,36,0.6981132075471698,S0360,0,0,0,0.0,220,137,0.6227272727272727,125,100,150,SYHP.tsv
S0361,125,85,78,0.68,S0261,30,26,19,0.8666666666666667,S0262,120,86,77,0.7166666666666667,S0360,24,19,17,0.7916666666666666,299,216,0.7224080267558528,191,150,200,SYHP.tsv
S0361,33,20,18,0.6060606060606061,S0261,24,16,15,0.6666666666666666,S0262,39,27,24,0.6923076923076923,S0360,82,61,52,0.7439024390243902,178,124,0.6966292134831461,109,200,250,SYHP.tsv
S0361,148,91,77,0.6148648648648649,S0261,0,0,0,0.0,S0262,37,30,26,0.8108108108108109,S0360,20,13,12,0.65,205,134,0.6536585365853659,115,250,300,SYHP.tsv
S0361,118,78,71,0.6610169491525424,S0261,14,12,12,0.8571428571428571,S0262,49,43,39,0.8775510204081632,S0360,41,30,28,0.7317073170731707,222,163,0.7342342342342343,150,300,350,SYHP.tsv
S0361,107,80,69,0.7476635514018691,S0261,60,40,30,0.6666666666666666,S0262,16,14,12,0.875,S0360,39,30,28,0.7692307692307693,222,164,0.7387387387387387,139,350,400,SYHP.tsv
S0361,0,0,0,0.0,S0261,13,9,7,0.6923076923076923,S0262,68,47,39,0.6911764705882353,S0360,237,163,134,0.6877637130801688,318,219,0.6886792452830188,180,400,450,SYHP.tsv
S0361,22,17,13,0.7727272727272727,S0261,14,11,8,0.7857142857142857,S0262,57,34,28,0.5964912280701754,S0360,55,38,33,0.6909090909090909,148,100,0.6756756756756757,82,450,500,SYHP.tsv
S0361,101,77,60,0.7623762376237624,S0261,14,13,12,0.9285714285714286,S0262,21,15,14,0.7142857142857143,S0360,42,29,24,0.6904761904761905,178,134,0.7528089887640449,110,500,550,SYHP.tsv
S0361,71,47,40,0.6619718309859155,S0261,4,4,3,1.0,S0262,62,51,39,0.8225806451612904,S0360,92,74,57,0.8043478260869565,229,176,0.7685589519650655,139,550,600,SYHP.tsv
S0361,15,15,11,1.0,S0261,2,2,2,1.0,S0262,158,121,97,0.7658227848101266,S0360,108,88,74,0.8148148148148148,283,226,0.7985865724381626,184,600,650,SYHP.tsv
S0361,58,43,33,0.7413793103448276,S0261,7,6,5,0.8571428571428571,S0262,114,84,68,0.7368421052631579,S0360,34,30,27,0.8823529411764706,213,163,0.7652582159624414,133,650,700,SYHP.tsv
S0361,27,19,18,0.7037037037037037,S0261,196,147,116,0.75,S0262,47,39,32,0.8297872340425532,S0360,13,11,9,0.8461538461538461,283,216,0.7632508833922261,175,700,750,SYHP.tsv
S0361,14,13,11,0.9285714285714286,S0261,237,173,142,0.729957805907173,S0262,3,3,3,1.0,S0360,23,22,22,0.9565217391304348,277,211,0.7617328519855595,178,750,800,SYHP.tsv
S0361,52,45,34,0.8653846153846154,S0261,193,146,116,0.7564766839378239,S0262,12,10,10,0.8333333333333334,S0360,11,11,11,1.0,268,212,0.7910447761194029,171,800,850,SYHP.tsv
S0361,159,130,101,0.8176100628930818,S0261,5,3,2,0.6,S0262,44,40,31,0.9090909090909091,S0360,17,16,11,0.9411764705882353,225,189,0.84,145,850,900,SYHP.tsv
S0361,185,146,104,0.7891891891891892,S0261,3,3,3,1.0,S0262,21,18,16,0.8571428571428571,S0360,25,25,22,1.0,234,192,0.8205128205128205,145,900,950,SYHP.tsv
S0361,10,10,9,1.0,S0261,1,1,1,1.0,S0262,72,59,49,0.8194444444444444,S0360,304,241,179,0.7927631578947368,387,311,0.8036175710594315,238,950,1000,SYHP.tsv
S0361,44,42,30,0.9545454545454546,S0261,8,7,6,0.875,S0262,25,23,22,0.92,S0360,175,135,103,0.7714285714285715,252,207,0.8214285714285714,161,1000,1050,SYHP.tsv
S0361,39,36,24,0.9230769230769231,S0261,9,6,5,0.6666666666666666,S0262,31,27,24,0.8709677419354839,S0360,106,93,69,0.8773584905660378,185,162,0.8756756756756757,122,1050,1100,SYHP.tsv
S0361,124,104,81,0.8387096774193549,S0261,20,12,7,0.6,S0262,44,39,31,0.8863636363636364,S0360,115,89,71,0.7739130434782608,303,244,0.8052805280528053,190,1100,1150,SYHP.tsv
S0361,92,61,47,0.6630434782608695,S0261,20,16,11,0.8,S0262,28,25,20,0.8928571428571429,S0360,99,76,58,0.7676767676767676,239,178,0.7447698744769874,136,1150,1200,SYHP.tsv
S0361,5,5,5,1.0,S0261,15,13,10,0.8666666666666667,S0262,49,43,34,0.8775510204081632,S0360,192,149,110,0.7760416666666666,261,210,0.8045977011494253,159,1200,1250,SYHP.tsv
S0361,2,2,2,1.0,S0261,8,6,4,0.75,S0262,57,52,40,0.9122807017543859,S0360,159,139,107,0.8742138364779874,226,199,0.8805309734513275,153,1250,1300,SYHP.tsv
S0361,238,209,148,0.8781512605042017,S0261,18,15,11,0.8333333333333334,S0262,22,20,17,0.9090909090909091,S0360,9,9,7,1.0,287,253,0.8815331010452961,183,1300,1350,SYHP.tsv
S0361,92,79,57,0.8586956521739131,S0261,116,104,68,0.896551724137931,S0262,23,22,19,0.9565217391304348,S0360,13,13,11,1.0,244,218,0.8934426229508197,155,1350,1400,SYHP.tsv
S0361,55,48,34,0.8727272727272727,S0261,6,5,4,0.8333333333333334,S0262,35,27,23,0.7714285714285715,S0360,236,195,137,0.826271186440678,332,275,0.8283132530120482,198,1400,1450,SYHP.tsv
S0361,9,9,9,1.0,S0261,35,32,20,0.9142857142857143,S0262,24,20,18,0.8333333333333334,S0360,291,231,166,0.7938144329896907,359,292,0.8133704735376045,213,1450,1500,SYHP.tsv
S0361,86,69,51,0.8023255813953488,S0261,9,9,9,1.0,S0262,10,10,10,1.0,S0360,126,104,81,0.8253968253968254,231,192,0.8311688311688312,151,1500,1550,SYHP.tsv
S0361,16,11,7,0.6875,S0261,35,32,24,0.9142857142857143,S0262,35,32,26,0.9142857142857143,S0360,127,107,81,0.84251968503937,213,182,0.8544600938967136,138,1550,1600,SYHP.tsv
S0361,11,10,6,0.9090909090909091,S0261,18,18,14,1.0,S0262,41,39,34,0.9512195121951219,S0360,293,239,174,0.8156996587030717,363,306,0.8429752066115702,228,1600,1650,SYHP.tsv
S0361,95,81,56,0.8526315789473684,S0261,51,44,29,0.8627450980392157,S0262,14,14,11,1.0,S0360,211,189,132,0.8957345971563981,371,328,0.8840970350404312,228,1650,1700,SYHP.tsv
S0361,160,144,94,0.9,S0261,27,26,21,0.9629629629629629,S0262,12,11,10,0.9166666666666666,S0360,76,63,45,0.8289473684210527,275,244,0.8872727272727273,170,1700,1750,SYHP.tsv
S0361,39,32,27,0.8205128205128205,S0261,4,3,3,0.75,S0262,60,53,43,0.8833333333333333,S0360,192,167,124,0.8697916666666666,295,255,0.864406779661017,197,1750,1800,SYHP.tsv
S0361,0,0,0,0.0,S0261,12,12,8,1.0,S0262,34,31,24,0.9117647058823529,S0360,354,314,231,0.8870056497175142,400,357,0.8925,263,1800,1850,SYHP.tsv
S0361,145,128,86,0.8827586206896552,S0261,27,27,17,1.0,S0262,34,31,26,0.9117647058823529,S0360,156,132,98,0.8461538461538461,362,318,0.8784530386740331,227,1850,1900,SYHP.tsv
S0361,100,85,59,0.85,S0261,24,24,15,1.0,S0262,45,37,28,0.8222222222222222,S0360,59,56,39,0.9491525423728814,228,202,0.8859649122807017,141,1900,1950,SYHP.tsv
S0361,80,72,46,0.9,S0261,4,4,4,1.0,S0262,32,28,22,0.875,S0360,189,160,110,0.8465608465608465,305,264,0.8655737704918033,182,1950,2000,SYHP.tsv
S0361,148,139,103,0.9391891891891891,S0261,16,15,15,0.9375,S0262,45,40,34,0.8888888888888888,S0360,5,5,4,1.0,214,199,0.9299065420560748,156,2000,2050,SYHP.tsv
S0361,38,31,23,0.8157894736842105,S0261,8,7,6,0.875,S0262,161,143,95,0.8881987577639752,S0360,20,19,18,0.95,227,200,0.8810572687224669,142,2050,2100,SYHP.tsv
S0361,0,0,0,0.0,S0261,89,85,62,0.9550561797752809,S0262,66,58,41,0.8787878787878788,S0360,35,35,24,1.0,190,178,0.9368421052631579,127,2100,2150,SYHP.tsv
S0361,0,0,0,0.0,S0261,68,63,41,0.9264705882352942,S0262,256,222,154,0.8671875,S0360,23,22,19,0.9565217391304348,347,307,0.8847262247838616,214,2150,2200,SYHP.tsv
S0361,120,106,73,0.8833333333333333,S0261,1,1,1,1.0,S0262,100,87,66,0.87,S0360,35,34,25,0.9714285714285714,256,228,0.890625,165,2200,2250,SYHP.tsv
S0361,160,142,95,0.8875,S0261,6,4,4,0.6666666666666666,S0262,36,34,31,0.9444444444444444,S0360,13,13,11,1.0,215,193,0.8976744186046511,141,2250,2300,SYHP.tsv
S0361,0,0,0,0.0,S0261,6,5,4,0.8333333333333334,S0262,38,38,32,1.0,S0360,296,271,190,0.9155405405405406,340,314,0.9235294117647059,226,2300,2350,SYHP.tsv
S0361,169,141,104,0.834319526627219,S0261,7,7,6,1.0,S0262,46,41,34,0.8913043478260869,S0360,21,19,14,0.9047619047619048,243,208,0.8559670781893004,158,2350,2400,SYHP.tsv
S0361,94,76,44,0.8085106382978723,S0261,92,82,55,0.8913043478260869,S0262,43,35,25,0.813953488372093,S0360,9,9,8,1.0,238,202,0.8487394957983193,132,2400,2450,SYHP.tsv
S0361,158,133,88,0.8417721518987342,S0261,41,35,22,0.8536585365853658,S0262,28,28,24,1.0,S0360,1,1,1,1.0,228,197,0.8640350877192983,135,2450,2500,SYHP.tsv
S0361,209,180,106,0.861244019138756,S0261,12,8,5,0.6666666666666666,S0262,31,31,23,1.0,S0360,11,9,7,0.8181818181818182,263,228,0.8669201520912547,141,2500,2550,SYHP.tsv
S0361,52,46,29,0.8846153846153846,S0261,24,24,17,1.0,S0262,72,68,50,0.9444444444444444,S0360,43,43,33,1.0,191,181,0.9476439790575916,129,2550,2600,SYHP.tsv
S0361,80,69,50,0.8625,S0261,53,46,33,0.8679245283018868,S0262,36,35,25,0.9722222222222222,S0360,70,62,44,0.8857142857142857,239,212,0.8870292887029289,152,2600,2650,SYHP.tsv
S0361,20,19,16,0.95,S0261,186,158,105,0.8494623655913979,S0262,23,21,17,0.9130434782608695,S0360,29,29,22,1.0,258,227,0.8798449612403101,160,2650,2700,SYHP.tsv
S0361,13,13,9,1.0,S0261,59,49,32,0.8305084745762712,S0262,34,32,22,0.9411764705882353,S0360,63,59,42,0.9365079365079365,169,153,0.9053254437869822,105,2700,2750,SYHP.tsv
S0361,164,155,97,0.9451219512195121,S0261,13,11,9,0.8461538461538461,S0262,44,39,29,0.8863636363636364,S0360,3,3,2,1.0,224,208,0.9285714285714286,137,2750,2800,SYHP.tsv
S0361,92,79,49,0.8586956521739131,S0261,63,59,44,0.9365079365079365,S0262,28,27,19,0.9642857142857143,S0360,24,24,19,1.0,207,189,0.9130434782608695,131,2800,2850,SYHP.tsv
S0361,81,60,46,0.7407407407407407,S0261,11,10,8,0.9090909090909091,S0262,63,56,39,0.8888888888888888,S0360,201,186,125,0.9253731343283582,356,312,0.8764044943820225,218,2850,2900,SYHP.tsv
