speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0278,471,19,10,0.040339702760084924,S0012,47,29,19,0.6170212765957447,S0013,10,2,2,0.2,S0370,125,42,25,0.336,653,92,0.14088820826952528,56,0,50,SFER.tsv
S0278,284,86,58,0.3028169014084507,S0012,83,35,24,0.42168674698795183,S0013,54,23,19,0.42592592592592593,S0370,144,35,28,0.24305555555555555,565,179,0.3168141592920354,129,50,100,SFER.tsv
S0278,250,97,65,0.388,S0012,56,33,19,0.5892857142857143,S0013,20,13,8,0.65,S0370,94,35,25,0.3723404255319149,420,178,0.4238095238095238,117,100,150,SFER.tsv
S0278,40,17,10,0.425,S0012,206,98,55,0.47572815533980584,S0013,156,74,49,0.47435897435897434,S0370,9,9,2,1.0,411,198,0.48175182481751827,116,150,200,SFER.tsv
S0278,121,48,30,0.39669421487603307,S0012,87,51,34,0.5862068965517241,S0013,46,16,13,0.34782608695652173,S0370,115,47,35,0.40869565217391307,369,162,0.43902439024390244,112,200,250,SFER.tsv
S0278,349,167,106,0.4785100286532951,S0012,31,16,11,0.5161290322580645,S0013,29,18,11,0.6206896551724138,S0370,124,48,34,0.3870967741935484,533,249,0.46716697936210133,162,250,300,SFER.tsv
S0278,62,21,13,0.3387096774193548,S0012,103,52,39,0.5048543689320388,S0013,9,7,6,0.7777777777777778,S0370,356,176,107,0.4943820224719101,530,256,0.4830188679245283,165,300,350,SFER.tsv
S0278,245,147,91,0.6,S0012,112,74,44,0.6607142857142857,S0013,18,9,7,0.5,S0370,98,50,34,0.5102040816326531,473,280,0.5919661733615222,176,350,400,SFER.tsv
S0278,28,19,10,0.6785714285714286,S0012,135,81,53,0.6,S0013,71,40,28,0.5633802816901409,S0370,204,116,71,0.5686274509803921,438,256,0.5844748858447488,162,400,450,SFER.tsv
S0278,104,49,34,0.47115384615384615,S0012,21,9,6,0.42857142857142855,S0013,9,8,7,0.8888888888888888,S0370,395,192,119,0.4860759493670886,529,258,0.4877126654064272,166,450,500,SFER.tsv
S0278,220,108,68,0.4909090909090909,S0012,21,10,9,0.47619047619047616,S0013,13,10,8,0.7692307692307693,S0370,232,113,68,0.4870689655172414,486,241,0.49588477366255146,153,500,550,SFER.tsv
S0278,279,155,97,0.5555555555555556,S0012,82,56,27,0.6829268292682927,S0013,22,10,7,0.45454545454545453,S0370,130,71,44,0.5461538461538461,513,292,0.5692007797270955,175,550,600,SFER.tsv
S0278,192,127,77,0.6614583333333334,S0012,102,59,37,0.5784313725490197,S0013,5,4,3,0.8,S0370,135,84,50,0.6222222222222222,434,274,0.631336405529954,167,600,650,SFER.tsv
S0278,143,76,45,0.5314685314685315,S0012,191,116,69,0.6073298429319371,S0013,76,43,26,0.5657894736842105,S0370,115,77,43,0.6695652173913044,525,312,0.5942857142857143,183,650,700,SFER.tsv
S0278,486,307,193,0.6316872427983539,S0012,36,25,14,0.6944444444444444,S0013,121,74,46,0.6115702479338843,S0370,83,49,28,0.5903614457831325,726,455,0.6267217630853994,281,700,750,SFER.tsv
S0278,140,90,51,0.6428571428571429,S0012,81,49,26,0.6049382716049383,S0013,94,64,37,0.6808510638297872,S0370,185,118,68,0.6378378378378379,500,321,0.642,182,750,800,SFER.tsv
S0278,151,94,57,0.6225165562913907,S0012,24,18,11,0.75,S0013,109,68,48,0.6238532110091743,S0370,192,111,67,0.578125,476,291,0.6113445378151261,183,800,850,SFER.tsv
S0278,445,299,183,0.6719101123595506,S0012,52,37,24,0.7115384615384616,S0013,27,22,15,0.8148148148148148,S0370,149,83,54,0.5570469798657718,673,441,0.6552748885586924,276,850,900,SFER.tsv
S0278,405,245,146,0.6049382716049383,S0012,13,12,6,0.9230769230769231,S0013,51,39,25,0.7647058823529411,S0370,67,43,27,0.6417910447761194,536,339,0.6324626865671642,204,900,950,SFER.tsv
S0278,452,310,191,0.6858407079646017,S0012,0,0,0,0.0,S0013,106,85,56,0.8018867924528302,S0370,0,0,0,0.0,558,395,0.7078853046594982,247,950,1000,SFER.tsv
S0278,469,306,186,0.652452025586354,S0012,0,0,0,0.0,S0013,149,109,69,0.7315436241610739,S0370,0,0,0,0.0,618,415,0.6715210355987055,255,1000,1050,SFER.tsv
S0278,372,240,149,0.6451612903225806,S0012,10,9,6,0.9,S0013,95,71,43,0.7473684210526316,S0370,0,0,0,0.0,477,320,0.6708595387840671,198,1050,1100,SFER.tsv
S0278,598,432,255,0.7224080267558528,S0012,0,0,0,0.0,S0013,89,65,42,0.7303370786516854,S0370,1,1,1,1.0,688,498,0.7238372093023255,298,1100,1150,SFER.tsv
S0278,326,225,135,0.6901840490797546,S0012,0,0,0,0.0,S0013,76,59,40,0.7763157894736842,S0370,0,0,0,0.0,402,284,0.7064676616915423,175,1150,1200,SFER.tsv
S0278,497,362,212,0.7283702213279678,S0012,0,0,0,0.0,S0013,134,109,68,0.8134328358208955,S0370,0,0,0,0.0,631,471,0.7464342313787639,280,1200,1250,SFER.tsv
S0278,595,418,257,0.7025210084033613,S0012,0,0,0,0.0,S0013,110,80,47,0.7272727272727273,S0370,0,0,0,0.0,705,498,0.7063829787234043,304,1250,1300,SFER.tsv
S0278,183,129,74,0.7049180327868853,S0012,0,0,0,0.0,S0013,201,163,86,0.8109452736318408,S0370,0,0,0,0.0,384,292,0.7604166666666666,160,1300,1350,SFER.tsv
S0278,337,231,128,0.685459940652819,S0012,0,0,0,0.0,S0013,87,65,38,0.7471264367816092,S0370,84,63,33,0.75,508,359,0.7066929133858267,199,1350,1400,SFER.tsv
S0278,139,100,57,0.7194244604316546,S0012,0,0,0,0.0,S0013,56,47,28,0.8392857142857143,S0370,68,48,20,0.7058823529411765,263,195,0.7414448669201521,105,1400,1433,SFER.tsv
