speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0511,206,8,6,0.038834951456310676,S0512,25,6,3,0.24,S0513,56,11,8,0.19642857142857142,S0514,41,13,10,0.3170731707317073,328,38,0.11585365853658537,27,0,50,SFQE.tsv
S0511,92,32,22,0.34782608695652173,S0512,19,6,4,0.3157894736842105,S0513,80,31,18,0.3875,S0514,47,15,11,0.3191489361702128,238,84,0.35294117647058826,55,50,100,SFQE.tsv
S0511,190,40,28,0.21052631578947367,S0512,15,5,4,0.3333333333333333,S0513,56,27,15,0.48214285714285715,S0514,30,11,9,0.36666666666666664,291,83,0.2852233676975945,56,100,150,SFQE.tsv
S0511,83,21,17,0.25301204819277107,S0512,11,8,7,0.7272727272727273,S0513,38,7,4,0.18421052631578946,S0514,79,23,18,0.2911392405063291,211,59,0.2796208530805687,46,150,200,SFQE.tsv
S0511,78,26,15,0.3333333333333333,S0512,21,12,9,0.5714285714285714,S0513,37,17,10,0.4594594594594595,S0514,142,42,30,0.29577464788732394,278,97,0.3489208633093525,64,200,250,SFQE.tsv
S0511,117,52,34,0.4444444444444444,S0512,16,8,7,0.5,S0513,8,2,2,0.25,S0514,152,70,50,0.4605263157894737,293,132,0.45051194539249145,93,250,300,SFQE.tsv
S0511,217,100,67,0.4608294930875576,S0512,14,2,2,0.14285714285714285,S0513,41,21,14,0.5121951219512195,S0514,105,54,33,0.5142857142857142,377,177,0.46949602122015915,116,300,350,SFQE.tsv
S0511,250,92,64,0.368,S0512,36,14,8,0.3888888888888889,S0513,64,31,18,0.484375,S0514,63,35,22,0.5555555555555556,413,172,0.41646489104116224,112,350,400,SFQE.tsv
S0511,339,139,94,0.41002949852507375,S0512,21,11,9,0.5238095238095238,S0513,50,22,14,0.44,S0514,23,14,11,0.6086956521739131,433,186,0.4295612009237875,128,400,450,SFQE.tsv
S0511,159,69,42,0.4339622641509434,S0512,13,10,5,0.7692307692307693,S0513,14,9,7,0.6428571428571429,S0514,71,39,27,0.5492957746478874,257,127,0.49416342412451364,81,450,500,SFQE.tsv
S0511,198,99,66,0.5,S0512,42,22,13,0.5238095238095238,S0513,35,26,18,0.7428571428571429,S0514,41,23,15,0.5609756097560976,316,170,0.5379746835443038,112,500,550,SFQE.tsv
S0511,136,77,51,0.5661764705882353,S0512,57,36,23,0.631578947368421,S0513,28,11,7,0.39285714285714285,S0514,84,43,30,0.5119047619047619,305,167,0.5475409836065573,111,550,600,SFQE.tsv
S0511,236,113,73,0.4788135593220339,S0512,18,5,5,0.2777777777777778,S0513,14,2,1,0.14285714285714285,S0514,89,41,30,0.4606741573033708,357,161,0.45098039215686275,109,600,650,SFQE.tsv
S0511,239,121,78,0.5062761506276151,S0512,45,27,20,0.6,S0513,74,35,25,0.47297297297297297,S0514,36,17,8,0.4722222222222222,394,200,0.5076142131979695,131,650,700,SFQE.tsv
S0511,110,41,27,0.37272727272727274,S0512,4,3,2,0.75,S0513,20,17,11,0.85,S0514,8,2,2,0.25,142,63,0.44366197183098594,42,700,719,SFQE.tsv
