speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0511,192,25,17,0.13020833333333334,S0513,90,9,7,0.1,S0514,9,1,1,0.1111111111111111,S0512,42,9,6,0.21428571428571427,333,44,0.13213213213213212,31,0,50,SFSZ.tsv
S0511,164,49,32,0.29878048780487804,S0513,36,12,10,0.3333333333333333,S0514,119,32,25,0.2689075630252101,S0512,17,2,1,0.11764705882352941,336,95,0.28273809523809523,68,50,100,SFSZ.tsv
S0511,222,62,41,0.27927927927927926,S0513,73,24,15,0.3287671232876712,S0514,55,20,10,0.36363636363636365,S0512,19,2,2,0.10526315789473684,369,108,0.2926829268292683,68,100,150,SFSZ.tsv
S0511,303,58,44,0.19141914191419143,S0513,61,19,16,0.3114754098360656,S0514,14,1,1,0.07142857142857142,S0512,26,14,8,0.5384615384615384,404,92,0.22772277227722773,69,150,200,SFSZ.tsv
S0511,277,78,62,0.2815884476534296,S0513,50,23,15,0.46,S0514,56,20,16,0.35714285714285715,S0512,9,5,3,0.5555555555555556,392,126,0.32142857142857145,96,200,250,SFSZ.tsv
S0511,117,43,31,0.36752136752136755,S0513,81,43,30,0.5308641975308642,S0514,33,22,14,0.6666666666666666,S0512,28,13,7,0.4642857142857143,259,121,0.4671814671814672,82,250,300,SFSZ.tsv
S0511,190,77,46,0.4052631578947368,S0513,41,17,11,0.4146341463414634,S0514,54,21,14,0.3888888888888889,S0512,16,10,7,0.625,301,125,0.4152823920265781,78,300,350,SFSZ.tsv
S0511,109,59,32,0.5412844036697247,S0513,43,19,12,0.4418604651162791,S0514,174,67,45,0.3850574712643678,S0512,92,53,37,0.5760869565217391,418,198,0.47368421052631576,126,350,400,SFSZ.tsv
S0511,149,70,45,0.4697986577181208,S0513,33,15,9,0.45454545454545453,S0514,112,49,32,0.4375,S0512,51,20,13,0.39215686274509803,345,154,0.4463768115942029,99,400,450,SFSZ.tsv
S0511,155,81,55,0.5225806451612903,S0513,30,13,8,0.43333333333333335,S0514,63,33,21,0.5238095238095238,S0512,33,17,12,0.5151515151515151,281,144,0.5124555160142349,96,450,500,SFSZ.tsv
S0511,31,23,12,0.7419354838709677,S0513,7,3,3,0.42857142857142855,S0514,0,0,0,0.0,S0512,7,2,1,0.2857142857142857,45,28,0.6222222222222222,16,500,505,SFSZ.tsv
