speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0689,119,51,46,0.42857142857142855,S0688,123,53,47,0.43089430894308944,S0687,92,37,31,0.40217391304347827,S0690,36,21,18,0.5833333333333334,370,162,0.43783783783783786,142,0,50,SKL3.tsv
S0689,33,17,13,0.5151515151515151,S0688,124,45,39,0.3629032258064516,S0687,105,34,28,0.3238095238095238,S0690,38,7,4,0.18421052631578946,300,103,0.3433333333333333,84,50,100,SKL3.tsv
S0689,79,36,32,0.45569620253164556,S0688,95,29,23,0.30526315789473685,S0687,211,47,41,0.22274881516587677,S0690,12,0,0,0.0,397,112,0.28211586901763225,96,100,150,SKL3.tsv
S0689,87,53,42,0.6091954022988506,S0688,147,25,23,0.17006802721088435,S0687,117,51,43,0.4358974358974359,S0690,4,1,1,0.25,355,130,0.36619718309859156,109,150,200,SKL3.tsv
S0689,320,68,56,0.2125,S0688,78,28,26,0.358974358974359,S0687,201,133,110,0.6616915422885572,S0690,5,3,3,0.6,604,232,0.3841059602649007,195,200,250,SKL3.tsv
S0689,172,76,60,0.4418604651162791,S0688,42,18,12,0.42857142857142855,S0687,251,110,86,0.43824701195219123,S0690,22,13,12,0.5909090909090909,487,217,0.4455852156057495,170,250,300,SKL3.tsv
S0689,168,80,71,0.47619047619047616,S0688,100,42,37,0.42,S0687,114,45,40,0.39473684210526316,S0690,28,11,11,0.39285714285714285,410,178,0.43414634146341463,159,300,350,SKL3.tsv
S0689,190,77,69,0.4052631578947368,S0688,70,38,36,0.5428571428571428,S0687,72,24,22,0.3333333333333333,S0690,16,4,4,0.25,348,143,0.4109195402298851,131,350,400,SKL3.tsv
S0689,79,26,21,0.3291139240506329,S0688,60,29,20,0.48333333333333334,S0687,135,66,48,0.4888888888888889,S0690,86,34,32,0.3953488372093023,360,155,0.4305555555555556,121,400,450,SKL3.tsv
S0689,104,46,39,0.4423076923076923,S0688,96,49,40,0.5104166666666666,S0687,134,35,30,0.26119402985074625,S0690,23,5,4,0.21739130434782608,357,135,0.37815126050420167,113,450,500,SKL3.tsv
S0689,74,47,38,0.6351351351351351,S0688,174,70,59,0.40229885057471265,S0687,303,79,64,0.2607260726072607,S0690,0,0,0,0.0,551,196,0.35571687840290384,161,500,550,SKL3.tsv
S0689,31,24,17,0.7741935483870968,S0688,253,83,78,0.32806324110671936,S0687,140,44,35,0.3142857142857143,S0690,11,5,4,0.45454545454545453,435,156,0.3586206896551724,134,550,600,SKL3.tsv
S0689,156,64,57,0.41025641025641024,S0688,190,84,66,0.4421052631578947,S0687,127,90,73,0.7086614173228346,S0690,2,0,0,0.0,475,238,0.5010526315789474,196,600,650,SKL3.tsv
S0689,176,78,69,0.4431818181818182,S0688,56,14,10,0.25,S0687,171,29,22,0.1695906432748538,S0690,51,17,16,0.3333333333333333,454,138,0.3039647577092511,117,650,700,SKL3.tsv
S0689,150,42,40,0.28,S0688,178,76,64,0.42696629213483145,S0687,94,47,39,0.5,S0690,0,0,0,0.0,422,165,0.3909952606635071,143,700,750,SKL3.tsv
S0689,287,84,76,0.2926829268292683,S0688,43,14,11,0.32558139534883723,S0687,136,67,55,0.49264705882352944,S0690,78,45,37,0.5769230769230769,544,210,0.3860294117647059,179,750,800,SKL3.tsv
S0689,159,67,62,0.42138364779874216,S0688,11,5,5,0.45454545454545453,S0687,150,57,48,0.38,S0690,72,33,29,0.4583333333333333,392,162,0.413265306122449,144,800,850,SKL3.tsv
S0689,129,69,58,0.5348837209302325,S0688,33,19,14,0.5757575757575758,S0687,203,76,58,0.37438423645320196,S0690,49,19,18,0.3877551020408163,414,183,0.4420289855072464,148,850,900,SKL3.tsv
S0689,94,45,41,0.4787234042553192,S0688,51,27,21,0.5294117647058824,S0687,117,30,29,0.2564102564102564,S0690,31,9,9,0.2903225806451613,293,111,0.378839590443686,100,900,950,SKL3.tsv
S0689,76,32,31,0.42105263157894735,S0688,64,16,16,0.25,S0687,133,43,42,0.3233082706766917,S0690,53,20,16,0.37735849056603776,326,111,0.34049079754601225,105,950,993,SKL3.tsv
