begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.38190954773869346,0.4473684210526316,0.41025641025641024,S28F.tsv
50,100,0.29914529914529914,0.5,0.3776041666666667,S28F.tsv
100,150,0.3786008230452675,0.35294117647058826,0.3701657458563536,S28F.tsv
150,200,0.2773826458036984,0.49382716049382713,0.2997448979591837,S28F.tsv
200,250,0.2737226277372263,0.43820224719101125,0.3140495867768595,S28F.tsv
250,300,0.19458128078817735,0.524390243902439,0.25,S28F.tsv
300,350,0.38095238095238093,0.25943396226415094,0.2939189189189189,S28F.tsv
350,400,0.21875,0.019417475728155338,0.03812316715542522,S28F.tsv
400,450,0.45774647887323944,0.14473684210526316,0.3486238532110092,S28F.tsv
450,500,0.2803030303030303,0.5234375,0.3596938775510204,S28F.tsv
500,550,0.2801047120418848,0.4700854700854701,0.3246492985971944,S28F.tsv
550,600,0.20344827586206896,0.37142857142857144,0.2481012658227848,S28F.tsv
600,650,0.1592741935483871,0.4805194805194805,0.2024432809773124,S28F.tsv
650,700,0.42924528301886794,0.3493150684931507,0.39664804469273746,S28F.tsv
700,750,0.5034013605442177,0.42924528301886794,0.4596100278551532,S28F.tsv
750,800,0.30701754385964913,0.2823529411764706,0.29225352112676056,S28F.tsv
800,850,0.5029761904761905,0.19230769230769232,0.41630901287553645,S28F.tsv
850,900,0.2560240963855422,0.5819672131147541,0.30661577608142493,S28F.tsv
900,950,0.2935606060606061,0.6555555555555556,0.3855932203389831,S28F.tsv
950,1000,0.38461538461538464,0.39655172413793105,0.38659058487874465,S28F.tsv
1000,1050,0.23433242506811988,0.5578947368421052,0.3008658008658009,S28F.tsv
1050,1100,0.20276497695852536,0.5925925925925926,0.2459016393442623,S28F.tsv
1100,1150,0.3251121076233184,0.5462962962962963,0.36823104693140796,S28F.tsv
1150,1200,0.22448979591836735,0.49382716049382713,0.2662835249042146,S28F.tsv
1200,1250,0.2006079027355623,0.4666666666666667,0.2717149220489978,S28F.tsv
1250,1300,0.33617021276595743,0.3825503355704698,0.3541666666666667,S28F.tsv
1300,1350,0.3615702479338843,0.427536231884058,0.3762057877813505,S28F.tsv
1350,1400,0.44141689373297005,0.35555555555555557,0.41832669322709165,S28F.tsv
1400,1450,0.43636363636363634,0.46788990825688076,0.4426229508196721,S28F.tsv
1450,1500,0.29550827423167847,0.3854166666666667,0.31213872832369943,S28F.tsv
1500,1550,0.3130434782608696,0.4563758389261745,0.36939313984168864,S28F.tsv
1550,1600,0.29533678756476683,0.4791666666666667,0.33195020746887965,S28F.tsv
1600,1650,0.3566775244299674,0.42424242424242425,0.36863270777479895,S28F.tsv
1650,1700,0.24476650563607086,0.4742268041237113,0.2757660167130919,S28F.tsv
1700,1750,0.1953781512605042,0.4666666666666667,0.2323049001814882,S28F.tsv
1750,1800,0.2549019607843137,0.132486388384755,0.14285714285714285,S28F.tsv
1800,1850,0.5857142857142857,0.1320754716981132,0.22686567164179106,S28F.tsv
1850,1900,0.42038216560509556,0.3767123287671233,0.39933993399339934,S28F.tsv
1900,1950,0.37662337662337664,0.23484848484848486,0.28708133971291866,S28F.tsv
1950,2000,0.3111111111111111,0.25,0.2706766917293233,S28F.tsv
2000,2050,0.4198473282442748,0.20095693779904306,0.2852941176470588,S28F.tsv
2050,2100,0.4129032258064516,0.4315068493150685,0.4219269102990033,S28F.tsv
2100,2150,0.3333333333333333,0.28846153846153844,0.3108974358974359,S28F.tsv
2150,2200,0.32558139534883723,0.37623762376237624,0.3360655737704918,S28F.tsv
2200,2250,0.38333333333333336,0.4172661870503597,0.39577836411609496,S28F.tsv
2250,2300,0.48984771573604063,0.4527027027027027,0.4797047970479705,S28F.tsv
2300,2350,0.31833910034602075,0.3277310924369748,0.32107843137254904,S28F.tsv
2350,2400,0.46846846846846846,0.24553571428571427,0.3194029850746269,S28F.tsv
2400,2450,0.4473684210526316,0.19433198380566802,0.2742382271468144,S28F.tsv
2450,2500,0.5335820895522388,0.33532934131736525,0.4574712643678161,S28F.tsv
2500,2550,0.41836734693877553,0.1735159817351598,0.24921135646687698,S28F.tsv
2550,2600,0.4297520661157025,0.26495726495726496,0.37604456824512533,S28F.tsv
2600,2650,0.27918781725888325,0.4933920704845815,0.3938679245283019,S28F.tsv
2650,2694,0.3082191780821918,0.3277310924369748,0.3169811320754717,S28F.tsv
