begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.30714285714285716,0.43425076452599387,0.3961456102783726,S55B.tsv
50,100,0.38016528925619836,0.2994011976047904,0.3333333333333333,S55B.tsv
100,150,0.3395348837209302,0.4784688995215311,0.4080188679245283,S55B.tsv
150,200,0.45226130653266333,0.20408163265306123,0.3468208092485549,S55B.tsv
200,250,0.2994011976047904,0.5030674846625767,0.4,S55B.tsv
250,300,0.543046357615894,0.2603305785123967,0.36895674300254455,S55B.tsv
300,350,0.4117647058823529,0.3474903474903475,0.3656509695290859,S55B.tsv
350,400,0.29365079365079366,0.29891304347826086,0.2967741935483871,S55B.tsv
400,450,0.421875,0.3333333333333333,0.3704918032786885,S55B.tsv
450,500,0.3945578231292517,0.31016042780748665,0.3473053892215569,S55B.tsv
500,550,0.2047244094488189,0.4391891891891892,0.33090909090909093,S55B.tsv
550,600,0.2962962962962963,0.40096618357487923,0.35964912280701755,S55B.tsv
600,650,0.3103448275862069,0.3686868686868687,0.34402332361516036,S55B.tsv
650,657,0.14285714285714285,0.047619047619047616,0.07142857142857142,S55B.tsv
