begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.3961038961038961,0.45454545454545453,0.4230769230769231,S9P6.tsv
50,100,0.3888888888888889,0.40397350993377484,0.3971119133574007,S9P6.tsv
100,150,0.3853211009174312,0.3724137931034483,0.3779527559055118,S9P6.tsv
150,200,0.5166666666666667,0.41711229946524064,0.4560260586319218,S9P6.tsv
200,250,0.31875,0.3402061855670103,0.32684824902723736,S9P6.tsv
250,300,0.3372093023255814,0.36752136752136755,0.3466666666666667,S9P6.tsv
300,350,0.2648648648648649,0.4672897196261682,0.339041095890411,S9P6.tsv
350,400,0.35121951219512193,0.4939759036144578,0.41509433962264153,S9P6.tsv
400,450,0.06948640483383686,0.4666666666666667,0.11702127659574468,S9P6.tsv
450,500,0.38271604938271603,0.3435897435897436,0.36134453781512604,S9P6.tsv
500,550,0.460093896713615,0.28431372549019607,0.4031746031746032,S9P6.tsv
550,600,0.0903010033444816,0.36585365853658536,0.12352941176470589,S9P6.tsv
600,650,0.37454545454545457,0.5467625899280576,0.4323671497584541,S9P6.tsv
650,700,0.35379061371841153,0.5283018867924528,0.402088772845953,S9P6.tsv
700,750,0.1388888888888889,0.6137931034482759,0.3296398891966759,S9P6.tsv
750,800,0.47305389221556887,0.4489795918367347,0.46178343949044587,S9P6.tsv
800,850,0.4519774011299435,0.3422459893048128,0.3956043956043956,S9P6.tsv
850,900,0.14,0.5620915032679739,0.32294617563739375,S9P6.tsv
900,950,0.4444444444444444,0.44808743169398907,0.4462809917355372,S9P6.tsv
950,1000,0.5862068965517241,0.15298507462686567,0.3050847457627119,S9P6.tsv
1000,1050,0.46994535519125685,0.29914529914529914,0.37410071942446044,S9P6.tsv
1050,1100,0.43356643356643354,0.36507936507936506,0.39457831325301207,S9P6.tsv
1100,1150,0.22614840989399293,0.47761194029850745,0.2742857142857143,S9P6.tsv
1150,1200,0.16731517509727625,0.5344827586206896,0.28150134048257375,S9P6.tsv
1200,1250,0.19047619047619047,0.4573170731707317,0.32228915662650603,S9P6.tsv
1250,1300,0.29069767441860467,0.4906832298136646,0.38738738738738737,S9P6.tsv
1300,1350,0.4823529411764706,0.024128686327077747,0.1091703056768559,S9P6.tsv
1350,1400,0.12206572769953052,0.29411764705882354,0.1553030303030303,S9P6.tsv
1400,1450,0.14746543778801843,0.38461538461538464,0.21016949152542372,S9P6.tsv
1450,1500,0.14566929133858267,0.390625,0.1949685534591195,S9P6.tsv
1500,1550,0.2608695652173913,0.4472049689440994,0.35403726708074534,S9P6.tsv
1550,1600,0.3711340206185567,0.4066666666666667,0.39271255060728744,S9P6.tsv
1600,1650,0.4793388429752066,0.14516129032258066,0.2768729641693811,S9P6.tsv
1650,1700,0.36764705882352944,0.46153846153846156,0.4229607250755287,S9P6.tsv
1700,1750,0.5148514851485149,0.27450980392156865,0.3540983606557377,S9P6.tsv
1750,1800,0.4766355140186916,0.30327868852459017,0.38427947598253276,S9P6.tsv
1800,1850,0.3805970149253731,0.4397590361445783,0.41333333333333333,S9P6.tsv
1850,1900,0.3619631901840491,0.5454545454545454,0.4148471615720524,S9P6.tsv
1900,1950,0.2561576354679803,0.5508474576271186,0.3644859813084112,S9P6.tsv
1950,2000,0.5625,0.21030042918454936,0.33518005540166207,S9P6.tsv
2000,2050,0.4434782608695652,0.3046875,0.37037037037037035,S9P6.tsv
2050,2100,0.27102803738317754,0.44565217391304346,0.3235294117647059,S9P6.tsv
2100,2150,0.517948717948718,0.3333333333333333,0.4434250764525994,S9P6.tsv
2150,2200,0.46558704453441296,0.3333333333333333,0.41204819277108434,S9P6.tsv
2200,2250,0.3435114503816794,0.44970414201183434,0.4033333333333333,S9P6.tsv
2250,2300,0.28484848484848485,0.37373737373737376,0.3181818181818182,S9P6.tsv
2300,2335,0.2956521739130435,0.48936170212765956,0.3827751196172249,S9P6.tsv
