begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.5031446540880503,0.36363636363636365,0.4100418410041841,SKPB.tsv
50,100,0.3870967741935484,0.13793103448275862,0.18181818181818182,SKPB.tsv
100,150,0.36363636363636365,0.09191176470588236,0.14497041420118342,SKPB.tsv
150,200,0.5,0.5,0.5,SKPB.tsv
200,250,0.5081967213114754,0.4306784660766962,0.4578544061302682,SKPB.tsv
250,300,0.5,0.28368794326241137,0.3607305936073059,SKPB.tsv
300,350,0.4679245283018868,0.2872340425531915,0.39293598233995586,SKPB.tsv
350,400,0.5024154589371981,0.38461538461538464,0.43832599118942733,SKPB.tsv
400,450,0.42934782608695654,0.37786259541984735,0.3991031390134529,SKPB.tsv
450,500,0.45161290322580644,0.3936781609195402,0.4115308151093439,SKPB.tsv
500,550,0.336231884057971,0.4200913242009132,0.36879432624113473,SKPB.tsv
550,600,0.3888888888888889,0.28185328185328185,0.3133514986376022,SKPB.tsv
600,650,0.452755905511811,0.26515151515151514,0.35714285714285715,SKPB.tsv
650,700,0.4942084942084942,0.3611111111111111,0.4168012924071082,SKPB.tsv
700,750,0.4779582366589327,0.42412451361867703,0.4578488372093023,SKPB.tsv
750,800,0.5327102803738317,0.2746212121212121,0.31811023622047246,SKPB.tsv
800,850,0.5504587155963303,0.18719211822660098,0.26407766990291265,SKPB.tsv
850,900,0.4644808743169399,0.4748427672955975,0.47105788423153694,SKPB.tsv
900,950,0.5299145299145299,0.24528301886792453,0.3787575150300601,SKPB.tsv
950,952,0.08333333333333333,0.0,0.058823529411764705,SKPB.tsv
