begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.603448275862069,0.19378427787934185,0.23305785123966943,SWGX.tsv
50,100,0.496,0.3466666666666667,0.3905882352941176,SWGX.tsv
100,150,0.32098765432098764,0.26903553299492383,0.2841726618705036,SWGX.tsv
150,200,0.41025641025641024,0.17454545454545456,0.22662889518413598,SWGX.tsv
200,250,0.31976744186046513,0.3565217391304348,0.3344947735191638,SWGX.tsv
250,300,0.3901098901098901,0.35398230088495575,0.376271186440678,SWGX.tsv
300,350,0.37037037037037035,0.38524590163934425,0.37994722955145116,SWGX.tsv
350,400,0.5223880597014925,0.2816326530612245,0.36675461741424803,SWGX.tsv
400,450,0.4413793103448276,0.2610294117647059,0.3237410071942446,SWGX.tsv
450,500,0.423728813559322,0.2571428571428571,0.28342245989304815,SWGX.tsv
500,550,0.4188034188034188,0.29914529914529914,0.33903133903133903,SWGX.tsv
550,600,0.5203252032520326,0.3973941368078176,0.4325581395348837,SWGX.tsv
600,648,0.43243243243243246,0.2833333333333333,0.35060975609756095,SWGX.tsv
