begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.15789473684210525,0.1392857142857143,0.14527845036319612,S4MV.tsv
50,100,0.3829787234042553,0.17647058823529413,0.20353159851301114,S4MV.tsv
100,150,0.47692307692307695,0.2551867219917012,0.3190546528803545,S4MV.tsv
150,200,0.5571776155717761,0.36329588014981273,0.4808259587020649,S4MV.tsv
200,250,0.6052631578947368,0.4467713787085515,0.5017103762827823,S4MV.tsv
250,300,0.5855263157894737,0.546875,0.5657051282051282,S4MV.tsv
300,350,0.5357142857142857,0.5539906103286385,0.5476923076923077,S4MV.tsv
350,400,0.6123348017621145,0.5677966101694916,0.5896328293736501,S4MV.tsv
400,450,0.5911330049261084,0.5949008498583569,0.5935251798561151,S4MV.tsv
450,473,0.5338983050847458,0.6060606060606061,0.572,S4MV.tsv
