begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.06324110671936758,0.25210084033613445,0.12365591397849462,S7NV.tsv
50,100,0.26973684210526316,0.24025974025974026,0.25,S7NV.tsv
100,150,0.48484848484848486,0.3768545994065282,0.4123505976095618,S7NV.tsv
150,200,0.4936708860759494,0.4078549848942598,0.43558282208588955,S7NV.tsv
200,250,0.6078431372549019,0.4904214559386973,0.533816425120773,S7NV.tsv
250,300,0.5392156862745098,0.49700598802395207,0.5243128964059197,S7NV.tsv
300,350,0.575107296137339,0.5205479452054794,0.5486725663716814,S7NV.tsv
350,400,0.5333333333333333,0.5680933852140078,0.5502846299810247,S7NV.tsv
400,450,0.6116504854368932,0.5621621621621622,0.5882352941176471,S7NV.tsv
450,500,0.6391752577319587,0.5641891891891891,0.5826972010178118,S7NV.tsv
500,550,0.6224188790560472,0.56,0.6056034482758621,S7NV.tsv
550,600,0.5951219512195122,0.7448275862068966,0.6571428571428571,S7NV.tsv
600,650,0.4972677595628415,0.6320754716981132,0.569620253164557,S7NV.tsv
650,700,0.6057971014492753,0.5857142857142857,0.6,S7NV.tsv
700,750,0.6645962732919255,0.6204379562043796,0.6514161220043573,S7NV.tsv
750,800,0.5754716981132075,0.6123348017621145,0.5945330296127562,S7NV.tsv
800,850,0.664,0.5906735751295337,0.6194968553459119,S7NV.tsv
850,900,0.6386554621848739,0.7279411764705882,0.6711229946524064,S7NV.tsv
900,947,0.7384615384615385,0.6918238993710691,0.7175141242937854,S7NV.tsv
