begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.17727272727272728,0.19939577039274925,0.19056261343012704,SLNV.tsv
50,100,0.32608695652173914,0.25660377358490566,0.27095808383233533,SLNV.tsv
100,150,0.3957597173144876,0.29782082324455206,0.33764367816091956,SLNV.tsv
150,200,0.4098360655737705,0.32710280373831774,0.38461538461538464,SLNV.tsv
200,250,0.455743879472693,0.24615384615384617,0.43288590604026844,SLNV.tsv
250,300,0.43471810089020774,0.5,0.4411764705882353,SLNV.tsv
300,350,0.484472049689441,0.4973544973544973,0.4892367906066536,SLNV.tsv
350,400,0.4927536231884058,0.5802469135802469,0.5541125541125541,SLNV.tsv
400,450,0.5304054054054054,0.6941176470588235,0.5901287553648069,SLNV.tsv
450,483,0.4646017699115044,0.7176470588235294,0.5337620578778135,SLNV.tsv
