begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.21428571428571427,0.1678082191780822,0.18181818181818182,SMNC.tsv
50,100,0.25,0.1895424836601307,0.2048780487804878,SMNC.tsv
100,150,0.423841059602649,0.3384615384615385,0.37572254335260113,SMNC.tsv
150,200,0.5903614457831325,0.31295843520782396,0.3597560975609756,SMNC.tsv
200,250,0.4825174825174825,0.34615384615384615,0.4175824175824176,SMNC.tsv
250,300,0.4880952380952381,0.3263598326359833,0.3931203931203931,SMNC.tsv
300,350,0.6158940397350994,0.44,0.5214723926380368,SMNC.tsv
350,400,0.5424528301886793,0.3959731543624161,0.481994459833795,SMNC.tsv
400,450,0.5213270142180095,0.5058823529411764,0.5144356955380578,SMNC.tsv
450,500,0.6013513513513513,0.5791245791245792,0.5865168539325842,SMNC.tsv
500,550,0.5895522388059702,0.44680851063829785,0.47619047619047616,SMNC.tsv
550,600,0.6022099447513812,0.5833333333333334,0.5934718100890207,SMNC.tsv
600,650,0.7298850574712644,0.4950980392156863,0.6031746031746031,SMNC.tsv
650,700,0.6578947368421053,0.5621890547263682,0.603399433427762,SMNC.tsv
700,750,0.7413793103448276,0.6372549019607843,0.6658767772511849,SMNC.tsv
750,800,0.6459627329192547,0.5793357933579336,0.6041666666666666,SMNC.tsv
800,850,0.6956521739130435,0.6331658291457286,0.6611111111111111,SMNC.tsv
850,883,0.6020408163265306,0.5054945054945055,0.5555555555555556,SMNC.tsv
