begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.3324175824175824,0.47282608695652173,0.3795620437956204,S7NH.tsv
50,100,0.5328467153284672,0.7184466019417476,0.5948136142625607,S7NH.tsv
100,150,0.7249544626593807,0.5992366412213741,0.6843403205918619,S7NH.tsv
150,200,0.75,0.7694704049844237,0.7604690117252931,S7NH.tsv
200,250,0.7073170731707317,0.7622641509433963,0.7382978723404255,S7NH.tsv
250,300,0.75,0.7991266375545851,0.7850467289719626,S7NH.tsv
300,350,0.7676991150442478,0.7668711656441718,0.767479674796748,S7NH.tsv
350,400,0.7323420074349443,0.9057591623036649,0.8043478260869565,S7NH.tsv
400,450,0.7742504409171076,0.8969072164948454,0.7921686746987951,S7NH.tsv
450,500,0.7035175879396985,0.9587628865979382,0.739193083573487,S7NH.tsv
500,550,0.7648401826484018,0.8588235294117647,0.780114722753346,S7NH.tsv
550,600,0.8315565031982942,0.9084507042253521,0.8494271685761048,S7NH.tsv
600,650,0.8067846607669616,0.8966666666666666,0.8343558282208589,S7NH.tsv
650,700,0.8197064989517819,0.9180327868852459,0.8580562659846548,S7NH.tsv
700,750,0.8529411764705882,0.9240506329113924,0.871319520174482,S7NH.tsv
750,800,0.8427299703264095,0.8960396039603961,0.8550228310502284,S7NH.tsv
800,850,0.8561643835616438,0.9026798307475318,0.8947368421052632,S7NH.tsv
850,900,0.8287671232876712,0.911042944785276,0.885593220338983,S7NH.tsv
900,950,0.8545454545454545,0.9216710182767625,0.8971807628524047,S7NH.tsv
950,1000,0.7405857740585774,0.9299065420560748,0.8300220750551877,S7NH.tsv
1000,1050,0.8687258687258688,0.8783783783783784,0.8731808731808732,S7NH.tsv
1050,1100,0.85,0.9295039164490861,0.9130434782608695,S7NH.tsv
1100,1150,0.851508120649652,0.9238095238095239,0.8656716417910447,S7NH.tsv
1150,1200,0.7931034482758621,0.9076923076923077,0.8454332552693209,S7NH.tsv
1200,1250,0.8125,0.9213483146067416,0.8742038216560509,S7NH.tsv
1250,1300,0.8580931263858093,0.9538904899135446,0.899749373433584,S7NH.tsv
1300,1350,0.8364485981308412,0.9136490250696379,0.8848167539267016,S7NH.tsv
1350,1350,0.0,0.0,0.0,S7NH.tsv
