speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0654,73,24,18,0.3287671232876712,S0655,73,23,18,0.3150684931506849,S0653,86,37,28,0.43023255813953487,232,84,0.3620689655172414,64,0,50,SM8E.tsv
S0654,140,70,65,0.5,S0655,70,52,38,0.7428571428571429,S0653,132,65,54,0.49242424242424243,342,187,0.5467836257309941,157,50,100,SM8E.tsv
S0654,105,69,51,0.6571428571428571,S0655,23,20,15,0.8695652173913043,S0653,235,140,121,0.5957446808510638,363,229,0.6308539944903582,187,100,150,SM8E.tsv
S0654,25,16,11,0.64,S0655,105,60,43,0.5714285714285714,S0653,162,108,82,0.6666666666666666,292,184,0.6301369863013698,136,150,200,SM8E.tsv
S0654,88,74,57,0.8409090909090909,S0655,77,51,39,0.6623376623376623,S0653,140,94,77,0.6714285714285714,305,219,0.7180327868852459,173,200,250,SM8E.tsv
S0654,11,10,7,0.9090909090909091,S0655,76,58,50,0.7631578947368421,S0653,371,259,226,0.6981132075471698,458,327,0.7139737991266376,283,250,300,SM8E.tsv
S0654,50,40,32,0.8,S0655,85,63,49,0.7411764705882353,S0653,361,262,209,0.7257617728531855,496,365,0.7358870967741935,290,300,350,SM8E.tsv
S0654,52,45,36,0.8653846153846154,S0655,64,50,39,0.78125,S0653,255,192,165,0.7529411764705882,371,287,0.7735849056603774,240,350,400,SM8E.tsv
S0654,23,22,11,0.9565217391304348,S0655,118,91,70,0.7711864406779662,S0653,224,172,148,0.7678571428571429,365,285,0.7808219178082192,229,400,450,SM8E.tsv
S0654,99,79,62,0.797979797979798,S0655,74,59,48,0.7972972972972973,S0653,281,226,179,0.8042704626334519,454,364,0.801762114537445,289,450,500,SM8E.tsv
S0654,26,19,14,0.7307692307692307,S0655,24,15,7,0.625,S0653,66,48,42,0.7272727272727273,116,82,0.7068965517241379,63,500,520,SM8E.tsv
