speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0212,181,27,25,0.14917127071823205,S0209,162,92,76,0.5679012345679012,S0202,34,20,16,0.5882352941176471,377,139,0.3687002652519894,117,0,50,STG7.tsv
S0212,195,92,80,0.4717948717948718,S0209,13,5,4,0.38461538461538464,S0202,361,220,194,0.6094182825484764,569,317,0.5571177504393673,278,50,100,STG7.tsv
S0212,248,187,144,0.7540322580645161,S0209,0,0,0,0.0,S0202,244,145,117,0.5942622950819673,492,332,0.6747967479674797,261,100,150,STG7.tsv
S0212,135,91,78,0.674074074074074,S0209,0,0,0,0.0,S0202,508,341,263,0.6712598425196851,643,432,0.671850699844479,341,150,200,STG7.tsv
S0212,133,102,80,0.7669172932330827,S0209,0,0,0,0.0,S0202,425,302,241,0.7105882352941176,558,404,0.7240143369175627,321,200,250,STG7.tsv
S0212,314,259,189,0.8248407643312102,S0209,0,0,0,0.0,S0202,549,404,312,0.7358834244080146,863,663,0.7682502896871379,501,250,300,STG7.tsv
S0212,348,267,198,0.7672413793103449,S0209,0,0,0,0.0,S0202,218,184,139,0.8440366972477065,566,451,0.7968197879858657,337,300,350,STG7.tsv
S0212,124,100,72,0.8064516129032258,S0209,0,0,0,0.0,S0202,400,295,236,0.7375,524,395,0.7538167938931297,308,350,400,STG7.tsv
S0212,87,72,56,0.8275862068965517,S0209,0,0,0,0.0,S0202,265,202,159,0.7622641509433963,352,274,0.7784090909090909,215,400,450,STG7.tsv
S0212,227,191,143,0.8414096916299559,S0209,0,0,0,0.0,S0202,151,124,107,0.8211920529801324,378,315,0.8333333333333334,250,450,500,STG7.tsv
S0212,80,63,51,0.7875,S0209,0,0,0,0.0,S0202,279,211,168,0.7562724014336918,359,274,0.7632311977715878,219,500,550,STG7.tsv
S0212,161,143,97,0.8881987577639752,S0209,6,6,5,1.0,S0202,205,168,120,0.8195121951219512,372,317,0.8521505376344086,222,550,600,STG7.tsv
S0212,200,167,117,0.835,S0209,0,0,0,0.0,S0202,197,139,104,0.7055837563451777,397,306,0.7707808564231738,221,600,650,STG7.tsv
S0212,3,3,3,1.0,S0209,0,0,0,0.0,S0202,1,1,1,1.0,4,4,1.0,4,650,652,STG7.tsv
