speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0018,89,5,5,0.056179775280898875,S0006,221,8,6,0.03619909502262444,S0005,0,0,0,0.0,310,13,0.041935483870967745,11,0,50,SJ4X.tsv
S0018,73,6,5,0.0821917808219178,S0006,239,35,22,0.14644351464435146,S0005,50,6,3,0.12,362,47,0.1298342541436464,30,50,100,SJ4X.tsv
S0018,105,29,24,0.2761904761904762,S0006,194,30,20,0.15463917525773196,S0005,45,15,12,0.3333333333333333,344,74,0.21511627906976744,56,100,150,SJ4X.tsv
S0018,146,47,31,0.3219178082191781,S0006,233,49,32,0.21030042918454936,S0005,14,10,7,0.7142857142857143,393,106,0.2697201017811705,70,150,200,SJ4X.tsv
S0018,83,27,19,0.3253012048192771,S0006,248,70,47,0.28225806451612906,S0005,0,0,0,0.0,331,97,0.2930513595166163,66,200,250,SJ4X.tsv
S0018,94,26,21,0.2765957446808511,S0006,356,96,65,0.2696629213483146,S0005,39,23,16,0.5897435897435898,489,145,0.2965235173824131,102,250,300,SJ4X.tsv
S0018,354,185,116,0.5225988700564972,S0006,129,42,26,0.32558139534883723,S0005,38,22,13,0.5789473684210527,521,249,0.4779270633397313,155,300,350,SJ4X.tsv
S0018,154,79,53,0.512987012987013,S0006,166,69,47,0.41566265060240964,S0005,43,26,20,0.6046511627906976,363,174,0.4793388429752066,120,350,400,SJ4X.tsv
S0018,175,83,57,0.4742857142857143,S0006,200,73,55,0.365,S0005,1,0,0,0.0,376,156,0.4148936170212766,112,400,450,SJ4X.tsv
S0018,133,60,43,0.45112781954887216,S0006,154,71,46,0.461038961038961,S0005,0,0,0,0.0,287,131,0.4564459930313589,89,450,500,SJ4X.tsv
S0018,198,84,59,0.42424242424242425,S0006,249,93,59,0.37349397590361444,S0005,31,16,11,0.5161290322580645,478,193,0.40376569037656906,129,500,550,SJ4X.tsv
S0018,98,38,24,0.3877551020408163,S0006,295,124,80,0.42033898305084744,S0005,4,2,1,0.5,397,164,0.41309823677581864,105,550,600,SJ4X.tsv
S0018,97,35,18,0.36082474226804123,S0006,262,77,53,0.29389312977099236,S0005,93,60,38,0.6451612903225806,452,172,0.3805309734513274,109,600,650,SJ4X.tsv
S0018,119,55,36,0.46218487394957986,S0006,44,22,16,0.5,S0005,204,124,75,0.6078431372549019,367,201,0.547683923705722,127,650,700,SJ4X.tsv
S0018,101,53,34,0.5247524752475248,S0006,181,103,60,0.569060773480663,S0005,145,74,48,0.5103448275862069,427,230,0.5386416861826698,142,700,750,SJ4X.tsv
S0018,137,78,53,0.5693430656934306,S0006,149,87,59,0.5838926174496645,S0005,78,55,31,0.7051282051282052,364,220,0.6043956043956044,143,750,800,SJ4X.tsv
S0018,251,146,90,0.5816733067729084,S0006,185,109,68,0.5891891891891892,S0005,103,66,41,0.6407766990291263,539,321,0.5955473098330241,199,800,850,SJ4X.tsv
S0018,106,73,46,0.6886792452830188,S0006,242,127,76,0.5247933884297521,S0005,29,24,14,0.8275862068965517,377,224,0.5941644562334217,136,850,900,SJ4X.tsv
S0018,227,140,86,0.6167400881057269,S0006,158,81,56,0.5126582278481012,S0005,51,36,22,0.7058823529411765,436,257,0.5894495412844036,164,900,950,SJ4X.tsv
S0018,165,95,60,0.5757575757575758,S0006,157,91,65,0.5796178343949044,S0005,0,0,0,0.0,322,186,0.577639751552795,125,950,1000,SJ4X.tsv
S0018,88,62,37,0.7045454545454546,S0006,136,91,57,0.6691176470588235,S0005,152,100,57,0.6578947368421053,376,253,0.6728723404255319,151,1000,1050,SJ4X.tsv
S0018,95,53,34,0.5578947368421052,S0006,94,53,34,0.5638297872340425,S0005,117,89,56,0.7606837606837606,306,195,0.6372549019607843,124,1050,1100,SJ4X.tsv
S0018,103,75,43,0.7281553398058253,S0006,205,136,86,0.6634146341463415,S0005,72,42,28,0.5833333333333334,380,253,0.6657894736842105,157,1100,1150,SJ4X.tsv
S0018,1,1,1,1.0,S0006,5,3,1,0.6,S0005,0,0,0,0.0,6,4,0.6666666666666666,2,1150,1152,SJ4X.tsv
