speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0653,169,32,20,0.1893491124260355,S0654,156,37,24,0.23717948717948717,S0655,14,5,1,0.35714285714285715,339,74,0.2182890855457227,45,0,50,SQPH.tsv
S0653,123,47,29,0.3821138211382114,S0654,77,16,13,0.2077922077922078,S0655,65,16,13,0.24615384615384617,265,79,0.2981132075471698,55,50,100,SQPH.tsv
S0653,233,63,45,0.2703862660944206,S0654,136,30,21,0.22058823529411764,S0655,50,26,18,0.52,419,119,0.2840095465393795,84,100,150,SQPH.tsv
S0653,127,41,30,0.3228346456692913,S0654,207,78,54,0.37681159420289856,S0655,73,37,16,0.5068493150684932,407,156,0.3832923832923833,100,150,200,SQPH.tsv
S0653,211,87,62,0.41232227488151657,S0654,52,29,18,0.5576923076923077,S0655,55,27,18,0.4909090909090909,318,143,0.449685534591195,98,200,250,SQPH.tsv
S0653,331,127,85,0.38368580060422963,S0654,124,63,43,0.5080645161290323,S0655,74,41,19,0.5540540540540541,529,231,0.43667296786389415,147,250,300,SQPH.tsv
S0653,196,77,55,0.39285714285714285,S0654,130,85,56,0.6538461538461539,S0655,53,35,22,0.660377358490566,379,197,0.5197889182058048,133,300,350,SQPH.tsv
S0653,175,72,47,0.4114285714285714,S0654,75,36,22,0.48,S0655,78,43,27,0.5512820512820513,328,151,0.4603658536585366,96,350,400,SQPH.tsv
S0653,154,73,48,0.474025974025974,S0654,82,44,24,0.5365853658536586,S0655,80,40,25,0.5,316,157,0.49683544303797467,97,400,450,SQPH.tsv
S0653,157,77,55,0.49044585987261147,S0654,158,69,40,0.43670886075949367,S0655,2,1,1,0.5,317,147,0.4637223974763407,96,450,488,SQPH.tsv
