speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0417,341,65,55,0.1906158357771261,S0416,137,82,69,0.5985401459854015,S0418,7,2,2,0.2857142857142857,485,149,0.30721649484536084,126,0,50,SHX2.tsv
S0417,424,127,112,0.29952830188679247,S0416,238,128,107,0.5378151260504201,S0418,3,3,3,1.0,665,258,0.3879699248120301,222,50,100,SHX2.tsv
S0417,113,57,50,0.504424778761062,S0416,181,39,36,0.2154696132596685,S0418,9,4,4,0.4444444444444444,303,100,0.33003300330033003,90,100,150,SHX2.tsv
S0417,209,102,92,0.4880382775119617,S0416,153,38,33,0.24836601307189543,S0418,6,4,4,0.6666666666666666,368,144,0.391304347826087,129,150,200,SHX2.tsv
S0417,161,39,38,0.2422360248447205,S0416,175,112,90,0.64,S0418,2,2,2,1.0,338,153,0.4526627218934911,130,200,250,SHX2.tsv
S0417,376,151,135,0.4015957446808511,S0416,189,88,75,0.4656084656084656,S0418,0,0,0,0.0,565,239,0.4230088495575221,210,250,300,SHX2.tsv
S0417,708,405,343,0.5720338983050848,S0416,327,84,70,0.25688073394495414,S0418,0,0,0,0.0,1035,489,0.47246376811594204,413,300,350,SHX2.tsv
S0417,146,54,47,0.3698630136986301,S0416,268,94,86,0.35074626865671643,S0418,0,0,0,0.0,414,148,0.357487922705314,133,350,400,SHX2.tsv
S0417,236,99,85,0.4194915254237288,S0416,231,70,58,0.30303030303030304,S0418,0,0,0,0.0,467,169,0.3618843683083512,143,400,450,SHX2.tsv
S0417,115,58,46,0.5043478260869565,S0416,174,47,38,0.27011494252873564,S0418,0,0,0,0.0,289,105,0.3633217993079585,84,450,490,SHX2.tsv
