speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0152,180,47,44,0.2611111111111111,S0013,19,8,8,0.42105263157894735,S0012,88,41,37,0.4659090909090909,287,96,0.3344947735191638,89,0,50,SP62.tsv
S0152,230,38,37,0.16521739130434782,S0013,27,11,11,0.4074074074074074,S0012,26,12,11,0.46153846153846156,283,61,0.21554770318021202,59,50,100,SP62.tsv
S0152,126,40,24,0.31746031746031744,S0013,46,20,20,0.43478260869565216,S0012,48,25,19,0.5208333333333334,220,85,0.38636363636363635,63,100,150,SP62.tsv
S0152,222,69,57,0.3108108108108108,S0013,22,10,10,0.45454545454545453,S0012,130,60,51,0.46153846153846156,374,139,0.3716577540106952,118,150,200,SP62.tsv
S0152,219,79,76,0.3607305936073059,S0013,24,11,11,0.4583333333333333,S0012,86,35,31,0.4069767441860465,329,125,0.3799392097264438,118,200,250,SP62.tsv
S0152,558,112,103,0.2007168458781362,S0013,22,11,11,0.5,S0012,57,31,27,0.543859649122807,637,154,0.24175824175824176,141,250,300,SP62.tsv
S0152,456,34,34,0.07456140350877193,S0013,7,5,5,0.7142857142857143,S0012,35,26,26,0.7428571428571429,498,65,0.13052208835341367,65,300,350,SP62.tsv
S0152,441,54,49,0.12244897959183673,S0013,24,16,15,0.6666666666666666,S0012,33,19,18,0.5757575757575758,498,89,0.178714859437751,82,350,400,SP62.tsv
S0152,157,20,17,0.12738853503184713,S0013,32,14,12,0.4375,S0012,66,20,19,0.30303030303030304,255,54,0.21176470588235294,48,400,450,SP62.tsv
S0152,180,69,63,0.38333333333333336,S0013,58,9,7,0.15517241379310345,S0012,72,26,21,0.3611111111111111,310,104,0.33548387096774196,91,450,500,SP62.tsv
S0152,179,66,58,0.3687150837988827,S0013,82,33,31,0.4024390243902439,S0012,98,48,43,0.4897959183673469,359,147,0.40947075208913647,132,500,550,SP62.tsv
S0152,163,78,68,0.4785276073619632,S0013,25,13,9,0.52,S0012,93,30,27,0.3225806451612903,281,121,0.4306049822064057,104,550,600,SP62.tsv
S0152,181,77,63,0.425414364640884,S0013,0,0,0,0.0,S0012,207,87,77,0.42028985507246375,388,164,0.422680412371134,140,600,650,SP62.tsv
S0152,299,91,88,0.30434782608695654,S0013,0,0,0,0.0,S0012,132,68,55,0.5151515151515151,431,159,0.3689095127610209,143,650,700,SP62.tsv
S0152,216,68,64,0.3148148148148148,S0013,30,18,15,0.6,S0012,107,55,51,0.514018691588785,353,141,0.39943342776203966,130,700,750,SP62.tsv
S0152,22,8,8,0.36363636363636365,S0013,163,63,58,0.38650306748466257,S0012,119,35,29,0.29411764705882354,304,106,0.34868421052631576,95,750,800,SP62.tsv
S0152,12,9,8,0.75,S0013,161,34,33,0.2111801242236025,S0012,99,55,44,0.5555555555555556,272,98,0.3602941176470588,85,800,850,SP62.tsv
S0152,58,15,15,0.25862068965517243,S0013,70,28,25,0.4,S0012,184,83,72,0.45108695652173914,312,126,0.40384615384615385,112,850,900,SP62.tsv
S0152,24,12,11,0.5,S0013,99,46,46,0.46464646464646464,S0012,155,49,33,0.3161290322580645,278,107,0.38489208633093525,90,900,950,SP62.tsv
S0152,23,15,12,0.6521739130434783,S0013,97,46,38,0.4742268041237113,S0012,254,66,59,0.25984251968503935,374,127,0.339572192513369,109,950,1000,SP62.tsv
S0152,40,19,18,0.475,S0013,86,36,28,0.4186046511627907,S0012,209,80,68,0.3827751196172249,335,135,0.40298507462686567,114,1000,1050,SP62.tsv
S0152,23,14,14,0.6086956521739131,S0013,75,27,26,0.36,S0012,159,49,47,0.3081761006289308,257,90,0.35019455252918286,87,1050,1100,SP62.tsv
S0152,38,23,21,0.6052631578947368,S0013,81,20,18,0.24691358024691357,S0012,111,56,47,0.5045045045045045,230,99,0.43043478260869567,86,1100,1150,SP62.tsv
S0152,236,80,74,0.3389830508474576,S0013,18,10,10,0.5555555555555556,S0012,56,17,13,0.30357142857142855,310,107,0.34516129032258064,97,1150,1200,SP62.tsv
S0152,212,45,42,0.21226415094339623,S0013,10,3,3,0.3,S0012,186,104,92,0.5591397849462365,408,152,0.37254901960784315,137,1200,1250,SP62.tsv
S0152,162,62,49,0.38271604938271603,S0013,12,3,2,0.25,S0012,141,65,58,0.46099290780141844,315,130,0.4126984126984127,109,1250,1300,SP62.tsv
S0152,210,80,73,0.38095238095238093,S0013,38,23,22,0.6052631578947368,S0012,182,68,63,0.37362637362637363,430,171,0.39767441860465114,158,1300,1350,SP62.tsv
S0152,260,102,95,0.3923076923076923,S0013,8,2,2,0.25,S0012,121,46,40,0.38016528925619836,389,150,0.3856041131105398,137,1350,1400,SP62.tsv
