speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0684,65,41,34,0.6307692307692307,S0686,159,65,52,0.4088050314465409,S0685,305,152,134,0.49836065573770494,529,258,0.4877126654064272,220,0,50,SVLZ.tsv
S0684,139,74,65,0.5323741007194245,S0686,344,150,130,0.436046511627907,S0685,82,8,7,0.0975609756097561,565,232,0.41061946902654867,202,50,100,SVLZ.tsv
S0684,162,65,59,0.4012345679012346,S0686,361,171,136,0.47368421052631576,S0685,12,5,4,0.4166666666666667,535,241,0.4504672897196262,199,100,150,SVLZ.tsv
S0684,108,60,56,0.5555555555555556,S0686,361,111,103,0.3074792243767313,S0685,129,71,65,0.5503875968992248,598,242,0.40468227424749165,224,150,200,SVLZ.tsv
S0684,121,67,58,0.5537190082644629,S0686,167,85,70,0.5089820359281437,S0685,267,60,50,0.2247191011235955,555,212,0.38198198198198197,178,200,250,SVLZ.tsv
S0684,105,46,40,0.4380952380952381,S0686,328,150,135,0.4573170731707317,S0685,69,12,12,0.17391304347826086,502,208,0.41434262948207173,187,250,300,SVLZ.tsv
S0684,221,90,76,0.4072398190045249,S0686,300,129,93,0.43,S0685,11,2,2,0.18181818181818182,532,221,0.41541353383458646,171,300,350,SVLZ.tsv
S0684,63,23,17,0.36507936507936506,S0686,316,82,72,0.25949367088607594,S0685,299,192,165,0.6421404682274248,678,297,0.43805309734513276,254,350,400,SVLZ.tsv
S0684,92,37,35,0.40217391304347827,S0686,101,65,57,0.6435643564356436,S0685,415,161,151,0.38795180722891565,608,263,0.43256578947368424,243,400,450,SVLZ.tsv
S0684,216,79,71,0.36574074074074076,S0686,271,182,145,0.6715867158671587,S0685,68,0,0,0.0,555,261,0.4702702702702703,216,450,500,SVLZ.tsv
S0684,126,53,45,0.42063492063492064,S0686,361,128,119,0.3545706371191136,S0685,36,20,14,0.5555555555555556,523,201,0.384321223709369,178,500,550,SVLZ.tsv
S0684,45,9,9,0.2,S0686,18,4,3,0.2222222222222222,S0685,1,0,0,0.0,64,13,0.203125,12,550,562,SVLZ.tsv
