speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0417,170,45,34,0.2647058823529412,S0415,386,52,38,0.13471502590673576,S0416,37,8,6,0.21621621621621623,593,105,0.17706576728499157,78,0,50,SBCL.tsv
S0417,161,32,23,0.19875776397515527,S0415,260,38,25,0.14615384615384616,S0416,96,29,19,0.3020833333333333,517,99,0.19148936170212766,67,50,100,SBCL.tsv
S0417,132,30,24,0.22727272727272727,S0415,189,38,25,0.20105820105820105,S0416,67,6,6,0.08955223880597014,388,74,0.19072164948453607,55,100,150,SBCL.tsv
S0417,40,6,5,0.15,S0415,244,46,25,0.1885245901639344,S0416,188,58,45,0.30851063829787234,472,110,0.2330508474576271,75,150,200,SBCL.tsv
S0417,104,34,22,0.3269230769230769,S0415,174,47,30,0.27011494252873564,S0416,172,50,31,0.29069767441860467,450,131,0.2911111111111111,83,200,250,SBCL.tsv
S0417,176,44,30,0.25,S0415,139,27,21,0.19424460431654678,S0416,123,32,25,0.2601626016260163,438,103,0.23515981735159816,76,250,300,SBCL.tsv
S0417,59,18,10,0.3050847457627119,S0415,142,23,16,0.1619718309859155,S0416,144,17,10,0.11805555555555555,345,58,0.1681159420289855,36,300,350,SBCL.tsv
S0417,20,4,4,0.2,S0415,199,29,15,0.1457286432160804,S0416,173,39,29,0.2254335260115607,392,72,0.1836734693877551,48,350,400,SBCL.tsv
S0417,33,5,4,0.15151515151515152,S0415,198,54,23,0.2727272727272727,S0416,166,22,14,0.13253012048192772,397,81,0.2040302267002519,41,400,450,SBCL.tsv
S0417,152,35,25,0.23026315789473684,S0415,321,45,28,0.14018691588785046,S0416,58,16,10,0.27586206896551724,531,96,0.1807909604519774,63,450,500,SBCL.tsv
S0417,69,7,5,0.10144927536231885,S0415,357,25,23,0.0700280112044818,S0416,3,0,0,0.0,429,32,0.07459207459207459,28,500,534,SBCL.tsv
