speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0012,203,38,28,0.18719211822660098,S0278,143,31,21,0.21678321678321677,S0013,80,20,16,0.25,426,89,0.20892018779342722,65,0,50,SG5Q.tsv
S0012,61,9,7,0.14754098360655737,S0278,502,50,47,0.099601593625498,S0013,63,22,13,0.3492063492063492,626,81,0.12939297124600638,67,50,100,SG5Q.tsv
S0012,28,10,7,0.35714285714285715,S0278,916,1,1,0.001091703056768559,S0013,17,3,3,0.17647058823529413,961,14,0.014568158168574402,11,100,150,SG5Q.tsv
S0012,97,18,13,0.18556701030927836,S0278,181,17,12,0.09392265193370165,S0013,67,15,9,0.22388059701492538,345,50,0.14492753623188406,34,150,200,SG5Q.tsv
S0012,237,29,17,0.12236286919831224,S0278,104,21,12,0.20192307692307693,S0013,17,1,1,0.058823529411764705,358,51,0.1424581005586592,30,200,250,SG5Q.tsv
S0012,134,34,27,0.2537313432835821,S0278,78,24,21,0.3076923076923077,S0013,334,20,15,0.059880239520958084,546,78,0.14285714285714285,63,250,300,SG5Q.tsv
S0012,35,4,3,0.11428571428571428,S0278,349,16,12,0.045845272206303724,S0013,54,8,6,0.14814814814814814,438,28,0.0639269406392694,21,300,350,SG5Q.tsv
S0012,17,5,5,0.29411764705882354,S0278,375,6,4,0.016,S0013,39,8,8,0.20512820512820512,431,19,0.04408352668213457,17,350,400,SG5Q.tsv
S0012,47,19,15,0.40425531914893614,S0278,545,8,7,0.014678899082568808,S0013,23,14,11,0.6086956521739131,615,41,0.06666666666666667,33,400,450,SG5Q.tsv
S0012,85,18,14,0.21176470588235294,S0278,166,13,8,0.0783132530120482,S0013,86,23,17,0.26744186046511625,337,54,0.16023738872403562,39,450,500,SG5Q.tsv
S0012,225,9,8,0.04,S0278,119,26,20,0.2184873949579832,S0013,89,22,14,0.24719101123595505,433,57,0.13163972286374134,42,500,550,SG5Q.tsv
S0012,176,47,31,0.26704545454545453,S0278,205,25,18,0.12195121951219512,S0013,53,10,7,0.18867924528301888,434,82,0.1889400921658986,56,550,600,SG5Q.tsv
S0012,140,25,20,0.17857142857142858,S0278,201,20,17,0.09950248756218906,S0013,66,25,18,0.3787878787878788,407,70,0.171990171990172,55,600,650,SG5Q.tsv
S0012,117,15,11,0.1282051282051282,S0278,252,37,27,0.14682539682539683,S0013,81,6,6,0.07407407407407407,450,58,0.1288888888888889,44,650,700,SG5Q.tsv
S0012,85,27,16,0.3176470588235294,S0278,347,20,15,0.05763688760806916,S0013,36,1,1,0.027777777777777776,468,48,0.10256410256410256,32,700,750,SG5Q.tsv
S0012,149,40,26,0.2684563758389262,S0278,298,15,14,0.050335570469798654,S0013,21,5,5,0.23809523809523808,468,60,0.1282051282051282,45,750,800,SG5Q.tsv
S0012,146,41,24,0.2808219178082192,S0278,202,24,22,0.1188118811881188,S0013,43,14,12,0.32558139534883723,391,79,0.2020460358056266,58,800,850,SG5Q.tsv
S0012,77,26,19,0.33766233766233766,S0278,210,16,13,0.0761904761904762,S0013,74,20,16,0.2702702702702703,361,62,0.17174515235457063,48,850,900,SG5Q.tsv
S0012,104,18,15,0.17307692307692307,S0278,228,32,27,0.14035087719298245,S0013,53,5,3,0.09433962264150944,385,55,0.14285714285714285,45,900,950,SG5Q.tsv
S0012,13,7,6,0.5384615384615384,S0278,115,6,6,0.05217391304347826,S0013,24,6,6,0.25,152,19,0.125,18,950,972,SG5Q.tsv
