speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0612,250,57,42,0.228,S0610,89,7,7,0.07865168539325842,S0428,162,38,24,0.2345679012345679,501,102,0.20359281437125748,73,0,50,SKKB.tsv
S0612,447,57,47,0.12751677852348994,S0610,37,8,7,0.21621621621621623,S0428,166,52,37,0.3132530120481928,650,117,0.18,91,50,100,SKKB.tsv
S0612,395,25,17,0.06329113924050633,S0610,128,44,28,0.34375,S0428,89,27,19,0.30337078651685395,612,96,0.1568627450980392,64,100,150,SKKB.tsv
S0612,354,53,41,0.1497175141242938,S0610,88,31,21,0.3522727272727273,S0428,211,70,46,0.33175355450236965,653,154,0.23583460949464014,108,150,200,SKKB.tsv
S0612,216,40,33,0.18518518518518517,S0610,64,10,7,0.15625,S0428,133,18,12,0.13533834586466165,413,68,0.16464891041162227,52,200,250,SKKB.tsv
S0612,119,28,20,0.23529411764705882,S0610,296,32,22,0.10810810810810811,S0428,64,22,13,0.34375,479,82,0.17118997912317327,55,250,300,SKKB.tsv
S0612,98,22,16,0.22448979591836735,S0610,193,32,26,0.16580310880829016,S0428,99,24,21,0.24242424242424243,390,78,0.2,63,300,350,SKKB.tsv
S0612,205,47,28,0.22926829268292684,S0610,200,14,11,0.07,S0428,52,18,11,0.34615384615384615,457,79,0.17286652078774617,50,350,400,SKKB.tsv
S0612,293,65,41,0.22184300341296928,S0610,124,40,27,0.3225806451612903,S0428,63,14,11,0.2222222222222222,480,119,0.24791666666666667,79,400,450,SKKB.tsv
S0612,299,50,35,0.16722408026755853,S0610,77,17,11,0.22077922077922077,S0428,89,27,19,0.30337078651685395,465,94,0.2021505376344086,65,450,500,SKKB.tsv
S0612,258,34,26,0.13178294573643412,S0610,45,5,4,0.1111111111111111,S0428,132,29,21,0.2196969696969697,435,68,0.15632183908045977,51,500,550,SKKB.tsv
S0612,204,23,14,0.11274509803921569,S0610,26,0,0,0.0,S0428,122,19,12,0.1557377049180328,352,42,0.11931818181818182,26,550,600,SKKB.tsv
S0612,143,9,9,0.06293706293706294,S0610,109,13,11,0.11926605504587157,S0428,80,20,10,0.25,332,42,0.12650602409638553,30,600,650,SKKB.tsv
S0612,112,21,15,0.1875,S0610,65,6,5,0.09230769230769231,S0428,168,44,30,0.2619047619047619,345,71,0.20579710144927535,50,650,699,SKKB.tsv
