speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0230,135,37,26,0.2740740740740741,S0229,39,16,7,0.41025641025641024,S0198,250,37,23,0.148,424,90,0.21226415094339623,56,0,50,SPC3.tsv
S0230,162,46,37,0.2839506172839506,S0229,34,9,6,0.2647058823529412,S0198,301,43,30,0.14285714285714285,497,98,0.19718309859154928,73,50,100,SPC3.tsv
S0230,105,33,26,0.3142857142857143,S0229,89,12,11,0.1348314606741573,S0198,213,24,19,0.11267605633802817,407,69,0.16953316953316952,56,100,150,SPC3.tsv
S0230,106,18,10,0.16981132075471697,S0229,84,9,8,0.10714285714285714,S0198,224,52,35,0.23214285714285715,414,79,0.19082125603864733,53,150,200,SPC3.tsv
S0230,132,31,20,0.23484848484848486,S0229,58,19,14,0.3275862068965517,S0198,197,24,16,0.1218274111675127,387,74,0.19121447028423771,50,200,250,SPC3.tsv
S0230,122,11,9,0.09016393442622951,S0229,55,11,8,0.2,S0198,319,51,30,0.15987460815047022,496,73,0.14717741935483872,47,250,300,SPC3.tsv
S0230,82,11,10,0.13414634146341464,S0229,56,0,0,0.0,S0198,214,19,15,0.08878504672897196,352,30,0.08522727272727272,25,300,350,SPC3.tsv
S0230,155,26,23,0.16774193548387098,S0229,30,4,3,0.13333333333333333,S0198,209,20,14,0.09569377990430622,394,50,0.12690355329949238,40,350,400,SPC3.tsv
S0230,73,28,21,0.3835616438356164,S0229,19,4,3,0.21052631578947367,S0198,394,32,25,0.08121827411167512,486,64,0.13168724279835392,49,400,450,SPC3.tsv
S0230,81,17,11,0.20987654320987653,S0229,0,0,0,0.0,S0198,308,30,21,0.09740259740259741,389,47,0.12082262210796915,32,450,480,SPC3.tsv
