speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0530,217,45,34,0.2073732718894009,S0529,156,21,18,0.1346153846153846,S0531,0,0,0,0.0,373,66,0.1769436997319035,52,0,50,STNE.tsv
S0530,196,28,19,0.14285714285714285,S0529,182,48,38,0.26373626373626374,S0531,0,0,0,0.0,378,76,0.20105820105820105,57,50,100,STNE.tsv
S0530,261,37,25,0.1417624521072797,S0529,151,20,16,0.13245033112582782,S0531,2,1,1,0.5,414,58,0.14009661835748793,42,100,150,STNE.tsv
S0530,143,35,25,0.24475524475524477,S0529,95,16,15,0.16842105263157894,S0531,172,40,31,0.23255813953488372,410,91,0.22195121951219512,71,150,200,STNE.tsv
S0530,189,42,30,0.2222222222222222,S0529,62,24,15,0.3870967741935484,S0531,167,48,32,0.2874251497005988,418,114,0.2727272727272727,77,200,250,STNE.tsv
S0530,124,17,13,0.13709677419354838,S0529,114,20,15,0.17543859649122806,S0531,97,21,13,0.21649484536082475,335,58,0.17313432835820897,41,250,300,STNE.tsv
S0530,160,37,24,0.23125,S0529,64,8,8,0.125,S0531,88,12,10,0.13636363636363635,312,57,0.18269230769230768,42,300,350,STNE.tsv
S0530,146,32,22,0.2191780821917808,S0529,85,22,16,0.25882352941176473,S0531,160,9,8,0.05625,391,63,0.16112531969309463,46,350,400,STNE.tsv
S0530,173,27,20,0.15606936416184972,S0529,186,27,23,0.14516129032258066,S0531,0,0,0,0.0,359,54,0.15041782729805014,43,400,450,STNE.tsv
S0530,236,36,27,0.15254237288135594,S0529,223,37,32,0.16591928251121077,S0531,0,0,0,0.0,459,73,0.15904139433551198,59,450,500,STNE.tsv
S0530,155,39,31,0.25161290322580643,S0529,333,56,45,0.16816816816816818,S0531,0,0,0,0.0,488,95,0.19467213114754098,76,500,550,STNE.tsv
S0530,294,63,46,0.21428571428571427,S0529,322,74,52,0.22981366459627328,S0531,0,0,0,0.0,616,137,0.2224025974025974,98,550,600,STNE.tsv
S0530,240,59,39,0.24583333333333332,S0529,480,117,85,0.24375,S0531,0,0,0,0.0,720,176,0.24444444444444444,124,600,650,STNE.tsv
S0530,131,42,30,0.32061068702290074,S0529,515,43,41,0.08349514563106795,S0531,0,0,0,0.0,646,85,0.13157894736842105,71,650,700,STNE.tsv
S0530,508,59,45,0.11614173228346457,S0529,152,47,39,0.3092105263157895,S0531,0,0,0,0.0,660,106,0.1606060606060606,84,700,750,STNE.tsv
S0530,294,30,26,0.10204081632653061,S0529,91,16,14,0.17582417582417584,S0531,0,0,0,0.0,385,46,0.11948051948051948,40,750,800,STNE.tsv
S0530,199,21,17,0.10552763819095477,S0529,104,26,19,0.25,S0531,0,0,0,0.0,303,47,0.1551155115511551,36,800,850,STNE.tsv
S0530,136,33,25,0.2426470588235294,S0529,328,16,13,0.04878048780487805,S0531,0,0,0,0.0,464,49,0.10560344827586207,38,850,900,STNE.tsv
S0530,309,79,59,0.255663430420712,S0529,222,50,42,0.22522522522522523,S0531,0,0,0,0.0,531,129,0.24293785310734464,101,900,950,STNE.tsv
S0530,336,86,59,0.25595238095238093,S0529,162,26,22,0.16049382716049382,S0531,0,0,0,0.0,498,112,0.2248995983935743,81,950,1000,STNE.tsv
S0530,112,14,10,0.125,S0529,250,40,27,0.16,S0531,0,0,0,0.0,362,54,0.14917127071823205,37,1000,1035,STNE.tsv
