speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0008,208,31,23,0.14903846153846154,S0012,177,38,23,0.21468926553672316,S0013,93,18,12,0.1935483870967742,478,87,0.18200836820083682,58,0,50,SVUC.tsv
S0008,161,19,18,0.11801242236024845,S0012,77,10,9,0.12987012987012986,S0013,62,13,10,0.20967741935483872,300,42,0.14,37,50,100,SVUC.tsv
S0008,232,38,23,0.16379310344827586,S0012,153,40,28,0.26143790849673204,S0013,26,6,5,0.23076923076923078,411,84,0.20437956204379562,56,100,150,SVUC.tsv
S0008,211,22,16,0.10426540284360189,S0012,200,37,31,0.185,S0013,32,11,9,0.34375,443,70,0.1580135440180587,56,150,200,SVUC.tsv
S0008,107,18,12,0.16822429906542055,S0012,314,33,28,0.10509554140127389,S0013,67,17,13,0.2537313432835821,488,68,0.13934426229508196,53,200,250,SVUC.tsv
S0008,172,27,20,0.1569767441860465,S0012,127,7,6,0.05511811023622047,S0013,46,4,3,0.08695652173913043,345,38,0.11014492753623188,29,250,300,SVUC.tsv
S0008,238,34,25,0.14285714285714285,S0012,91,28,20,0.3076923076923077,S0013,64,21,15,0.328125,393,83,0.21119592875318066,60,300,350,SVUC.tsv
S0008,291,44,32,0.15120274914089346,S0012,134,33,23,0.2462686567164179,S0013,10,4,3,0.4,435,81,0.18620689655172415,58,350,400,SVUC.tsv
S0008,294,33,20,0.11224489795918367,S0012,197,64,46,0.3248730964467005,S0013,22,4,4,0.18181818181818182,513,101,0.1968810916179337,70,400,450,SVUC.tsv
S0008,148,34,22,0.22972972972972974,S0012,138,31,30,0.2246376811594203,S0013,42,14,11,0.3333333333333333,328,79,0.24085365853658536,63,450,500,SVUC.tsv
S0008,276,38,23,0.13768115942028986,S0012,101,43,22,0.42574257425742573,S0013,83,11,8,0.13253012048192772,460,92,0.2,53,500,550,SVUC.tsv
S0008,69,27,13,0.391304347826087,S0012,174,23,16,0.13218390804597702,S0013,70,17,9,0.24285714285714285,313,67,0.21405750798722045,38,550,600,SVUC.tsv
S0008,276,49,30,0.17753623188405798,S0012,175,32,18,0.18285714285714286,S0013,86,19,14,0.22093023255813954,537,100,0.186219739292365,62,600,650,SVUC.tsv
S0008,314,11,8,0.03503184713375796,S0012,143,41,24,0.2867132867132867,S0013,71,25,16,0.352112676056338,528,77,0.14583333333333334,48,650,700,SVUC.tsv
S0008,199,37,29,0.18592964824120603,S0012,153,42,32,0.27450980392156865,S0013,76,14,11,0.18421052631578946,428,93,0.21728971962616822,72,700,750,SVUC.tsv
S0008,337,29,22,0.08605341246290801,S0012,151,51,29,0.33774834437086093,S0013,20,9,8,0.45,508,89,0.17519685039370078,59,750,800,SVUC.tsv
S0008,339,13,11,0.038348082595870206,S0012,59,23,19,0.3898305084745763,S0013,15,10,8,0.6666666666666666,413,46,0.11138014527845036,38,800,850,SVUC.tsv
S0008,315,45,30,0.14285714285714285,S0012,130,38,26,0.2923076923076923,S0013,77,36,18,0.4675324675324675,522,119,0.22796934865900384,74,850,900,SVUC.tsv
S0008,250,19,16,0.076,S0012,84,24,19,0.2857142857142857,S0013,8,1,1,0.125,342,44,0.1286549707602339,36,900,950,SVUC.tsv
S0008,225,15,9,0.06666666666666667,S0012,62,21,19,0.3387096774193548,S0013,37,11,9,0.2972972972972973,324,47,0.14506172839506173,37,950,1000,SVUC.tsv
S0008,247,15,8,0.06072874493927125,S0012,79,32,19,0.4050632911392405,S0013,37,8,7,0.21621621621621623,363,55,0.15151515151515152,34,1000,1050,SVUC.tsv
S0008,209,46,29,0.22009569377990432,S0012,163,27,17,0.1656441717791411,S0013,31,12,11,0.3870967741935484,403,85,0.2109181141439206,57,1050,1100,SVUC.tsv
S0008,170,13,10,0.07647058823529412,S0012,101,37,22,0.36633663366336633,S0013,100,24,17,0.24,371,74,0.19946091644204852,49,1100,1150,SVUC.tsv
S0008,192,28,19,0.14583333333333334,S0012,73,24,13,0.3287671232876712,S0013,125,7,5,0.056,390,59,0.15128205128205127,37,1150,1200,SVUC.tsv
S0008,275,18,15,0.06545454545454546,S0012,79,19,16,0.24050632911392406,S0013,37,12,10,0.32432432432432434,391,49,0.12531969309462915,41,1200,1250,SVUC.tsv
S0008,268,26,21,0.09701492537313433,S0012,94,26,21,0.2765957446808511,S0013,17,6,5,0.35294117647058826,379,58,0.15303430079155672,47,1250,1300,SVUC.tsv
S0008,141,26,16,0.18439716312056736,S0012,158,37,22,0.23417721518987342,S0013,50,6,3,0.12,349,69,0.1977077363896848,41,1300,1350,SVUC.tsv
S0008,84,7,4,0.08333333333333333,S0012,135,28,23,0.2074074074074074,S0013,59,14,11,0.23728813559322035,278,49,0.17625899280575538,38,1350,1398,SVUC.tsv
