speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0521,364,19,14,0.0521978021978022,S0520,126,22,13,0.1746031746031746,S0519,111,34,23,0.3063063063063063,601,75,0.12479201331114809,50,0,50,SZP6.tsv
S0521,60,5,3,0.08333333333333333,S0520,248,47,34,0.18951612903225806,S0519,148,17,12,0.11486486486486487,456,69,0.1513157894736842,49,50,100,SZP6.tsv
S0521,16,5,4,0.3125,S0520,529,30,18,0.05671077504725898,S0519,46,5,4,0.10869565217391304,591,40,0.0676818950930626,26,100,150,SZP6.tsv
S0521,38,9,7,0.23684210526315788,S0520,763,71,41,0.09305373525557012,S0519,71,4,3,0.056338028169014086,872,84,0.0963302752293578,51,150,200,SZP6.tsv
S0521,12,4,4,0.3333333333333333,S0520,327,45,33,0.13761467889908258,S0519,115,39,26,0.3391304347826087,454,88,0.19383259911894274,63,200,250,SZP6.tsv
S0521,119,21,12,0.17647058823529413,S0520,550,94,56,0.1709090909090909,S0519,35,2,1,0.05714285714285714,704,117,0.16619318181818182,69,250,300,SZP6.tsv
S0521,39,7,7,0.1794871794871795,S0520,279,79,49,0.2831541218637993,S0519,278,42,26,0.1510791366906475,596,128,0.21476510067114093,82,300,350,SZP6.tsv
S0521,35,16,11,0.45714285714285713,S0520,360,62,40,0.17222222222222222,S0519,273,57,39,0.2087912087912088,668,135,0.20209580838323354,90,350,400,SZP6.tsv
S0521,47,15,11,0.3191489361702128,S0520,449,67,48,0.1492204899777283,S0519,202,46,31,0.22772277227722773,698,128,0.1833810888252149,90,400,450,SZP6.tsv
S0521,14,2,1,0.14285714285714285,S0520,391,61,35,0.15601023017902813,S0519,414,122,80,0.2946859903381642,819,185,0.2258852258852259,116,450,500,SZP6.tsv
S0521,79,22,12,0.27848101265822783,S0520,486,100,65,0.205761316872428,S0519,291,47,33,0.16151202749140894,856,169,0.19742990654205608,110,500,550,SZP6.tsv
S0521,88,27,17,0.3068181818181818,S0520,346,30,19,0.08670520231213873,S0519,16,0,0,0.0,450,57,0.12666666666666668,36,550,600,SZP6.tsv
S0521,38,7,4,0.18421052631578946,S0520,274,7,5,0.025547445255474453,S0519,0,0,0,0.0,312,14,0.04487179487179487,9,600,627,SZP6.tsv
