speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0456,243,115,102,0.4732510288065844,S0457,124,28,26,0.22580645161290322,S0458,62,24,19,0.3870967741935484,S0459,0,0,0,0.0,429,167,0.38927738927738925,147,0,50,S68E.tsv
S0456,125,70,61,0.56,S0457,151,100,80,0.6622516556291391,S0458,144,85,77,0.5902777777777778,S0459,8,3,3,0.375,428,258,0.602803738317757,221,50,100,S68E.tsv
S0456,69,49,44,0.7101449275362319,S0457,60,43,38,0.7166666666666667,S0458,117,85,71,0.7264957264957265,S0459,25,16,12,0.64,271,193,0.7121771217712177,165,100,150,S68E.tsv
S0456,278,190,162,0.6834532374100719,S0457,75,51,44,0.68,S0458,39,25,25,0.6410256410256411,S0459,18,11,8,0.6111111111111112,410,277,0.675609756097561,239,150,200,S68E.tsv
S0456,142,100,84,0.704225352112676,S0457,46,39,30,0.8478260869565217,S0458,273,185,145,0.6776556776556777,S0459,0,0,0,0.0,461,324,0.702819956616052,259,200,250,S68E.tsv
S0456,265,208,176,0.7849056603773585,S0457,83,64,53,0.7710843373493976,S0458,119,90,70,0.7563025210084033,S0459,13,9,8,0.6923076923076923,480,371,0.7729166666666667,307,250,300,S68E.tsv
S0456,314,243,191,0.7738853503184714,S0457,3,3,3,1.0,S0458,214,167,124,0.780373831775701,S0459,12,9,7,0.75,543,422,0.7771639042357275,325,300,350,S68E.tsv
S0456,87,70,53,0.8045977011494253,S0457,54,46,31,0.8518518518518519,S0458,416,366,260,0.8798076923076923,S0459,11,11,8,1.0,568,493,0.8679577464788732,352,350,400,S68E.tsv
S0456,84,66,56,0.7857142857142857,S0457,296,233,161,0.7871621621621622,S0458,60,44,36,0.7333333333333333,S0459,19,15,12,0.7894736842105263,459,358,0.7799564270152506,265,400,450,S68E.tsv
S0456,64,59,44,0.921875,S0457,322,265,196,0.8229813664596274,S0458,65,52,38,0.8,S0459,17,11,10,0.6470588235294118,468,387,0.8269230769230769,288,450,500,S68E.tsv
S0456,165,136,107,0.8242424242424242,S0457,364,309,250,0.8489010989010989,S0458,28,19,14,0.6785714285714286,S0459,0,0,0,0.0,557,464,0.8330341113105925,371,500,550,S68E.tsv
S0456,115,105,77,0.9130434782608695,S0457,469,414,297,0.8827292110874201,S0458,127,118,89,0.9291338582677166,S0459,6,2,1,0.3333333333333333,717,639,0.891213389121339,464,550,600,S68E.tsv
S0456,238,211,159,0.8865546218487395,S0457,77,68,51,0.8831168831168831,S0458,99,80,60,0.8080808080808081,S0459,0,0,0,0.0,414,359,0.8671497584541062,270,600,650,S68E.tsv
S0456,70,63,47,0.9,S0457,100,88,65,0.88,S0458,52,40,29,0.7692307692307693,S0459,0,0,0,0.0,222,191,0.8603603603603603,141,650,678,S68E.tsv
