speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0202,8,2,2,0.25,S0204,205,16,11,0.07804878048780488,S0206,336,37,32,0.11011904761904762,S0205,50,9,9,0.18,599,64,0.10684474123539232,54,0,50,SK8T.tsv
S0202,43,35,29,0.813953488372093,S0204,245,92,81,0.37551020408163266,S0206,139,74,60,0.5323741007194245,S0205,48,18,15,0.375,475,219,0.4610526315789474,185,50,100,SK8T.tsv
S0202,224,178,136,0.7946428571428571,S0204,163,95,66,0.5828220858895705,S0206,230,103,79,0.44782608695652176,S0205,80,50,31,0.625,697,426,0.6111908177905309,312,100,150,SK8T.tsv
S0202,82,66,48,0.8048780487804879,S0204,106,76,60,0.7169811320754716,S0206,282,197,158,0.6985815602836879,S0205,15,10,10,0.6666666666666666,485,349,0.7195876288659794,276,150,200,SK8T.tsv
S0202,184,136,107,0.7391304347826086,S0204,317,235,174,0.7413249211356467,S0206,16,12,8,0.75,S0205,57,42,28,0.7368421052631579,574,425,0.740418118466899,317,200,250,SK8T.tsv
S0202,66,56,37,0.8484848484848485,S0204,102,84,64,0.8235294117647058,S0206,78,65,43,0.8333333333333334,S0205,502,399,296,0.7948207171314741,748,604,0.8074866310160428,440,250,300,SK8T.tsv
S0202,91,75,55,0.8241758241758241,S0204,79,65,51,0.8227848101265823,S0206,49,36,26,0.7346938775510204,S0205,758,624,437,0.8232189973614775,977,800,0.8188331627430911,569,300,350,SK8T.tsv
S0202,120,99,74,0.825,S0204,68,55,38,0.8088235294117647,S0206,340,286,212,0.8411764705882353,S0205,111,94,69,0.8468468468468469,639,534,0.8356807511737089,393,350,400,SK8T.tsv
S0202,13,13,8,1.0,S0204,97,77,57,0.7938144329896907,S0206,136,121,83,0.8897058823529411,S0205,427,358,241,0.8384074941451991,673,569,0.8454680534918276,389,400,450,SK8T.tsv
S0202,245,197,132,0.8040816326530612,S0204,345,279,192,0.808695652173913,S0206,354,266,192,0.751412429378531,S0205,161,148,98,0.9192546583850931,1105,890,0.8054298642533937,614,450,500,SK8T.tsv
S0202,1,1,1,1.0,S0204,88,76,53,0.8636363636363636,S0206,35,28,20,0.8,S0205,27,24,14,0.8888888888888888,151,129,0.8543046357615894,88,500,517,SK8T.tsv
