speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0517,156,56,46,0.358974358974359,S0572,80,20,19,0.25,S0570,33,16,13,0.48484848484848486,S0571,40,23,17,0.575,309,115,0.37216828478964403,95,0,50,SNMN.tsv
S0517,183,116,90,0.6338797814207651,S0572,75,37,29,0.49333333333333335,S0570,32,20,19,0.625,S0571,77,38,34,0.4935064935064935,367,211,0.5749318801089919,172,50,100,SNMN.tsv
S0517,167,118,91,0.7065868263473054,S0572,37,28,18,0.7567567567567568,S0570,40,30,27,0.75,S0571,49,30,25,0.6122448979591837,293,206,0.7030716723549488,161,100,150,SNMN.tsv
S0517,95,72,56,0.7578947368421053,S0572,92,67,56,0.7282608695652174,S0570,116,79,67,0.6810344827586207,S0571,101,65,55,0.6435643564356436,404,283,0.7004950495049505,234,150,200,SNMN.tsv
S0517,109,78,57,0.7155963302752294,S0572,49,37,28,0.7551020408163265,S0570,168,129,101,0.7678571428571429,S0571,48,33,22,0.6875,374,277,0.7406417112299465,208,200,250,SNMN.tsv
S0517,125,98,72,0.784,S0572,155,118,100,0.7612903225806451,S0570,115,74,59,0.6434782608695652,S0571,80,59,47,0.7375,475,349,0.7347368421052631,278,250,300,SNMN.tsv
S0517,68,57,43,0.8382352941176471,S0572,145,104,89,0.7172413793103448,S0570,44,32,24,0.7272727272727273,S0571,58,49,36,0.8448275862068966,315,242,0.7682539682539683,192,300,350,SNMN.tsv
S0517,105,84,58,0.8,S0572,134,101,79,0.753731343283582,S0570,48,42,31,0.875,S0571,64,54,39,0.84375,351,281,0.8005698005698005,207,350,400,SNMN.tsv
S0517,115,99,72,0.8608695652173913,S0572,104,83,63,0.7980769230769231,S0570,78,67,49,0.8589743589743589,S0571,54,38,31,0.7037037037037037,351,287,0.8176638176638177,215,400,450,SNMN.tsv
S0517,155,135,90,0.8709677419354839,S0572,62,54,34,0.8709677419354839,S0570,88,77,58,0.875,S0571,46,40,32,0.8695652173913043,351,306,0.8717948717948718,214,450,500,SNMN.tsv
S0517,79,70,53,0.8860759493670886,S0572,28,21,17,0.75,S0570,120,107,75,0.8916666666666667,S0571,38,29,22,0.7631578947368421,265,227,0.8566037735849057,167,500,541,SNMN.tsv
