speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0086,208,86,79,0.41346153846153844,S0046,200,65,60,0.325,S0041,67,34,28,0.5074626865671642,S0169,0,0,0,0.0,475,185,0.3894736842105263,167,0,50,S3YZ.tsv
S0086,280,142,120,0.5071428571428571,S0046,161,81,65,0.5031055900621118,S0041,322,123,94,0.38198757763975155,S0169,0,0,0,0.0,763,346,0.4534731323722149,279,50,100,S3YZ.tsv
S0086,120,52,50,0.43333333333333335,S0046,187,48,43,0.25668449197860965,S0041,42,18,17,0.42857142857142855,S0169,0,0,0,0.0,349,118,0.33810888252148996,110,100,150,S3YZ.tsv
S0086,401,255,225,0.6359102244389028,S0046,134,56,43,0.417910447761194,S0041,512,187,163,0.365234375,S0169,0,0,0,0.0,1047,498,0.47564469914040114,431,150,200,S3YZ.tsv
S0086,185,99,87,0.5351351351351351,S0046,109,35,28,0.3211009174311927,S0041,340,71,61,0.2088235294117647,S0169,0,0,0,0.0,634,205,0.32334384858044163,176,200,250,S3YZ.tsv
S0086,133,56,50,0.42105263157894735,S0046,136,29,27,0.21323529411764705,S0041,247,119,112,0.4817813765182186,S0169,0,0,0,0.0,516,204,0.3953488372093023,189,250,300,S3YZ.tsv
S0086,192,60,51,0.3125,S0046,9,3,1,0.3333333333333333,S0041,482,266,236,0.5518672199170125,S0169,76,52,46,0.6842105263157895,759,381,0.5019762845849802,334,300,350,S3YZ.tsv
S0086,282,137,114,0.4858156028368794,S0046,0,0,0,0.0,S0041,227,89,83,0.3920704845814978,S0169,127,60,54,0.47244094488188976,636,286,0.449685534591195,251,350,400,S3YZ.tsv
S0086,224,125,102,0.5580357142857143,S0046,0,0,0,0.0,S0041,254,56,48,0.2204724409448819,S0169,60,14,12,0.23333333333333334,538,195,0.362453531598513,162,400,450,S3YZ.tsv
S0086,162,92,82,0.5679012345679012,S0046,12,7,4,0.5833333333333334,S0041,225,71,57,0.31555555555555553,S0169,38,11,6,0.2894736842105263,437,181,0.41418764302059496,149,450,500,S3YZ.tsv
S0086,431,172,156,0.3990719257540603,S0046,63,30,28,0.47619047619047616,S0041,93,37,36,0.3978494623655914,S0169,29,4,4,0.13793103448275862,616,243,0.3944805194805195,224,500,550,S3YZ.tsv
S0086,187,60,47,0.32085561497326204,S0046,38,14,12,0.3684210526315789,S0041,173,80,71,0.4624277456647399,S0169,69,35,32,0.5072463768115942,467,189,0.40471092077087795,162,550,600,S3YZ.tsv
S0086,189,72,53,0.38095238095238093,S0046,0,0,0,0.0,S0041,156,58,50,0.3717948717948718,S0169,110,56,39,0.509090909090909,455,186,0.4087912087912088,142,600,650,S3YZ.tsv
S0086,198,99,91,0.5,S0046,0,0,0,0.0,S0041,190,100,85,0.5263157894736842,S0169,71,17,15,0.23943661971830985,459,216,0.47058823529411764,191,650,700,S3YZ.tsv
S0086,177,71,56,0.4011299435028249,S0046,0,0,0,0.0,S0041,152,50,45,0.32894736842105265,S0169,28,12,11,0.42857142857142855,357,133,0.37254901960784315,112,700,750,S3YZ.tsv
S0086,125,41,37,0.328,S0046,0,0,0,0.0,S0041,461,165,154,0.3579175704989154,S0169,9,0,0,0.0,595,206,0.346218487394958,191,750,800,S3YZ.tsv
S0086,159,45,39,0.2830188679245283,S0046,0,0,0,0.0,S0041,115,39,32,0.3391304347826087,S0169,57,33,31,0.5789473684210527,331,117,0.35347432024169184,102,800,850,S3YZ.tsv
S0086,98,47,42,0.47959183673469385,S0046,0,0,0,0.0,S0041,135,72,53,0.5333333333333333,S0169,198,50,46,0.25252525252525254,431,169,0.39211136890951276,141,850,900,S3YZ.tsv
S0086,349,136,118,0.38968481375358166,S0046,0,0,0,0.0,S0041,135,48,41,0.35555555555555557,S0169,41,19,18,0.4634146341463415,525,203,0.38666666666666666,177,900,950,S3YZ.tsv
S0086,175,88,74,0.5028571428571429,S0046,0,0,0,0.0,S0041,177,52,42,0.2937853107344633,S0169,26,12,11,0.46153846153846156,378,152,0.4021164021164021,127,950,1000,S3YZ.tsv
S0086,170,63,58,0.37058823529411766,S0046,0,0,0,0.0,S0041,50,30,22,0.6,S0169,175,67,62,0.38285714285714284,395,160,0.4050632911392405,142,1000,1050,S3YZ.tsv
S0086,197,50,43,0.25380710659898476,S0046,0,0,0,0.0,S0041,106,52,48,0.49056603773584906,S0169,378,225,191,0.5952380952380952,681,327,0.4801762114537445,282,1050,1100,S3YZ.tsv
S0086,218,81,73,0.37155963302752293,S0046,0,0,0,0.0,S0041,4,2,2,0.5,S0169,184,84,76,0.45652173913043476,406,167,0.41133004926108374,151,1100,1150,S3YZ.tsv
S0086,541,238,205,0.4399260628465804,S0046,0,0,0,0.0,S0041,0,0,0,0.0,S0169,325,162,136,0.49846153846153846,866,400,0.4618937644341801,341,1150,1200,S3YZ.tsv
S0086,409,86,77,0.21026894865525672,S0046,0,0,0,0.0,S0041,28,18,13,0.6428571428571429,S0169,246,156,132,0.6341463414634146,683,260,0.3806734992679356,222,1200,1250,S3YZ.tsv
S0086,62,20,18,0.3225806451612903,S0046,0,0,0,0.0,S0041,152,70,62,0.4605263157894737,S0169,283,115,104,0.40636042402826855,497,205,0.4124748490945674,184,1250,1300,S3YZ.tsv
S0086,182,79,64,0.4340659340659341,S0046,0,0,0,0.0,S0041,153,89,70,0.5816993464052288,S0169,62,18,15,0.2903225806451613,397,186,0.46851385390428213,149,1300,1350,S3YZ.tsv
S0086,196,60,56,0.30612244897959184,S0046,0,0,0,0.0,S0041,608,273,248,0.44901315789473684,S0169,55,40,33,0.7272727272727273,859,373,0.4342258440046566,337,1350,1400,S3YZ.tsv
S0086,141,59,51,0.41843971631205673,S0046,0,0,0,0.0,S0041,243,113,95,0.46502057613168724,S0169,70,25,22,0.35714285714285715,454,197,0.43392070484581496,168,1400,1450,S3YZ.tsv
S0086,195,78,71,0.4,S0046,0,0,0,0.0,S0041,43,20,10,0.46511627906976744,S0169,152,29,27,0.19078947368421054,390,127,0.32564102564102565,108,1450,1500,S3YZ.tsv
S0086,151,32,23,0.2119205298013245,S0046,0,0,0,0.0,S0041,6,0,0,0.0,S0169,66,25,24,0.3787878787878788,223,57,0.2556053811659193,47,1500,1522,S3YZ.tsv
