speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0687,30,10,10,0.3333333333333333,S0688,176,33,28,0.1875,S0689,67,26,24,0.3880597014925373,S0690,24,8,7,0.3333333333333333,297,77,0.25925925925925924,69,0,50,SJM7.tsv
S0687,107,60,50,0.5607476635514018,S0688,303,104,86,0.3432343234323432,S0689,46,13,10,0.2826086956521739,S0690,108,50,46,0.46296296296296297,564,227,0.4024822695035461,192,50,100,SJM7.tsv
S0687,92,27,17,0.29347826086956524,S0688,92,14,14,0.15217391304347827,S0689,61,30,26,0.4918032786885246,S0690,43,21,19,0.4883720930232558,288,92,0.3194444444444444,76,100,150,SJM7.tsv
S0687,193,70,62,0.3626943005181347,S0688,45,32,30,0.7111111111111111,S0689,117,19,14,0.1623931623931624,S0690,54,34,29,0.6296296296296297,409,155,0.37897310513447435,135,150,200,SJM7.tsv
S0687,165,58,55,0.3515151515151515,S0688,68,28,27,0.4117647058823529,S0689,39,21,19,0.5384615384615384,S0690,32,3,3,0.09375,304,110,0.3618421052631579,104,200,250,SJM7.tsv
S0687,128,50,42,0.390625,S0688,90,38,36,0.4222222222222222,S0689,97,34,29,0.35051546391752575,S0690,21,9,8,0.42857142857142855,336,131,0.3898809523809524,115,250,300,SJM7.tsv
S0687,170,87,75,0.5117647058823529,S0688,58,26,21,0.4482758620689655,S0689,154,55,47,0.35714285714285715,S0690,27,3,3,0.1111111111111111,409,171,0.4180929095354523,146,300,350,SJM7.tsv
S0687,158,39,33,0.2468354430379747,S0688,161,82,71,0.5093167701863354,S0689,44,12,10,0.2727272727272727,S0690,38,19,18,0.5,401,152,0.3790523690773067,132,350,400,SJM7.tsv
S0687,191,78,68,0.4083769633507853,S0688,138,46,44,0.3333333333333333,S0689,2,2,1,1.0,S0690,29,4,4,0.13793103448275862,360,130,0.3611111111111111,117,400,450,SJM7.tsv
S0687,97,38,34,0.3917525773195876,S0688,118,32,29,0.2711864406779661,S0689,243,108,88,0.4444444444444444,S0690,1,1,1,1.0,459,179,0.3899782135076253,152,450,500,SJM7.tsv
S0687,28,18,15,0.6428571428571429,S0688,189,52,49,0.2751322751322751,S0689,62,14,13,0.22580645161290322,S0690,73,42,36,0.5753424657534246,352,126,0.35795454545454547,113,500,550,SJM7.tsv
S0687,533,233,219,0.4371482176360225,S0688,18,11,10,0.6111111111111112,S0689,112,48,45,0.42857142857142855,S0690,62,34,29,0.5483870967741935,725,326,0.4496551724137931,303,550,600,SJM7.tsv
S0687,174,50,46,0.28735632183908044,S0688,0,0,0,0.0,S0689,129,46,36,0.35658914728682173,S0690,39,20,17,0.5128205128205128,342,116,0.3391812865497076,99,600,650,SJM7.tsv
S0687,238,89,66,0.3739495798319328,S0688,0,0,0,0.0,S0689,112,44,37,0.39285714285714285,S0690,59,30,26,0.5084745762711864,409,163,0.39853300733496333,129,650,700,SJM7.tsv
S0687,122,42,31,0.3442622950819672,S0688,92,35,23,0.3804347826086957,S0689,58,17,13,0.29310344827586204,S0690,20,5,5,0.25,292,99,0.339041095890411,72,700,750,SJM7.tsv
