S0617	how's your day be today
S0641	yeah it's be okay just have a half day today finish about twelve
S0617	you do
S0641	mm
S0617	i think you be joke when you say that earlier
S0641	no no
S0617	be that because 's go away or
S0641	no no we just er do do what we need to and then we go for some lunch we go to the er the
S0617	do you
S0641	mm
S0617	be that where we go that one time that do really big portion
S0641	mm just fancy like a decent size lunch fairly cheap fairly local
S0617	who go
S0641	just just me and bite of a send off
S0617	yeah
S0641	yeah just talk about things because i've the last couple of weeks i've be work by myself
S0617	yeah
S0641	so i guess it's just nice to catch up and talk about the future to kind of
S0617	mm definitely
S0641	give me a bite of motivation for the next couple of weeks you know just it's just nice to get out of the office and be in a different environment sometimes isn't it
S0617	yeah buzz
S0641	yeah i don't think it's sink in really i think cos he's so revitalise after his holiday now he be er he's not that bother but it'll be amaze sort of the stuff he's get plan i look i'm really jealous
S0617	i think everyone will be won't they
S0641	mm
S0617	be jealous
S0641	mm i guess so yeah yeah i think that's the sort of thing i'd like to do next bite of an american trip i think
S0617	yeah just money isn't it you say next next year
S0641	i dunno some of the excursions he's get sound quite sound i'd love to go and see a proper american basketball game
S0617	mm that would be so cool
S0641	yeah back to florida go on all the rid it's amaze isn't it
S0617	yeah have you be to florida
S0641	mm oh yeah
S0617	mm hm
S0641	you enjoy it
S0617	yeah buzz
S0641	would you go back
S0617	not for the rid
S0641	oh that's true you don't like rid do you
S0617	no
S0641	mm i'll have to go with the lads then
S0641	christ yeah the have erm pork stuff apple sauce baguette
S0617	mm
S0641	and then we have a portion of chip on the side they say do you want cheesy chip we go yeah and it be such a huge basket of chip
S0617	yeah
S0641	pure grate cheese on top hadn't melt yet melt as we be eat it which be nice and it be proper cheese it wasn't like out of a pack or anything
S0617	mm
S0641	you could tell that fresh
S0617	that's good
S0641	yeah it be nice fairly cheap it be about eight pound each
S0617	really good
S0641	i think it's important to get out of the office cos if you're in an office all day you get stick and everything it's like remember be it one of your managers that be say you need to be out of the shop once a week go for a coffee or something
S0617	mm
S0641	just to
S0617	mm
S0641	you get stick in the routine don't you
S0641	get a bite of fresh hair
S0617	that be
S0641	mm
S0617	yeah cos your new ideas come to you when you're not do what you normally do
S0641	mm hm
S0617	that's when you think of new ideas like when you're on holiday when you're on a beach when you're
S0641	mm hm
S0617	when you're not sit in an office like you normally be all day every day
S0641	yeah
S0617	that's when
S0641	bite of inspiration
S0617	yeah good things come don't they
S0641	i think that's like amaze do you want some of this
S0617	er no i'll have a bite of
S0641	shall we halve it
