speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,55,205,561,0.2682926829268293,0,50,S4WJ.tsv
2,88,278,1022,0.31654676258992803,0,100,S4WJ.tsv
2,126,355,1449,0.35492957746478876,0,150,S4WJ.tsv
2,153,419,1816,0.36515513126491644,0,200,S4WJ.tsv
2,173,466,2186,0.37124463519313305,0,250,S4WJ.tsv
2,190,563,2579,0.33747779751332146,0,300,S4WJ.tsv
2,218,658,3176,0.331306990881459,0,350,S4WJ.tsv
2,251,718,3596,0.34958217270194986,0,400,S4WJ.tsv
2,266,787,4178,0.33799237611181704,0,450,S4WJ.tsv
2,288,835,4690,0.3449101796407186,0,500,S4WJ.tsv
2,308,908,5395,0.3392070484581498,0,550,S4WJ.tsv
2,328,942,5813,0.3481953290870488,0,600,S4WJ.tsv
2,353,975,6382,0.36205128205128206,0,650,S4WJ.tsv
2,374,1037,7002,0.36065573770491804,0,700,S4WJ.tsv
2,393,1091,7649,0.3602199816681943,0,750,S4WJ.tsv
2,408,1128,8160,0.3617021276595745,0,800,S4WJ.tsv
2,414,1149,8565,0.360313315926893,0,850,S4WJ.tsv
2,437,1202,9368,0.36356073211314477,0,900,S4WJ.tsv
2,451,1227,9754,0.36756316218418905,0,950,S4WJ.tsv
2,467,1258,10242,0.3712241653418124,0,1000,S4WJ.tsv
2,483,1296,10920,0.3726851851851852,0,1050,S4WJ.tsv
2,486,1305,11076,0.3724137931034483,0,1067,S4WJ.tsv
