speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,50,172,450,0.29069767441860467,0,50,SC3M.tsv
2,81,247,881,0.32793522267206476,0,100,SC3M.tsv
2,108,289,1257,0.3737024221453287,0,150,SC3M.tsv
2,137,392,1900,0.3494897959183674,0,200,SC3M.tsv
2,163,490,2568,0.3326530612244898,0,250,SC3M.tsv
2,201,571,3265,0.3520140105078809,0,300,SC3M.tsv
2,224,618,3766,0.36245954692556637,0,350,SC3M.tsv
2,238,659,4214,0.3611532625189681,0,400,SC3M.tsv
2,254,728,4760,0.3489010989010989,0,450,SC3M.tsv
2,274,784,5316,0.3494897959183674,0,500,SC3M.tsv
2,286,825,5752,0.3466666666666667,0,550,SC3M.tsv
2,310,857,6176,0.3617269544924154,0,600,SC3M.tsv
2,325,890,6728,0.3651685393258427,0,650,SC3M.tsv
2,339,924,7215,0.36688311688311687,0,700,SC3M.tsv
2,340,930,7269,0.3655913978494624,0,709,SC3M.tsv
