speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,52,218,597,0.23853211009174313,0,50,SKJ6.tsv
2,86,299,967,0.28762541806020064,0,100,SKJ6.tsv
2,118,398,1537,0.2964824120603015,0,150,SKJ6.tsv
2,160,469,2080,0.3411513859275053,0,200,SKJ6.tsv
2,187,504,2600,0.37103174603174605,0,250,SKJ6.tsv
2,211,553,3070,0.38155515370705245,0,300,SKJ6.tsv
2,231,594,3575,0.3888888888888889,0,350,SKJ6.tsv
2,249,653,4066,0.38131699846860645,0,400,SKJ6.tsv
2,269,717,4465,0.37517433751743373,0,450,SKJ6.tsv
2,285,770,5131,0.37012987012987014,0,500,SKJ6.tsv
2,295,792,5442,0.37247474747474746,0,550,SKJ6.tsv
2,314,845,5849,0.3715976331360947,0,600,SKJ6.tsv
2,322,888,6274,0.36261261261261263,0,650,SKJ6.tsv
2,349,927,6690,0.37648327939590076,0,700,SKJ6.tsv
2,365,952,7040,0.38340336134453784,0,750,SKJ6.tsv
2,389,987,7445,0.3941236068895643,0,800,SKJ6.tsv
2,403,1017,7867,0.39626352015732547,0,850,SKJ6.tsv
2,419,1052,8263,0.3982889733840304,0,900,SKJ6.tsv
2,438,1094,8892,0.40036563071297987,0,950,SKJ6.tsv
2,457,1131,9500,0.40406719717064543,0,1000,SKJ6.tsv
2,472,1160,10153,0.4068965517241379,0,1050,SKJ6.tsv
2,485,1180,10677,0.4110169491525424,0,1100,SKJ6.tsv
2,495,1216,11101,0.40707236842105265,0,1150,SKJ6.tsv
2,507,1241,11443,0.40854149879129736,0,1200,SKJ6.tsv
2,519,1276,11891,0.4067398119122257,0,1250,SKJ6.tsv
2,520,1279,11917,0.4065676309616888,0,1258,SKJ6.tsv
