speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,49,167,450,0.2934131736526946,0,50,SV2N.tsv
2,88,283,905,0.31095406360424027,0,100,SV2N.tsv
2,118,388,1405,0.30412371134020616,0,150,SV2N.tsv
2,138,479,1903,0.2881002087682672,0,200,SV2N.tsv
2,163,549,2468,0.29690346083788705,0,250,SV2N.tsv
2,180,643,2924,0.27993779160186627,0,300,SV2N.tsv
2,197,706,3441,0.2790368271954674,0,350,SV2N.tsv
2,219,753,3829,0.2908366533864542,0,400,SV2N.tsv
2,244,815,4354,0.29938650306748466,0,450,SV2N.tsv
2,261,884,4956,0.29524886877828055,0,500,SV2N.tsv
2,275,913,5290,0.30120481927710846,0,550,SV2N.tsv
2,303,978,5845,0.3098159509202454,0,600,SV2N.tsv
2,312,1019,6227,0.30618253189401373,0,650,SV2N.tsv
2,333,1053,6606,0.3162393162393162,0,700,SV2N.tsv
2,355,1111,7162,0.3195319531953195,0,750,SV2N.tsv
2,365,1162,7645,0.31411359724612736,0,800,SV2N.tsv
2,384,1199,8051,0.3202668890742285,0,850,SV2N.tsv
2,402,1220,8431,0.3295081967213115,0,900,SV2N.tsv
2,416,1249,8777,0.33306645316253003,0,950,SV2N.tsv
2,416,1254,8813,0.3317384370015949,0,956,SV2N.tsv
