speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,32,168,337,0.19047619047619047,0,50,SVN6.tsv
2,67,265,740,0.2528301886792453,0,100,SVN6.tsv
2,97,352,1149,0.2755681818181818,0,150,SVN6.tsv
2,118,415,1470,0.28433734939759037,0,200,SVN6.tsv
2,137,469,1743,0.2921108742004264,0,250,SVN6.tsv
2,147,524,2063,0.28053435114503816,0,300,SVN6.tsv
2,170,578,2397,0.29411764705882354,0,350,SVN6.tsv
2,185,632,2686,0.2927215189873418,0,400,SVN6.tsv
2,203,674,3044,0.30118694362017806,0,450,SVN6.tsv
2,216,706,3375,0.3059490084985836,0,500,SVN6.tsv
2,222,732,3526,0.30327868852459017,0,522,SVN6.tsv
