speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,13,152,398,0.08552631578947369,0,50,SVXT.tsv
2,71,271,888,0.26199261992619927,0,100,SVXT.tsv
2,108,368,1549,0.29347826086956524,0,150,SVXT.tsv
2,130,437,1992,0.2974828375286041,0,200,SVXT.tsv
2,164,485,2430,0.33814432989690724,0,250,SVXT.tsv
2,187,531,2797,0.352165725047081,0,300,SVXT.tsv
2,204,575,3224,0.35478260869565215,0,350,SVXT.tsv
2,220,606,3625,0.36303630363036304,0,400,SVXT.tsv
2,236,636,4142,0.3710691823899371,0,450,SVXT.tsv
2,251,688,4703,0.3648255813953488,0,500,SVXT.tsv
2,260,725,5199,0.3586206896551724,0,550,SVXT.tsv
2,268,756,5658,0.3544973544973545,0,600,SVXT.tsv
2,273,790,6075,0.34556962025316457,0,650,SVXT.tsv
2,279,824,6572,0.33859223300970875,0,700,SVXT.tsv
2,284,852,7034,0.3333333333333333,0,750,SVXT.tsv
2,295,888,7473,0.3322072072072072,0,800,SVXT.tsv
2,313,913,7916,0.3428258488499452,0,850,SVXT.tsv
2,326,930,8172,0.35053763440860214,0,900,SVXT.tsv
2,341,957,8534,0.3563218390804598,0,950,SVXT.tsv
2,350,981,8953,0.3567787971457696,0,1000,SVXT.tsv
2,364,999,9317,0.36436436436436437,0,1050,SVXT.tsv
2,374,1020,9644,0.36666666666666664,0,1100,SVXT.tsv
2,385,1033,9996,0.3727008712487899,0,1150,SVXT.tsv
2,402,1046,10266,0.384321223709369,0,1200,SVXT.tsv
2,417,1068,10676,0.3904494382022472,0,1250,SVXT.tsv
2,420,1073,10806,0.391425908667288,0,1263,SVXT.tsv
