speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,44,135,289,0.32592592592592595,0,50,SWGB.tsv
2,68,212,574,0.32075471698113206,0,100,SWGB.tsv
2,92,301,974,0.30564784053156147,0,150,SWGB.tsv
2,120,362,1323,0.3314917127071823,0,200,SWGB.tsv
2,136,416,1678,0.3269230769230769,0,250,SWGB.tsv
2,150,469,2064,0.31982942430703626,0,300,SWGB.tsv
2,171,512,2446,0.333984375,0,350,SWGB.tsv
2,192,543,2788,0.35359116022099446,0,400,SWGB.tsv
2,216,599,3291,0.3606010016694491,0,450,SWGB.tsv
2,235,664,3759,0.3539156626506024,0,500,SWGB.tsv
2,244,705,4159,0.34609929078014184,0,550,SWGB.tsv
2,267,764,4750,0.3494764397905759,0,600,SWGB.tsv
2,281,791,5087,0.3552465233881163,0,641,SWGB.tsv
