speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,44,164,462,0.2682926829268293,0,50,SY5K.tsv
2,68,292,1100,0.2328767123287671,0,100,SY5K.tsv
2,88,410,1800,0.2146341463414634,0,150,SY5K.tsv
2,111,511,2534,0.2172211350293542,0,200,SY5K.tsv
2,120,557,3112,0.21543985637342908,0,250,SY5K.tsv
2,135,639,3897,0.2112676056338028,0,300,SY5K.tsv
2,158,694,4639,0.2276657060518732,0,350,SY5K.tsv
2,172,755,5261,0.22781456953642384,0,400,SY5K.tsv
2,187,785,5793,0.23821656050955414,0,450,SY5K.tsv
2,216,819,6417,0.26373626373626374,0,500,SY5K.tsv
2,236,874,7180,0.2700228832951945,0,550,SY5K.tsv
2,268,918,7989,0.29193899782135074,0,600,SY5K.tsv
2,283,969,8686,0.29205366357069146,0,650,SY5K.tsv
2,295,996,9262,0.2961847389558233,0,700,SY5K.tsv
2,315,1026,9935,0.30701754385964913,0,750,SY5K.tsv
2,327,1072,10573,0.3050373134328358,0,800,SY5K.tsv
2,327,1072,10596,0.3050373134328358,0,801,SY5K.tsv
