speaker_number,vo_overlap,vo_total,total_token_number,overlap,begin,end,file
2,19,169,462,0.11242603550295859,0,50,S3RZ.tsv
2,53,295,1041,0.17966101694915254,0,100,S3RZ.tsv
2,73,377,1470,0.19363395225464192,0,150,S3RZ.tsv
2,95,491,2095,0.1934826883910387,0,200,S3RZ.tsv
2,118,582,2792,0.2027491408934708,0,250,S3RZ.tsv
2,141,654,3501,0.21559633027522937,0,300,S3RZ.tsv
2,160,697,3968,0.22955523672883787,0,350,S3RZ.tsv
2,182,756,4586,0.24074074074074073,0,400,S3RZ.tsv
2,202,806,5144,0.2506203473945409,0,450,S3RZ.tsv
2,223,860,5743,0.2593023255813954,0,500,S3RZ.tsv
2,238,889,6208,0.2677165354330709,0,550,S3RZ.tsv
2,251,929,6661,0.27018299246501615,0,600,S3RZ.tsv
2,265,968,6994,0.2737603305785124,0,650,S3RZ.tsv
2,282,1007,7400,0.2800397219463754,0,696,S3RZ.tsv
